BenchTaxonName,BenchTaxonNameReferenceCode,TaxonConceptState,BiologicalCommunity,AlgalGroup,BenchTaxonProvisional,BenchTaxonHybrid,BU_ID,NADED_ID,BiodataTaxonName,BiodataCommonName,BiodataShortName,BiodataTaxonProvisional,BiodataTaxonHybrid,PublishedTaxonName,PublishedTaxonAuthority,ITIS_TSN,ITIS_MatchCode,PublishedSortOrder,PublishedTaxonLevel,ScientificName,Phylum,Subphylum,Superclass,Class,Subclass,Infraclass,Superorder,Order_,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,Variety,Form,TaxonVersionNumber
Chara sp.,"",Current,Algae,Green Algae,Y,N,"",294000,Chara,"",CHA,Y,N,Chara,"","","",3000001,Genus,Chara,Charophyta,"","",Charophyceae,"","","",Charales,"","","",Characeae,"","",Chara,"","","","","",13.2
Chara excelsa Allen,"",Current,Algae,Green Algae,N,N,"","",Chara excelsa,"",CHAexcel,N,N,Chara excelsa,Allen,"","",3000002,Species,Chara excelsa Allen,Charophyta,"","",Charophyceae,"","","",Charales,"","","",Characeae,"","",Chara,"",Chara excelsa,"","","",13.2
Chara excelsa,Prescott 1962 Pl 81 Figs 7-10,Current,Algae,Green Algae,N,N,"",294001,Chara excelsa,"",CHAexcel,N,N,Chara excelsa,Allen,"","",3000003,Species,Chara excelsa Allen,Charophyta,"","",Charophyceae,"","","",Charales,"","","",Characeae,"","",Chara,"",Chara excelsa,"","","",13.2
"""Unknown Rhodophyte UL NAWQA 1996 TS (resting spore, filament) NAWQA 96 TS ""","",Retired,Algae,Red Algae,Y,N,"","",Undetermined Rhodophyte,"","",Y,N,Rhodophyta,"","","",3000004,Phylum,Rhodophyta,Rhodophyta,"","","","","","","","","","","","","","","","","","","",13.2
Unknown Rhodophyte (branched),"",Retired,Algae,Red Algae,Y,N,"",1599004,Undetermined Rhodophyte,"","",Y,N,Rhodophyta,"","","",3000005,Phylum,Rhodophyta,Rhodophyta,"","","","","","","","","","","","","","","","","","","",13.2
Unknown Rhodophyte (fragments),"",Retired,Algae,Red Algae,Y,N,"",1599003,Undetermined Rhodophyte,"","",Y,N,Rhodophyta,"","","",3000006,Phylum,Rhodophyta,Rhodophyta,"","","","","","","","","","","","","","","","","","","",13.2
Unknown Rhodophyte Florideophycidae (chantransia),"",Current,Algae,Red Algae,Y,N,"",1599006,Undetermined Rhodophyte,"","",Y,N,Rhodophyta,"","","",3000007,Phylum,Rhodophyta,Rhodophyta,"","","","","","","","","","","","","","","","","","","",13.2
Unknown Rhodophyte UL NAWQA 1996 TS (filament),"",Retired,Algae,Red Algae,Y,N,"","",Undetermined Rhodophyte,"","",Y,N,Rhodophyta,"","","",3000008,Phylum,Rhodophyta,Rhodophyta,"","","","","","","","","","","","","","","","","","","",13.2
"Unknown Rhodophyte UL NAWQA 1996 TS (resting spore, filament) NAWQA 96 TS","",Retired,Algae,Red Algae,Y,N,"",1599001,Undetermined Rhodophyte,"","",Y,N,Rhodophyta,"","","",3000009,Phylum,Rhodophyta,Rhodophyta,"","","","","","","","","","","","","","","","","","","",13.2
Unknown Rhodophyte coccoid,"",Retired,Algae,Red Algae,Y,N,"",1599005,Undetermined Rhodophyte,"","",Y,N,Rhodophyta,"","","",3000010,Phylum,Rhodophyta,Rhodophyta,"","","","","","","","","","","","","","","","","","","",13.2
Unknown Rhodophyte filament,"",Retired,Algae,Red Algae,Y,N,"",1599007,Undetermined Rhodophyte,"","",Y,N,Rhodophyta,"","","",3000011,Phylum,Rhodophyta,Rhodophyta,"","","","","","","","","","","","","","","","","","","",13.2
Unknown Rhodophyte sp. UL NAWQA 1996 TS (filament),"",Retired,Algae,Red Algae,Y,N,"",1599002,Undetermined Rhodophyte,"","",Y,N,Rhodophyta,"","","",3000012,Phylum,Rhodophyta,Rhodophyta,"","","","","","","","","","","","","","","","","","","",13.2
"Unknown Rhodophyte sp. UL NAWQA 1996 TS (resting spore, filament)","",Retired,Algae,Red Algae,Y,N,"","",Undetermined Rhodophyte,"","",Y,N,Rhodophyta,"","","",3000013,Phylum,Rhodophyta,Rhodophyta,"","","","","","","","","","","","","","","","","","","",13.2
Bangia sp.,"",Current,Algae,Red Algae,Y,N,"",1550000,Bangia,"",BAN,Y,N,Bangia,"","","",3000014,Genus,Bangia,Rhodophyta,"","",Rhodophyceae,"","","",Bangiales,"","","",Bangiaceae,"","",Bangia,"","","","","",13.2
Boldia angustata,"",Current,Algae,Red Algae,N,N,"",1555000,Boldia angustata,"",BOLangus,N,N,Boldia angustata,Deason and Nichols,"","",3000015,Species,Boldia angustata Deason and Nichols,Rhodophyta,"","",Rhodophyceae,"","","",Bangiales,"","","",Boldiaceae,"","",Boldia,"",Boldia angustata,"","","",13.2
Boldia angustata Deason and Nichols,"",Current,Algae,Red Algae,N,N,"","",Boldia angustata,"",BOLangus,N,N,Boldia angustata,Deason and Nichols,"","",3000016,Species,Boldia angustata Deason and Nichols,Rhodophyta,"","",Rhodophyceae,"","","",Bangiales,"","","",Boldiaceae,"","",Boldia,"",Boldia angustata,"","","",13.2
Boldia erythrosiphon Herndon,"",Current,Algae,Red Algae,N,N,"","",Boldia erythrosiphon,"",BOLeryth,N,N,Boldia erythrosiphon,Herndon,"","",3000017,Species,Boldia erythrosiphon Herndon,Rhodophyta,"","",Rhodophyceae,"","","",Bangiales,"","","",Boldiaceae,"","",Boldia,"",Boldia erythrosiphon,"","","",13.2
Boldia erythrosiphon,Kumano2002 Pl 16 Figs 1-4,Current,Algae,Red Algae,N,N,"",1555001,Boldia erythrosiphon,"",BOLeryth,N,N,Boldia erythrosiphon,Herndon,"","",3000018,Species,Boldia erythrosiphon Herndon,Rhodophyta,"","",Rhodophyceae,"","","",Bangiales,"","","",Boldiaceae,"","",Boldia,"",Boldia erythrosiphon,"","","",13.2
