id,lat,long,SiteName,Collection,Substrate,Collector-Analyst,SampleType,Habitat,Year,region
1,-11.841,-71.466,Cocha Maizal,Amazon Lowland (Manu NP),,Fritz,core top,River,2013,Peru-Amazon Lowlands
2,-11.855,-71.455,Cocha Nueva,Amazon Lowland (Manu NP),,Fritz,core top,River,2013,Peru-Amazon Lowlands
3,-11.875,-71.391,Cocha Totora,Amazon Lowlands,epipelon,Fritz,surface sediment,River,2013,Peru-Amazon Lowlands
4,-11.884,-71.408,Cocha Cashu,Amazon Lowland (Manu NP),,Fritz,core top,River,2013,Peru-Amazon Lowlands
5,-11.951,-71.32,Cocha Gallareta,Amazon Lowland (Manu NP),,Fritz,core top,River,2013,Peru-Amazon Lowlands
6,-11.994,-71.218,Cocha Salvador,Amazon Lowland (Manu NP),,Fritz,core top,River,2013,Peru-Amazon Lowlands
7,-12.038,-71.191,Cocha Otoronga,Amazon Lowlands,epipelon,Fritz,surface sediment,River,2013,Peru-Amazon Lowlands
8,-12.254,-70.921,Cocha Isla de los Valles,Amazon Lowlands,epipelon,Fritz,surface sediment,River,2013,Peru-Amazon Lowlands
9,-14.002,-66.817,Laguna Colorada,Amazon Lowlands,epipelon,Fritz,surface sediment,Lake,2012,Bolivia-Amazon Lowlands
10,-14.092,-66.825,Laguna Brava,Amazon Lowlands,epipelon,Fritz,surface sediment,Lake,2012,Bolivia-Amazon Lowlands
11,-14.427,-67.922,Laguna Chalalan,Amazon Lowland (Madidi),,Fritz,core top,Lake,2012,Bolivia-Amazon Lowlands
12,-14.492,-67.866,Laguna Santa Rosa,Amazon Lowland (Madidi),,Fritz,core top,Lake,2012,Bolivia-Amazon Lowlands
13,-19.094,-63.5,Laguna Opabusu,Amazon Lowlands,epipelon,Fritz,surface sediment,Lake,2012,Bolivia-Amazon Lowlands
14,-18.374,-67.048,Rio Desaguadero: Poopo (town),Bradbury-SAltiplano,mud and algae,JP Bradbury,modern,River,2001,Desaguadero-SAltiplano
15,-18.349,-67.041,Rio Desaguadero,Bradbury-SAltiplano,flock,JP Bradbury,modern,River,2001,Desaguadero-SAltiplano
16,-18.348,-67.04,Rio Desaguadero,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,River,2001,Desaguadero-SAltiplano
17,-18.383,-67.016,Rio Poopo drainage,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,River,2001,Desaguadero-SAltiplano
18,-18.553,-66.996,Road tracks & N Lago Poopo plain,Bradbury-SAltiplano,mud and algae,JP Bradbury,modern,Pond,2001,Desaguadero-SAltiplano
19,-18.569,-66.953,N Lago Poopo plain,Bradbury-SAltiplano,mud,JP Bradbury,modern,Pond,2001,Desaguadero-SAltiplano
20,-18.569,-66.953,N Lago Poopo plain,Bradbury-SAltiplano,mud,JP Bradbury,modern,Pond,2001,Desaguadero-SAltiplano
21,-18.193,-67.087,Rio Desaguadero Balsa Crossing,Bradbury-SAltiplano,mud,JP Bradbury,modern,Pond,2001,Desaguadero-SAltiplano
22,-18.194,-67.087,Rio Desaguadero Balsa Crossing,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,Pond,2001,Desaguadero-SAltiplano
23,-18.193,-67.088,Rio Desaguadero Balsa Crossing,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,Pond,2001,Desaguadero-SAltiplano
24,-17.745,-67.307,Laguna Soledad (Uru Uru),Bradbury-SAltiplano,mud,JP Bradbury,modern,Lake,2001,Desaguadero-SAltiplano
25,-17.745,-67.307,Laguna Soledad (Uru Uru),Bradbury-SAltiplano,periphyton,JP Bradbury,modern,Lake,2001,Desaguadero-SAltiplano
26,-17.745,-67.307,Laguna Soledad (Uru Uru),Bradbury-SAltiplano,water + algae,JP Bradbury,modern,Lake,2001,Desaguadero-SAltiplano
27,-17.601,-67.529,Rio Desaguadero  Eucaliptus Bridge,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,channel,2001,Desaguadero-SAltiplano
28,-17.6,-67.529,Rio Desaguadero  Eucaliptus Bridge,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,channel,2001,Desaguadero-SAltiplano
29,-17.582,-67.515,Eucaliptus Laguna,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,Lake,2001,Desaguadero-SAltiplano
30,-17.666,-67.483,Huancaroma Dairy,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,wetland,2001,Desaguadero-SAltiplano
31,-17.661,-67.481,Huancaroma Dairy,Bradbury-SAltiplano,mud,JP Bradbury,modern,wetland,2001,Desaguadero-SAltiplano
32,-17.503,-68.422,Rio Quebrada Huajra Uma,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,River,2001,Desaguadero-SAltiplano
33,-17.468,-68.549,Laguna Blanca S.  Rio Jalsuri Uma,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,stream,2001,Desaguadero-SAltiplano
34,-17.468,-68.549,Laguna Blanca S.  Rio Jalsuri Uma,Bradbury-SAltiplano,mud,JP Bradbury,modern,stream,2001,Desaguadero-SAltiplano
35,-17.479,-68.586,Salcro Tarquiamaya,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,stream,2001,Desaguadero-SAltiplano
36,-17.326,-68.619,Flood Plain Pond near Pipeline,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,Pond,2001,Desaguadero-SAltiplano
37,-17.313,-68.618,Rio Desaguadero Bridge (pipeline),Bradbury-SAltiplano,periphyton,JP Bradbury,modern,channel,2001,Desaguadero-SAltiplano
38,-17.293,-68.635,Rio Mauri,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,River,2001,Desaguadero-SAltiplano
39,-17.293,-68.635,Rio Mauri algae,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,River,2001,Desaguadero-SAltiplano
40,-17.211,-68.678,Rio Desaguadero at Parco Khota,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,River,2001,Desaguadero-SAltiplano
41,-21.57,-68.034,Laguna Hedionda,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,Lake,,
42,-22.235,-67.746,Laguna Colorada,Bradbury-SAltiplano,mud and algae,JP Bradbury,modern,Lake,,
43,-22.235,-67.746,Laguna Colorada,Bradbury-SAltiplano,,JP Bradbury,modern,Lake,2001,Desaguadero-SAltiplano
44,-22.528,-67.646,Laguna Chairiri,Bradbury-SAltiplano,,JP Bradbury,modern,Lake,2001,Desaguadero-SAltiplano
45,-22.811,-67.774,Laguna Verde,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,Lake,,
46,-16.984,-68.786,Laguna Desaguadero,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,Lake,2001,Desaguadero-SAltiplano
47,-16.879,-68.797,Rio Desaguadero: Nazacara N.,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,River,2001,Desaguadero-SAltiplano
48,-16.644,-68.968,Rio Desaguadero: downstream from Desaguadero,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,River,2001,Desaguadero-SAltiplano
49,-16.564,-68.991,Lago Huiê±amarca,Bradbury-SAltiplano,periphyton,JP Bradbury,modern,Lake,2001,Desaguadero-SAltiplano
50,-13.616,-73.32,Pacucha,Bush-Guido,epipelon,Bush-Valencia,surface sediment,Lake,2009,Peru-Andean eastern
51,-13.576,-72.888,Uspacocha,Bush-Guido,epipelon,Bush-Valencia,surface sediment,Lake,2009,Peru-Andean eastern
52,-13.034,-72.377,Huamanmarca,Bush-Guido,epipelon,Bush-Valencia,surface sediment,Lake,2009,Peru-Andean eastern
53,-13.023,-72.378,Miski,Bush-Guido,epipelon,Bush-Valencia,surface sediment,Lake,2009,Peru-Andean eastern
54,-13.398,-72.123,Huaypo,Bush-Guido,epipelon,Bush-Valencia,surface sediment,Lake,2009,Peru-Andean eastern
55,-14.066,-71.494,Acopia,Bush-Guido,epipelon,Bush-Valencia,surface sediment,Lake,2009,Peru-Andean eastern
56,-20.144,-67.665,Salar de Uyuni,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
57,-20.144,-67.665,Salar de Uyuni,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
58,-20.144,-67.665,Salar de Uyuni,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
59,-21.568,-68.047,Laguna Hedionda,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
60,-21.505,-68.01,Laguna Canapa,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
61,-21.505,-68.01,Laguna Canapa,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
62,-21.505,-68.01,Laguna Canapa,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
63,-21.643,-68.079,Laguna Ramaditas,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
64,-21.643,-68.079,Laguna Ramaditas,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
65,-22.2,-67.766,Laguna Colorada,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
66,-22.2,-67.766,Laguna Colorada,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
67,-22.2,-67.766,Laguna Colorada,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
68,-22.2,-67.766,Laguna Colorada,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
69,-22.2,-67.766,Laguna Colorada,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
70,-22.2,-67.766,Laguna Colorada,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
71,-22.2,-67.766,Laguna Colorada,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
72,-22.2,-67.766,Laguna Colorada,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
73,-22.2,-67.766,Laguna Colorada,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
74,-21.73,-67.945,Laguna Cachi,Fritz-SA Altiplano,,Fritz,modern,Lake,1991,Sud Lipez
75,-17.597,-65.569,Laguna Challacaba,Cochabamba,,Fritz,core top,Lake,2007,Cochabamba
76,-22.182,-67.812,Laguna Colorada,Sud Lipez,,Fritz,modern,Lake,2016,Sud Lipez
77,-22.182,-67.812,Laguna Colorada,Sud Lipez,,Fritz,modern,Lake,2016,Sud Lipez
78,-22.182,-67.812,Laguna Colorada,Sud Lipez,,Fritz,modern,Lake,2016,Sud Lipez
79,-22.182,-67.812,Laguna Colorada,Sud Lipez,,Fritz,core top,Lake,2016,Sud Lipez
80,-22.191,-67.748,Laguna Colorada,Sud Lipez,,Fritz,core top,Lake,2016,Sud Lipez
81,-22.797,-67.828,Laguna Verde,Sud Lipez,,Fritz,core top,Lake,2016,Sud Lipez
82,-22.797,-67.828,Laguna Verde,Sud Lipez,,Fritz,core top,Lake,2016,Sud Lipez
83,-22.797,-67.828,Laguna Verde,Sud Lipez,,Fritz,core top,Lake,2016,Sud Lipez
84,-22.797,-67.828,Laguna Verde,Sud Lipez,,Fritz,core top,Lake,2016,Sud Lipez
85,-22.797,-67.828,Laguna Verde,Sud Lipez,,Fritz,core top,Lake,2016,Sud Lipez
86,-22.805,-67.805,Laguna Blanca,Sud Lipez,,Fritz,core top,Lake,2016,Sud Lipez
87,-22.805,-67.805,LagunaBlanca,Sud Lipez,,Fritz,core top,Lake,2016,Sud Lipez
88,-22.494,-67.615,Salar Chalvrvi spring1,Sud Lipez,,Fritz,modern,Spring,2016,Sud Lipez
89,-22.496,-67.615,Salar Chalviri lake1,Sud Lipez,,Fritz,modern,Lake,2016,Sud Lipez
90,-22.5,-67.506,Salar Chalviri spring2,Sud Lipez,,Fritz,modern,Spring,2016,Sud Lipez
91,-22.5,-67.505,Salar Chalviri spring2,Sud Lipez,,Fritz,modern,Spring,2016,Sud Lipez
92,-22.5,-67.506,Salar Chalviri lake2,Sud Lipez,,Fritz,modern,Lake,2016,Sud Lipez
93,-22.475,-67.417,Salar Chalviri salt works,Sud Lipez,,Fritz,modern,wetland,2016,Sud Lipez
94,-22.459,-67.394,Laguna Hedionda Sur,Sud Lipez,,Fritz,modern,Lake,2016,Sud Lipez
95,-22.424,-67.197,Laguna Loramayu sping,Sud Lipez,,Fritz,modern,Spring,2016,Sud Lipez
96,-22.414,-67.199,Laguna Loramayu lake,Sud Lipez,,Fritz,modern,Lake,2016,Sud Lipez
97,-22.226,-67.1,Pampa de los Lagunas bofedal,Sud Lipez,,Fritz,modern,Lake,2016,Sud Lipez
98,-22.222,-67.104,Pampa de los Lagunas lake,Sud Lipez,,Fritz,modern,Lake,2016,Sud Lipez
99,-15.72,-70.152,Umayo,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
100,-15.697,-70.198,Tunuipiju,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
101,-15.688,-70.209,Lake 3,GoslingBirdAndes,epipelon,Gosling-Bird,surface sediment,Lake,2003,Peru-Andean Puna
