collection;species_original;genera_harmonised;species_harmonised
Amazon-lowlands;Achnantes cf subatomus;Achnanthes;Achnanthes cf subatomus
Amazon-lowlands;Achnantes exigua;Achnanthidium;Achnanthidium exiguum
Amazon-lowlands;Adlafia cf minuscula;Adlafia;Adlafia minuscula
Amazon-lowlands;Amphipleura cf chiapanensis;Amphipleura;Amphipleura cf chiapanensis
Amazon-lowlands;Amphora veneta;Amphora;Amphora veneta
Amazon-lowlands;Aulacoseira ambigua;Aulacoseira;Aulacoseira ambigua
Amazon-lowlands;Aulacoseira granulata;Aulacoseira;Aulacoseira granulata
Amazon-lowlands;Brachysira vitrea;Brachysira;Brachysira vitrea
Amazon-lowlands;Caloneis aquacerulaeae;Caloneis;Caloneis aquacerulaeae
Amazon-lowlands;Cocconeis pediculus;Cocconeis;Cocconeis pediculus
Amazon-lowlands;Cocconeis placentula var euglypta;Cocconeis;Cocconeis placentula var euglypta
Amazon-lowlands;Cocconeis placentula var lineata;Cocconeis;Cocconeis placentula var lineata
Amazon-lowlands;Cocconeis placentula var placentula;Cocconeis;Cocconeis placentula var placentula
Amazon-lowlands;Craticula accomodiformis;Craticula;Craticula accomodiformis
Amazon-lowlands;Craticula cuspidata;Craticula;Craticula cuspidata
Amazon-lowlands;Craticula riparia;Craticula;Craticula riparia
Amazon-lowlands;Cyclostephanos cf invisitatus;Cyclostephanos;Cyclostephanos cf invisitatus
Amazon-lowlands;Cyclotella atomus;Cyclotella;Cyclotella atomus
Amazon-lowlands;Cyclotella distingueda;Cyclotella;Cyclotella distingueda
Amazon-lowlands;Cyclotella meneghiniana;Cyclotella;Cyclotella meneghiniana
Amazon-lowlands;Cymbella cymbiformis;Cymbella;Cymbella cymbiformis
Amazon-lowlands;Denticula elegans;Denticula;Denticula elegans
Amazon-lowlands;Denticula kuetzingii;Denticula;Denticula kuetzingii
Amazon-lowlands;Diadesmis cf lacunosa;Diadesmis;Diadesmis cf lacunosa
