id;CollectionName;Country;Collector-Analyst;Year;SiteName;SampleType;Habitat;Substrate;code_original;code;region;Lat DD S;Long DD W;EnvironmentalData (1=yes/2=no);Mud;Slides;Count;Observations
1;Amazon Lowland (Manu NP);Peru;Fritz;2013;Cocha Maizal;core top;River;;;AL(MNP)_CochMazl;Peru-Amazon Lowlands;-11,841;-71,466;1;1;1;1;COUNTED
2;Amazon Lowland (Manu NP);Peru;Fritz;2013;Cocha Nueva;core top;River;;;AL(MNP)_CochNuev;Peru-Amazon Lowlands;-11,855;-71,455;1;1;1;1;COUNTED
3;Amazon Lowlands;Peru;Fritz;2013;Cocha Totora;surface sediment;River;epipelon;;AmznLwl_CochTotr;Peru-Amazon Lowlands;-11,875;-71,391;1;1;0;1;COUNTED
4;Amazon Lowland (Manu NP);Peru;Fritz;2013;Cocha Cashu;core top;River;;;AL(MNP)_CochCash;Peru-Amazon Lowlands;-11,884;-71,408;1;1;1;1;COUNTED
5;Amazon Lowland (Manu NP);Peru;Fritz;2013;Cocha Gallareta;core top;River;;;AL(MNP)_CchGllrt;Peru-Amazon Lowlands;-11,951;-71,32;1;1;1;1;COUNTED
6;Amazon Lowland (Manu NP);Peru;Fritz;2013;Cocha Salvador;core top;River;;;AL(MNP)_CchSlvdr;Peru-Amazon Lowlands;-11,994;-71,218;1;1;1;1;COUNTED
7;Amazon Lowlands;Peru;Fritz;2013;Cocha Otoronga;surface sediment;River;epipelon;;AmznLwl_CchOtrng;Peru-Amazon Lowlands;-12,038;-71,191;1;1;0;0;Barren diatoms
8;Amazon Lowlands;Peru;Fritz;2013;Cocha Isla de los Valles;surface sediment;River;epipelon;;AmznLwl_CchIsdlV;Peru-Amazon Lowlands;-12,254;-70,921;1;1;0;0;Barren diatoms
9;Amazon Lowlands;Bolivia;Fritz;2012;Laguna Colorada;surface sediment;Lake;epipelon;;AmznLwl_LagnClrd;Bolivia-Amazon Lowlands;-14,002;-66,817;1;1;0;0;Barren diatoms
10;Amazon Lowlands;Bolivia;Fritz;2012;Laguna Brava;surface sediment;Lake;epipelon;;AmznLwl_LagunBrv;Bolivia-Amazon Lowlands;-14,092;-66,825;1;1;0;0;Barren diatoms
11;Amazon Lowland (Madidi);Bolivia;Fritz;2012;Laguna Chalalan;core top;Lake;;;AL(Mdd)_LgnChlln;Bolivia-Amazon Lowlands;-14,427;-67,922;1;1;1;1;COUNTED
12;Amazon Lowland (Madidi);Bolivia;Fritz;2012;Laguna Santa Rosa;core top;Lake;;;AL(Mdd)_LgnSntRs;Bolivia-Amazon Lowlands;-14,492;-67,866;1;1;1;1;COUNTED
13;Amazon Lowlands;Bolivia;Fritz;2012;Laguna Opabusu;surface sediment;Lake;epipelon;;AmznLwl_LagnOpbs;Bolivia-Amazon Lowlands;-19,094;-63,5;1;1;0;0;
14;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Rio Desaguadero: Poopo (town);modern;River;mud and algae;2 VI 01-2;Brdb-SA_RDsg:P();Desaguadero-SAltiplano;-18,374;-67,048;1;0;1;1;COUNTED
15;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Rio Desaguadero;modern;River;flock;2 VI 01-3a   ;Brdb-SA_RDesagdr1;Desaguadero-SAltiplano;-18,349;-67,041;1;0;1;1;COUNTED
16;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Rio Desaguadero;modern;River;periphyton;2 VI 01-3b ;Brdb-SA_RDesagdr2;Desaguadero-SAltiplano;-18,348;-67,04;1;0;1;0;
