"","Achnanthes.cf.submarina","Achnanthes.submarina","Achnanthidium.exiguum","Amphora.acutiuscula","Amphora.carvajaliana","Amphora.copulata","Amphora.sp..1.MISCANTI","Amphora.sp.1.BREA","Amphora.subacutiuscula","Anomoeoneis.sphaerophora.var.angusta","Aulacoseira.ambigua","Aulacoseira.crenulata.var.crenulata","Aulacoseira.granulata","Brachysira.atacamae","Campylodiscus.bicostatus","Campylodiscus.sp.1.MISCANTI","Cocconeis.placentula.var.euglypta","Cocconeis.placentula.var.lineata","Cocconeis.placentula.var.placentula","Craticula.cuspidata","Craticula.halophila","Cyclostephanos.andinus","Cyclostephanos.invisitatus","Cyclotella.meneghiniana","Cyclotella.ocellata","Cymatopleura.solea","Cymbella.cymbiformis.cystula","Cymbella.peraspera","Cymbellonitzschia.sp.1.MISCANTI","Denticula.kuetzingii","Denticula.thermalis","Diatoma.vulgaris","Diploneis.chilensis","Diploneis.ovalis","Discostella.stelligera","Encyonema.chilense","Encyonema.minutum","Encyonema.silesiacum","Epithemia.adnata","Epithemia.sorex","Epithemia.sp.1.MISCANTI","Eunotia.arcus","Fragilaria.capucina","Fragilaria.capucina.var.amphicephala","Fragilaria.crotonensis","Fragilaria.sp..1.NEGRO","Fragilaria.sp.1.LAGUNILLAS","Fragilariforma.cf.virescens","Frankophila.similioides","Geissleria.decussis","Gomphonema.acuminatum","Gomphonema.angustatum","Gomphonema.exigua","Gomphonema.gracile","Gomphonema.minutum","Gomphonema.truncatum","Gyrosigma.acuminatum","Haloroundia.speciosa","Hantzschia.amphioxys","Hippodonta.capitata","Hippodonta.hungarica","Hippodonta.sp.1.MISCANTI","Karayevia.laterostrata","Mastogloia.elliptica","Melosira.lineata","Melosira.varians","Muelleria.splendidula","Navicula.altiplanensis","Navicula.atacamana","Navicula.cf.cryptotenella","Navicula.cf.groschopfii","Navicula.cryptocephala","Navicula.cryptotenella","Navicula.kuripanensis","Navicula.lauca","Navicula.parinocota","Navicula.pseudogracilis","Navicula.radiosa","Navicula.salinicola","Navicula.sp.1.CANCHUCA","Navicula.sp.1.CIENAGAS","Navicula.sp.1.MISCANTI","Navicula.venetoides","Navicymbula.pusilla","Nitzschia.alpina","Nitzschia.amphibia","Nitzschia.brevissima","Nitzschia.brevissima.1","Nitzschia.fonticola","Nitzschia.inconspicua","Nitzschia.linearis","Nitzschia.sp.1.MISCANTI","Nitzschia.sp1.NEGRO","Nitzschia.sublinearis","Nitzschia.terrestris","Opephora.guenter.grassi","Pinnularia.gibba","Pinnularia.latevittata","Planothidium.cf.chilense","Planothidium.cf.engelbrechtii","Planothidium.lanceolatum","Pseudostaurosira.cf.elliptica","Pseudostaurosira.sp.1.MISCANTI","Pseudostaurosira.subsalina","Pseudostaurosira.zeilleri.var.elliptica","Rhopalodia.gibba","Sellaphora.pupula","Staurophora.vilamae","Staurosira.construens","Staurosira.construens.var.venter","Staurosirella.pinnata","Surirella.angusta","Surirella.biseriata","Surirella.ovalis","Surirella.sella","Surirella.striatula.var.halophila","Surirella.wetzelii","Tryblionella.compressa","Tryblionella.hungarica","Ulnaria.ulna"
"Chl-Crr_Chepical",0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77,0,0,0,0,0,0,73.58,0,0,0,0,0,0,0,0,0,0,0,16.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36
"Chl-Crr_LagunCpn",0,0,0,0,0,0,0,0,0,0,5.29,3.96,69.6,0,0,0,0,0,0,0,0,0,7.93,8.37,0.88,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chl-Crr_LagundTn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,17,0,0,0.8,65.1,0,0,0,0,0.2,0,0,0,0,0,0,1.2,0.8,0.4,5.4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,1.2
"Chl-Crr_LagunNgr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,0.46,0,0,0,0,0,0.46,82.65,0,0,0,1.37,0,0,0.46,0.46,0,11.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0
"Chl-Crr_LagunOch",0,0,15.81,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0.34,0,0,0,0,0.34,0,0,0,0,0,0,0.34,0,3.09,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,1.72,1.37,0,0,0,0,2.41,0,0,0,0,0,63.92,0,0,0,0,0,0,0,5.5,0,0.69,0,0,0,0,0,0,0,0,0
"Chl-Crr_LgnCnchc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,1.49,0,0,0,0,3.23,0,0,0.25,0,5.21,1.24,2.48,18.36,0,0,1.24,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.24,2.98,0.25,0,0,0,0,2.73,0,0,0,0,0,8.68,0,0.25,0.25,0,0,0,0,0.74,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0.74,0,0,0,0,0,0,0,1.74,0,0,0.99,0.25,0.25,0,0.25,0.5,0,0,0,0,0,26.55
"Chl-Crr_LgndlInc",0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0.88,1.77,0,0,0,0,0,0,0,80.09,0,0,0.44,0,0,0,0,0,0,8.41,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LacCore_LagunSec1",0,0,0,0,0,15.0300601202405,0,0,0,0,0,0,0,0,0,0,0,14.4288577154309,34.8697394789579,0,0,15.8316633266533,0,0,0,0,0,0,0,0,0,0,0,0,2.20440881763527,0.200400801603206,0,0,1.60320641282565,0.601202404809619,0,0,0,0,0,0,0.801603206412826,0.400801603206413,0,0,0,0,0,0,1.00200400801603,0,0,0,0,0.400801603206413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00200400801603,0,0,0,0,0,0,0,0,0,1.00200400801603,0,0,0,0,0,0.400801603206413,0,0,0,0,0,0,0,0,0.801603206412826,0,2.40480961923848,0,5.41082164328657,0.200400801603206,0,1.20240480961924,0,0,0,0.200400801603206,0,0,0,0,0,0,0,0,0
"LacCore_LgndlNgF1",0,0,0,0,0,0,0,0.838574423480084,0,0,0,0,0,0,0.628930817610063,0,2.51572327044025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838574423480084,0,0,0.209643605870021,0,0,0,0,0,0,0,2.09643605870021,0,0,0,2.93501048218029,16.5618448637317,0,0,0,0,0,0,0,4.40251572327044,2.09643605870021,0,0,0,0,0.628930817610063,5.24109014675052,0,0,0,0,0,10.272536687631,0,0,0.838574423480084,0,0,0,1.46750524109015,0,0,34.5911949685535,0,0,0,0,0,0,0,0,0,3.56394129979036,0,0,0,0,0.419287211740042,0,0,0,0.209643605870021,0,0,0.628930817610063,1.25786163522013,0,0.209643605870021,7.54716981132075,0
"LacCore_LgnMscnt1",1.64533820840951,3.6563071297989,0,0.182815356489945,0.548446069469835,0,1.27970749542962,15.1736745886654,0.182815356489945,0.182815356489945,0,0,0,0.914076782449726,0.731261425959781,0.182815356489945,20.6581352833638,0,0,0,1.09689213893967,0,0,0,0,0,0,0,6.39853747714808,0.731261425959781,7.6782449725777,0,1.09689213893967,0,0.548446069469835,0,0,0,0,0,0.182815356489945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19378427787934,0,0,0,0.36563071297989,0,0.36563071297989,0,0,0,0.548446069469835,7.12979890310786,0,1.09689213893967,0,0.914076782449726,3.10786106032907,0,0,0.914076782449726,0,2.0109689213894,0,0,0.548446069469835,0,1.27970749542962,0,0,0,0,0,0,0,0.36563071297989,0,0,0,0.182815356489945,0,0,1.27970749542962,0,0,0,0.182815356489945,0,0,0,0,0,0,0,0,0,0,0,3.29067641681901,0,0.548446069469835,0,10.6032906764168,0
