"","Achnanthes.cf.obliqua","Achnanthes.sp.1.GUATAVITA","Achnanthidium.aff.minutissimum","Achnanthidium.exiguum","Achnanthidium.minutissimum","Actinella.guianensis.var.guianensis","Actinella.punctata","Anomoeneis.brachysira","Anomoeoneis.sphaerophora","Aulacoseira.ambigua","Aulacoseira.cf.distans","Aulacoseira.distans","Aulacoseira.distans.var.laevissima","Aulacoseira.granulata","Aulacoseira.granulata.var.angustissima","Aulacoseira.spp","Brachysira.brebissonii","Brachysira.serians","Brachysira.vitrea","Caloneis.molaris","Cocconeis.placentula.var.placentula","Cyclotella.meneghiniana","Cyclotella.spp","Cymbella.aff.ventricosa","Cymbella.cf.hustedtii","Cymbella.cf.spicula","Cymbella.spp","Cymbella.ventricosa","Desmogonium.sp.","Diadesmis.confervacea","Discostella.stelligera","Encyonema.cf.krammeri","Encyonema.gracile","Encyonema.minutum","Encyonema.silesiacum","Encyonopsis.microcephala","Epithemia.adnata","Epithemia.sorex","Epithemia.spp","Epithemia.turgida","Eunotia.aff..paludosa","Eunotia.aff.minor","Eunotia.camelus","Eunotia.cf.paludosa","Eunotia.cf.polydentula","Eunotia.cf.serra","Eunotia.denticulata","Eunotia.didyma","Eunotia.exigua","Eunotia.faliax","Eunotia.flexuosa","Eunotia.formica","Eunotia.glacialis","Eunotia.hemicyclus","Eunotia.intermedia","Eunotia.meisteri","Eunotia.minor","Eunotia.naegelii","Eunotia.paludosa","Eunotia.parapraerupta","Eunotia.polydentula","Eunotia.serra","Eunotia.spp","Eunotia.subacuartoides","Eunotia.tenella","Eunotia.tinacria","Eutnota.aff..paralella","Fragilaria.aff.nanana","Fragilaria.aff.tenera","Fragilaria.nanana","Fragilaria.sp.1.FUQUENE","Fragilaria.spp","Fragilariforma.aff.virescens","Fragilariforma.virescens","Frustulia.aff..megaliesmontana","Frustulia.megaliesmontana","Frustulia.rhomboides","Frustulia.rhomboides.var.capitata","Frustulia.rhomboides.var.saxonica","Gomphonema.acuminatum","Gomphonema.cf.parvulum","Gomphonema.exilissimum","Gomphonema.gracile","Gomphonema.parvulum","Gomphonema.truncatum","Gomphonema.truncatum.UBAQUE","Gyrosigma.cf.obtusatum","Kobayasiella.subtilissima","Lemnicola.hungarica","Luticola.mutica","Melosira.linearis","Navicula.aff..cryptocephala","Navicula.aff..gallica","Navicula.aff.subtilissima","Navicula.contenta","Navicula.cryptocephala","Navicula.radiosa","Navicula.spp","Neidium.cf.hercynicum","Neidium.hercynicum","Nitzschia.aff.dissipata","Nitzschia.aff.nanana","Nitzschia.amphibia","Nitzschia.cf.angustata","Nitzschia.cf.incognita","Nitzschia.cf.inconspicua","Nitzschia.cf.palea","Nitzschia.inconspicua","Nitzschia.palea","Nitzschia.spp","Pinnularia.acrosphaeria","Pinnularia.aff.termitina","Pinnularia.borealis","Pinnularia.brauniana","Pinnularia.cf..maior","Pinnularia.maior","Pinnularia.mesogongyla","Pinnularia.rupestris","Pinnularia.spp","Pinnularia.stomatophora","Pinnularia.subrostrata","Pinnularia.termitina","Pinnularia.viridis","Planothidium.lanceolatum","Rhopalodia.gibba","Rophalodia.rupestris","Stauroneis.spp","Staurosirella.pinnata","Stenopterobia.cf.delicatissima","Surirella.cf.linearis","Surirella.delicatissima","Tabellaria.fenestrata","Tabellaria.flocculosa","Tabellaria.sp.1.VERJON","Ulnaria.ulna"
"Clm-A-C_Belmir-1",0,0,0,0,0.200803212851406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70281124497992,0,0,0,0,0,0,0,0,0,7.42971887550201,0,0,0,0,0,0,0.70281124497992,0,0,0,0,0,0,0,1.50602409638554,0,0,0,1.00401606425703,0,0,0.70281124497992,0.200803212851406,0,0.200803212851406,0,0.200803212851406,0,0,0,0,0,0,0,0,0,0,0,12.14859437751,0,5.02008032128514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.1285140562249,0,0,0,0,0.200803212851406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200803212851406,0,0,0,0,0,0,12.4497991967871,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clm-A-C_Belmir-2",0,0,0,0,0,0,0,0.2002002002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1121121121121,0,0,0,0,0,0,0,0,0,0.4004004004004,0,0,0,0,0,0,1.6016016016016,4.9049049049049,0,0,0,0,1.3013013013013,0,0,0,0,0,0,0,0,0,61.2612612612613,0,0.900900900900901,0.700700700700701,0,0,0,0,0,0,0,0,0,0,6.30630630630631,0,0,0,0,1.8018018018018,0,0,0,0,0,0,0.2002002002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5045045045045,0,0.900900900900901,0,0,1.8018018018018,0,0,0,0,0,0,0,0,0,1.1011011011011,0,0,0
"Clm-A-C_Belmir-3",0,0,0,0,9.00900900900901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8018018018018,0,0,0,0,0,0,0,0,0,0,0,0,0.900900900900901,0,0,0,0,0.900900900900901,0.900900900900901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.4414414414414,0,0,0,0,0,0,0,0,0.900900900900901,0,0,0,0,7.20720720720721,0,0,0,0,0,0,0,0,0,0,27.9279279279279,0,0,0,6.30630630630631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8018018018018,0,0,0.900900900900901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clm-A-C_Guarne-1",0,0,5.69430569430569,0,0,0,0,73.8261738261738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999000999000999,10.0899100899101,0,2.4975024975025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1968031968032,0,0,0,0,0,0,0,0,0,0,0.699300699300699,0,0,0,0,0,0,0,0,0.999000999000999,0,0,0,1.998001998002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clm-A-C_Guarne-2",0,0,0,0,9.2,0,0,68.1,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.2,6.8,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1.7,0.2,0,0,0.7,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clm-A-E_Cucunb-1",0,0,0,0,9.16908309169083,0,0,5.82941705829417,0,0,0,0,0,0,0,0,0,0,23.3276672332767,0,0,1.24987501249875,0,1.24987501249875,0,0,0.20997900209979,0,0,0,0,0,0,0,0,8.95910408959104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1994800519948,0,0,0,0,0,0,0,0,0,10.8289171082892,0,0,0,0,0,0,0,0,0,0,0,5.41945805419458,0,0,0.20997900209979,2.28977102289771,0,0,0,0,0,0,0,0,0,0,0,0.62993700629937,0,0,0,0,0,8.12918708129187,0,0,0,1.87981201879812,0,0,6.03939606039396,0,0,0,0,0,0,0,0,0,0,0,6.24937506249375,0,0,0,3.12968703129687,0,0,0,0,0,0,0,0,0,0
"Clm-A-E_Cucunb-2",0,0,0,0,11.958804119588,0,0,8.90910908909109,0,0,0,0,0,0,0,0,0,0,31.0868913108689,0,0,1.08989101089891,0,0,0,0,0,1.51984801519848,0,0,0,0,0,0,0,7.82921707829217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21997800219978,0,0,0,0,0,0,0,0.21997800219978,0,0,0,0,0,0,0,0,0,4.77952204779522,0,14.7785221477852,0,0.42995700429957,0,0,0,0,0,0,0,2.82971702829717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86991300869913,0,0,0,0,0,0,0,0,0,0,0,6.2993700629937,3.25967403259674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6996300369963,0,0,0,0,0,0,0,0.21997800219978,0,0
"Clm-A-E_Fuquen-1",0,0,0,0,0.740444266559936,0,0,0,0,0.980588353011807,0,0,29.9979987992796,0.490294176505904,1.40084050430258,0,0,0,0,0,1.72103261957174,0,0.980588353011807,0,0,0,0,0,0,0,1.47088252951771,0,0,0,0,0,0,34.1705023013808,0,13.277966780068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250150090054032,0,0,0,0,0,6.14368621172704,0,0,0,0,0,0,0,0,0,0,0.250150090054032,0,0,0.250150090054032,6.88413047828697,0,0,0.250150090054032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250150090054032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490294176505904,0,0
"Clm-A-E_Fuquen-2",0,0,0,0,0.69006900690069,0,0,0,0,0,0,0,0,1.85018501850185,0,0,0,0,0,0,0,0.69006900690069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23002300230023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6716671667167,0,0,0,0,0,0,0,0,0,0,17.5917591759176,0,0,0,0,0,0,0,0,0,0,0,0.69006900690069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23002300230023,0,0,0,0.93009300930093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.4260426042604,0,0
"Clm-A-E_Fuquen-3",0,0,0,0,0,0,0,0,0,0.820246073822147,0,0,6.97209162748825,7.38221466439932,0.610183054916475,0,0,0,0,0,0.200060018005402,1.23036911073322,0,0,0,0,0,0.410123036911073,0,0,0,0,0,0,0,0,0,32.999899969991,0,2.46073822146644,0,0,0,0,0,0,0,0,0,0,0,0,1.23036911073322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200060018005402,43.4530359107732,0,0,0,0,0,0,0,0,0,0,0,1.02030609182755,0,0,0.610183054916475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200060018005402,0,0,0.200060018005402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
