"","Acanthoceras.sp.1","Achnanthes.inflata","Achnanthes.sp.1.AYAPEL","Achnanthes.sp.1.CAUCA","Achnanthes.sp.1.PINAL","Achnanthes.sp.2.CAUCA","Achnanthes.sp.3.CAUCA","Achnanthes.sp.4.CAUCA","Achnanthes.sp.5.CAUCA","Achnanthes.spp","Achnanthidium.cf.minutissimum","Achnanthidium.exiguum","Achnanthidium.minutissimum","Actinella.brasiliensis.var.brasiliensis","Actinella.guianensis.var.guianensis","Actinella.pararobusta","Actinella.robusta.var.robusta","Amphora.lybica","Amphora.sp.1.CAIMANA","Amphora.spp","Anomoeneis.brachysira","Aulacoseira.aff.italica","Aulacoseira.cf.agassizii","Aulacoseira.cf.ambigua","Aulacoseira.granulata","Aulacoseira.granulata.var.angustissima","Aulacoseira.herzogii","Aulacoseira.spp","Auxospores","Brachysira.serians","Brachysira.serians.var.acuta","Brachysira.vitrea","Caloneis.molaris","Caloneis.sp.1.SANROQUE","Caloneis.spp","Cocconeis.placentula.var.euglypta","Cocconeis.placentula.var.placentula","Craticula.halophila","Cyclotella.cf.meneghiniana","Cyclotella.meneghiniana","Cyclotella.spp","Cymbella.aequalis","Cymbella.aff.ventricosa","Cymbella.angustata","Cymbella.cf.krasskei","Cymbella.cf.spicula","Cymbella.sp.1.CAUCA","Cymbella.sp.2.CAUCA","Cymbella.spp","Cymbella.ventricosa","Cymbopleura.amphicephala","Desmogonium.cf.rabenhorstianum","Desmogonium.sp.","Diadesmis.confervacea","Diadesmis.contenta","Diatom.spp","Diploneis.ovalis","Discostella.stelligera","Encyonema.gracile","Encyonema.silesiacum","Encyonopsis.cesatii","Encyonopsis.microcephala","Eolimna.minima","Epithemia.spp","Epithemia.turgida","Eunotia.aff..patrickae","Eunotia.aff.glacialis","Eunotia.asterionelloides","Eunotia.bidentula","Eunotia.bilunaris.var.mucophila","Eunotia.camelus","Eunotia.cf.faba","Eunotia.cf.rynchocephala","Eunotia.cf.soleirolii","Eunotia.didyma","Eunotia.didyma.var.elegant","Eunotia.didyma.var.papilio","Eunotia.fermiformis","Eunotia.flexuosa","Eunotia.glacialis","Eunotia.intermedia","Eunotia.luna.var.aequalis","Eunotia.minor","Eunotia.monodon","Eunotia.naegelii","Eunotia.parallela","Eunotia.parasiolii","Eunotia.pectinalis.var.undulata","Eunotia.praerupta","Eunotia.rabehorstiana","Eunotia.septentrionalis","Eunotia.sp.1.CAUCA","Eunotia.spp","Eunotia.subacuartoides","Eunotia.syanedraformis.var.angusta","Eunotia.transfuga","Eunotia.trigibba","Eunotia.yanomanii","Fragilaria.aff.nanana","Fragilaria.aff.tenellum","Fragilaria.aff.tenera","Fragilaria.cf.capucina","Fragilaria.nanana","Fragilaria.rhomboides","Fragilaria.sp.1.CAUCA","Fragilaria.spp","Fragilariforma.javanica","Fragilariforma.virescens","Fragilariforma.virescens.var.mesolepta","Frustulia.rhomboides","Gomphonema.cf.acustiusculum","Gomphonema.cf.angustatum","Gomphonema.cf.subtile","Gomphonema.gibberum","Gomphonema.gracile","Gomphonema.grunowi","Gomphonema.parvulum","Gomphonema.sp.1.CAIMANA","Gomphonema.sp.2.CAIMANA","Gomphonema.sp.3.CAIMANA","Gomphonema.spp","Gomphonema.subtile","Gyrosigma.sp.1.CAIMANA","Gyrosigma.sp.2.CAIMANA","Gyrosigma.spp","Hantzschia.amphioxys","Hantzschia.spp","Kobayasiella.subtilissima","Luticola.mutica","Luticola.sp..1.SANROQUE","Melosira.sp.1.CAIMANA","Melosira.spp","Navicula.arvensis","Navicula.cryptocephala","Navicula.exigua","Navicula.gallica.var..laevissima","Navicula.radiosa","Navicula.sp.1.CAIMANA","Navicula.sp.1.CAUCA","Navicula.sp.1.SANFRANCISCO","Neidium.densestriatum","Nitzschia.aff.terrestris","Nitzschia.amphibia","Nitzschia.palea","Nitzschia.sp.1.CAIMANA","Nitzschia.sp.1.CAUCA","Nitzschia.sp.2.CAIMANA","Nitzschia.sp.2.CAUCA","Nitzschia.sp.3.CAIMANA","Nitzschia.spp","Nitzschia.terrestris","Nupela.tenuistriata","Orthoseira.cf.roseana","Orthoseira.dendroteres","Orthoseira.roseana","Pinnularia.acrosphaeria","Pinnularia.borealis","Pinnularia.brauniana","Pinnularia.brebissonii.var.diminuta","Pinnularia.cf.laucensis","Pinnularia.cf.subgibba","Pinnularia.gibba","Pinnularia.hemiptera","Pinnularia.ignobilis","Pinnularia.interrupta","Pinnularia.laucensis","Pinnularia.maior","Pinnularia.microstauron","Pinnularia.obscura","Pinnularia.rostratissima","Pinnularia.spp","Pinnularia.subcapitata","Pinnularia.termitina","Pinnularia.viridis","Planothidium.cf.lanceolatum","Pseudostaurosira.brevistriata","Rhopalodia.gibba","Rhopalodia.gibberula","Rophalodia.spp","Sellaphora.pupula","Sellaphora.rectangularis","Stauroneis.anceps","Stauroneis.phoenicenteron","Stauroneis.spp","Staurosira.construens.var.venter","Staurosirella.pinnata","Stenopterobia.curvula","Stenopterobia.delicatissima","Surirella.aff.guatemalensis","Surirella.aff.taianensis","Surirella.capronii","Surirella.cf.delicatissima","Surirella.delicatissima","Surirella.linearis","Surirella.linearis.var.constricta","Surirella.sp.1.CAUCA","Surirella.spp","Synedra.sp.1.CAUCA","Synedra.spp","Tabellaria.flocculosa","Ulnaria.ulna","Unknown"
"Clm-L-E_Carimg-1",0,0,0,0,0,0,0,0,0,0,0,0,0,2.76916924922523,0.399880035989203,0,0,0,0,0,0,0,0.199940017994602,0,0.789763071078676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199940017994602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9591122663201,8.88733379986004,0,0,0,0,0.399880035989203,0,0,0,0,0,0,0,0,6.31810456862941,4.34869539138259,0,0.199940017994602,0,0,0,0,5.72828151554534,0,2.36928921323603,0,0.789763071078676,0,0,0,4.73857842647206,0,0,1.18964310706788,3.15905228431471,5.72828151554534,0.199940017994602,0.789763071078676,0,0,0,0,0,0,0,0,31.6105168449465,0,0,5.52834149755074,0,0,3.35899230230931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18964310706788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789763071078676,0,0,0,0,0,0.399880035989203,0,0.199940017994602,0,0,0,0,0,0,0,0,0,0,0,0.399880035989203,0,0,0,0,0,0,0,0.199940017994602,0,0,0,0,0,0,0,0.399880035989203,0,0,0.399880035989203,0,3.15905228431471,0.199940017994602,0,0,0,0,0,0,0,0
"Clm-L-E_Carimg-2",0,0,0,0,0,0,0,0,0,0,0,0,0,2.54025402540254,0.72007200720072,0,0,0,0,0,1.09010901090109,0,0,0,1.09010901090109,0,1.09010901090109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45014501450145,9.06090609060906,0,0,0,0,0.36003600360036,0,0,0.36003600360036,0,0,0,0,0,3.99039903990399,0,0,0,0.36003600360036,0,0,0,6.88068806880688,0,5.07050705070507,0,0,0,0,0,7.25072507250725,0,0,3.26032603260326,2.17021702170217,5.43054305430543,0,0,0,0,0,0,0,0,0,0,36.2336233623362,0,0,2.9002900290029,0,0,3.99039903990399,1.09010901090109,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36003600360036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36003600360036,0,0,0,0,0,0,0,0.36003600360036,0,0,0,0,0,0,0,0,0,0,0,0.36003600360036,0,0,0,0,0,0,0,0,0,0.36003600360036,0,0,0,0,0,1.81018101810181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clm-L-E_Carimg-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604646228916941,0,0,0,0,0,0,0,0,0,1.61238994377851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26349846186486,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01548742972314,0,0,0,0,0,0,0,3.0232311445847,0,4.23252360241858,0,0.604646228916941,0,0,0,4.63562108836321,0,0,1.61238994377851,2.82168240161239,4.63562108836321,0,0.604646228916941,0,0,0,0,0,0,0,0,44.9771931685584,0,0,5.84491354619709,0,0,5.84491354619709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62013365864008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806194971889254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24026731728015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clm-L-E_Carimg-4",0,0,0,0,0,0,0,0,0,0,0,0.625177607274794,0,1.07037984275836,0.833570143033059,0,0,0,0,0,0,0.208392535758265,0,0,10.6659088756275,0,3.13536042436298,0,0,0,2.45334848915412,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25035521454959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47911338448423,1.88500520981339,0,0,0,0,1.04196267879132,0,0,0,0,0,0,0,0,1.46822013829686,0,0,0,0,0.179975371791229,0,0,8.15572605853936,0,1.04196267879132,0,0,0,0,0.179975371791229,0.416785071516529,0,0,1.25035521454959,1.67661267405513,3.76053803163778,0,0.833570143033059,0,0,0,0,0,0,0,0,20.2803826844748,0,0,2.30179028132992,0,0,4.39518802690158,1.43980297432983,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76053803163778,0,0,0,0,1.25035521454959,0.833570143033059,0,0.179975371791229,0,0,0,0,0.208392535758265,0,0,0,0,0,0,0,0,0,0,0.833570143033059,0,0,0,0,0,0,1.88500520981339,2.18812162546178,0.208392535758265,0,0,0,0.179975371791229,0,0,0.833570143033059,0,0,0.719901487164914,0.833570143033059,0,0.208392535758265,0,0,0,0,0,0.416785071516529,0,0,0,0,0,0,0.833570143033059,4.18679549114332,1.04196267879132,0,0.179975371791229,0,0,1.46822013829686,0,0,0,0,0,0,0,0.719901487164914
"Clm-L-E_Carimg-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0.883239982766049,2.2404136148212,0,0,0,0,0,0,0,0,0,0,0,10.7281344248169,0,0,0,0,0,0,0,0,0,0,0.883239982766049,0,0,0,0,0,0.883239982766049,3.12365359758725,0,0,0,0,0,3.5760448082723,0,0,0,0,0,0,0,0,12.063765618268,3.12365359758725,0,0,0,0,0,0,0,0,0,0,0,0,1.3356311934511,1.3356311934511,0,0,0.45239121068505,0,0,0,0,4.91167600172339,0,1.78802240413615,0,0,0,0,0,0.883239982766049,0,0,0,2.2404136148212,0,0,3.12365359758725,0,0,0,0,0,0,0,0,0,0,0,2.6712623869022,0,0,14.3041792330892,2.6712623869022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883239982766049,0,0,0,0,0,0,0,0,0,0,0,0,0.45239121068505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45239121068505,0.883239982766049,0,6.24730719517449,0,0.883239982766049,0,0,0,0,0.45239121068505,0,2.6712623869022,0,3.5760448082723,0,0,0,0,0,1.78802240413615,0,2.2404136148212,0,0,0,0,0,1.3356311934511,2.2404136148212,0,0,0,0,2.6712623869022,0,0,0,0,0,0,0,0
"Clm-L-E_Mrgrts-1",0,0,0,0,0,0,0,0,0,0,4.16708304187069,0,0,0,0,0.20985310282802,0,0,0,0,0.829419406415509,0,0.20985310282802,0,4.37693614469871,0,0.629559308484061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53752373338663,0,0,0,0,0,0,0,0,0,0,0,0.20985310282802,0,0,0,0,0,0,0,0,1.24912561207155,0,0,0.20985310282802,1.03927250924353,0,0.20985310282802,0,1.66883181772759,0.629559308484061,0,0,2.70810432697112,0,0,0.20985310282802,0.20985310282802,0.20985310282802,0,0,6.03577495752973,0,4.57679624263016,0,0,0.629559308484061,0,0.629559308484061,0,0,0,7.70460677525732,0,4.37693614469871,1.45897871489957,0,0,0,0,0,0,0,0,0,31.2281403017887,0,0,8.32417307884481,1.24912561207155,0,1.03927250924353,0,0.419706205656041,0,0,0,0,0,0,0,0,0,0,0,0,0.419706205656041,0.20985310282802,0,0,0,0,1.03927250924353,0,0,0.419706205656041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03927250924353,0.20985310282802,0.419706205656041,0,1.66883181772759,0,0,0,0,0.20985310282802,0.20985310282802,0,2.91795742979914,0,0,0,0,0,0,0,0.20985310282802,0,0.20985310282802,0,0,0,0,0,0.419706205656041,0,0,0,0,0,0.20985310282802,0,0,0,0,0,0,0,0
"Clm-L-E_Mrgrts-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.69,0,13.79,0,0,0,0,0,0,0,0,3.45,0,3.45,0,0,0,0,0,0,0,0,0,0,10.34,0,0,13.79,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clm-L-E_Mrgrts-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1375862413759,0,3.44965503449655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8993100689931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44965503449655,0,0,0,0,0,0,0,0,0,0,0,0,13.7886211378862,3.44965503449655,0,0,0,0,0,0,0,0,0,10.3389661033897,0,0,6.8993100689931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44965503449655,0,0,0,0,0,0,3.44965503449655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8993100689931,0,0,0,0,0,0,0,13.7886211378862
"Clm-L-E_Pinal-1",0,0,0,0,0.720288115246098,0,0,0,0,0,0,0,0,0.240096038415366,0,0,0.960384153661465,0,0,0,0,0,3.61144457783113,0,22.8991596638655,0,20.7282913165266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240096038415366,0,0,0,0,0,0,0,0.240096038415366,0,0,0,0,0,0,0,0,7.23289315726291,0,0,0,0,1.4405762304922,0,0,0.480192076830732,0,3.61144457783113,0,0.240096038415366,1.45058023209284,3.86154461784714,0,0,1.20048019207683,0,0,0,0,12.0548219287715,0,2.17086834733894,0,0,0,0,0,0,0,0,5.78231292517007,0,0,0,0.480192076830732,0,0,0,0,0,0,0,0,0,0.240096038415366,0,0.480192076830732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6906762705082,0,0,0,0,0.480192076830732,0,0,1.45058023209284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240096038415366,0,0,2.89115646258503,0,0,0,0,0,0,0,0,0,0.240096038415366,0.480192076830732,0,0,0,0,0.960384153661465,0.480192076830732,0,0,0,0,0.720288115246098,0,0,0,0,0,0,0,0
"Clm-L-E_Pinal-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24962511246626,0,0,0,0,0,0.619814055783265,0,36.1591522543237,0,15.3753873837849,0,0,0,0,0,0,0,0,0,0,0.619814055783265,0,0,0,0,0,1.03968809357193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419874037788663,8.31750474857543,0,0,0,0,0.629811056682995,0,0.419874037788663,0.209937018894332,0,0.829751074677597,0,0.829751074677597,0,1.45956213136059,0,0,0.209937018894332,0,0,0,0,7.4777566729981,0,4.98850344896531,1.03968809357193,0,0,0,0.419874037788663,0,0,0,6.23812856143157,0,0,0,0.209937018894332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829751074677597,0,1.45956213136059,0,0,0,0,0,0,0,0,0,0,0,0,1.03968809357193,0,0,0,0,0,0,0,2.07937618714386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419874037788663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209937018894332,0,0,0.619814055783265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15875237428771,0,0,0,0,0,0.419874037788663,0,0,0,0,0,0,0,0
