"","Achnanthes.f..elliptica","Achnanthes.inflata","Achnanthes.linearis","Achnanthes.sp..GALAPAGOS","Achnanthidium.exiguum","Achnanthidium.microcephalum","Adlafia.minuscula","Amphiphora.gigantea.var.sulcata","Amphora.acutiuscula","Amphora.baulii","Amphora.caroliniana","Amphora.coffeaeformis","Amphora.fontinelis","Amphora.holsatica","Amphora.sabiniana","Amphora.sp..2.GALAPAGOS","Amphora.sp.1.GALAPAGOS","Amphora.submontana","Anomoeoneis.sphaerophora","Anomoeoneis.sphaerophora.1","Asterionella.sp.1.GALAPAGOS","Asteroemphalus.hookeri","Asteromphalus.hiltonianus","Aulacoseira.granulata","Aulacoseira.herzogii","Bacilaria.sp.1.GALAPAGOS","Bacteriastrumÿhyalinum","Biddulphia.aurita","Biddulphia.birostrata","Biddulphia.sp.1","Brachysira.brebissonii","Caloneis.bacillum","Caloneis.toussiengii","Campilodiscus.olypeus","Campylodiscus.clypeus","Cavinula.pseudoscutiformis","Chaetoceros.diversus","Chaetoceros.eibenii","Cocconeis.dirupta","Cocconeis.placentula.var.lineata","Cocconeis.placentula.var.placentula","Cocconeis.soukupi","Coscinodiscus.gigas","Coscinodiscus.sp..1.GALAPAGOS","Craticula.cuspidata","Cyclostephanos.sp.1.GALAPAGOS","Cyclotella.atomus","Cyclotella.operculata","Cyclotella.sp..2.GALAPAGOS","Cyclotella.sp.1.GALAPAGOS","Cymbella.aspera","Cymbella.delicatissima","Cymbella.rainierensis","Cymbella.sp..1.GALAPAGOS","Cymbella.sp..2.GALAPAGOS","Cymbella.sp..3.GALAPAGOS","Cymbella.sp..4.GALAPAGOS","Cymbella.thienewanii","Cymbella.ventricosa","Cymbella.yarrensis","Delphineis.angustata","Denticula.elegans.var.elegans","Denticula.sp..1.GALAPAGOS","Diploneis.gruendlerii","Diploneis.notabilis","Diploneis.puella","Diploneis.smithii","Discostella.stelligera","Encyonema.microcephala","Encyonema.muelleri","Epithemia.argus","Epithemia.emarginata","Epithemia.sorex","Epithemia.sp..1.GALAPAGOS","Eunotia.arcubus","Eunotia.faliax","Eunotia.parallela","Eunotia.soleirolii","Fragilaria.amphicephaloides","Fragilaria.capucina.var.amphicephala","Fragilaria.construens.var.venter","Fragilaria.incisa","Fragilaria.pinnata.var.lanettula","Fragilaria.sp..1.GALAPAGOS","Fragilaria.sp..2.GALAPAGOS","Fragilaria.sp..3.GALAPAGOS","Fragilaria.sp..4.GALAPAGOS","Frustulia.isabelica","Frustulia.rhomboides","Frustulia.sp..1.GALAPAGOS","Gomphonema.angustatum","Gomphonema.brasiliense","Gomphonema.gracile","Gomphonema.gracile.var.naviculacea","Gomphonema.grovei","Gomphonema.parvulum","Gomphonema.sp..1.GALAPAGOS","Gomphonema.subclavatum","Gomphonema.subclavatum.var.mexicanum","Grammatophora.oceanica","Hannaea.arcus","Hantzschia.amphioxys","Hantzschia.sp..1.GALAPAGOS","Iconella.cuspidata","Karayeviaÿlaterostrata","Lampriscus.kittonii","Licmophora.sp.1.GALAPAGOS","Mastogloia.braunii","Mastogloia.braunii.f.elongata","Mastogloia.decussata","Mastogloia.drouetiana","Mastogloia.exigua","Mastogloia.habansis","Mastogloia.habansis.1","Mastogloia.lanceolata","Mastogloia.pusilla","Mastogloia.sp.1.GALAPAGOS","Mastogloia.sp.2.GALAPAGOS","Mastogloia.sp.3.GALAPAGOS","Mastogloia.sp.4.GALAPAGOS","Mastogloia.sp.5.GALAPAGOS","Mastogloia.sp.6.GALAPAGOS","Mastogloia.sp.7.GALAPAGOS","Mastogloia.sp.8.GALAPAGOS","Melosira.distans","Navicula.angusta","Navicula.cari","Navicula.cincta","Navicula.concamerata","Navicula.crateri","Navicula.cryptocephaloides","Navicula.cryptotenella","Navicula.formenterae","Navicula.gondwana","Navicula.gracilis","Navicula.rhynchotella","Navicula.salinarum","Navicula.sp..1.GALAPAGOS","Navicula.sp..2.GALAPAGOS","Navicula.sp..4.GALAPAGOS","Navicula.sP..5.GALAPAGOS","Navicula.sp..6.GALAPAGOS","Navicula.sp..7.GALAPAGOS","Navicula.sp..8.GALAPAGOS","Navicula.sp.3.GALAPAGOS","Navicula.tagiana","Navicula.valida","Navicula.viridula","Navicymbula.pusilla","Neidium.iridis.var.amphigomphus","Nitzschia.acuta","Nitzschia.amphibia","Nitzschia.beagleana","Nitzschia.communis","Nitzschia.commutata","Nitzschia.confinis","Nitzschia.curta","Nitzschia.elliptica","Nitzschia.fasciculata","Nitzschia.fonticola","Nitzschia.frustulum","Nitzschia.gracilis","Nitzschia.kutzingiana","Nitzschia.microcephala","Nitzschia.obtusa","Nitzschia.palea","Nitzschia.paleacea","Nitzschia.recta","Nitzschia.sigma","Nitzschia.socialis.var.kariana","Nitzschia.sp..1.GALAPAGOS","Nitzschia.sp..2.GALAPAGOS","Nitzschia.sp..3.GALAPAGOS","Nitzschia.sp.4..GALAPAGOS","Nitzschia.subcommunis","Nitzschia.sublinearis","Nitzschia.vitrea","Pinnularia.abaujensis","Pinnularia.acuminata","Pinnularia.biceps","Pinnularia.brauniana","Pinnularia.brevicostata","Pinnularia.gentilis","Pinnularia.microstauron","Pinnularia.nobilis","Pinnularia.sp..2.GALAPAGOS","Pinnularia.sp..3.GALAPAGOS","Pinnularia.subcapitata","Placoneis.explanata","Plagiotropis.vitrea","Planothidium.lanceolatum","Pleurosigma.affine","Pleurosigma.normanii","Rhopalodia.gibba","Rhopalodia.gibberula","Sellaphora.laevissima","Sellaphora.pupula","Stauroneis.fluminea","Stauroneis.sp..1.GALAPAGOS","Staurosirella.pinnata","Stenopterobia.delicatissima","Stenopterobia.delicattisima","Stephanodiscus.niagarae","Stritella.hustedtiana","Surirella.arcta","Surirella.biseriata","Surirella.guatemalensis","Surirella.ovalis","Surirella.tenera","Surirella.terricola","Synedra.isabelae","Synedra.tabulata","Tabellaria.sp..1.GALAPAGOS","Tryblionella.acuta","Tryblionella.punctata","Ulnaria.delicatissima","Ulnaria.delicatissima.1","Ulnaria.ulna"
"Galapgs_Bainbrdg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galapgs_Beagle",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Galapgs_CactsRdg",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Galapgs_Cementar",0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Galapgs_El Junco",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1
"Galapgs_ElSarten",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galapgs_Fernandn",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Galapgs_FrgtBrdP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galapgs_Genovesa",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Galapgs_SalnsLgn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
