"","Achanthes.hungarica","Achanthes.zeigleri","Achnanthes.spp","Achnanthidium.exiguum","Achnanthidium.minutissimum.var.minutissima","Adlafia.bryophila","Amphora.coffeaeformis","Amphora.inarensis","Amphora.ovalis","Amphora.pediculus","Amphora.spp","Amphora.veneta","Aulacoseira.granulata","Aulacoseira.spp","Brachysira.vitrea","Caloneis.bacillum","Cavinula.pseudoscutiformis","Cocconeis.diminuta","Cocconeis.placentula.var.placentula","Cocconeis.titicaensis","Craticula.halophila","Craticula.subminuscula","Cyclostephanos.andinus","Cyclotella.meneghiniana","Cymatopleura.solea","Cymbella.aspera","Cymbella.cymbiformis.cystula","Cymbella.tumida","Denticula.elegans","Denticula.kuetzingii","Denticula.sp.1","Diatoma.mesodon","Diatoma.moniliformis","Diatoma.vulgaris","Diploneis.subovalis","Discostella.stelligera","Encyonema.alpinum","Encyonema.evergladianum","Encyonema.minutum","Encyonema.neogracile","Encyonema.silesiacum","Encyonema.sp.1","Encyonema.tenuissimum","Encyonopsis.angusta","Encyonopsis.descripta","Encyonopsis.falaisensis","Encyonopsis.microcephala","Encyonopsis.spp","Encyonopsis.subminuta","Eolimna.minima","Epithemia.adnata","Epithemia.argus","Epithemia.sorex","Epithemia.spp","Epithemia.turgida","Eunotia.bilunatum","Eunotia.spp","Fistulifera.pelliculosa","Fragilaria.capucina","Fragilaria.capucina.var.gracilis","Fragilaria.capucina.var.septentrionalis","Fragilaria.crotonensis","Fragilaria.fonticola","Fragilaria.spp","Fragilaria.vaucheriae","Fragilariforma.virescens","Frankophila.similioides","Frustulia.spp","Frustulia.vulgaris","Geissleria.modica","Gomphonema..pumilum","Gomphonema.acuminatum","Gomphonema.angustatum","Gomphonema.gracile","Gomphonema.minutum","Gomphonema.parvulum","Gomphonema.pseudoaugur","Gomphonema.spp","Gomphonema.truncatum","Hannaea.arcus","Hantzschia.amphioxys","Hantzschia.elongata","Hyppodonta.capitata","Melosira.varians","Navicula.capitatoradiata","Navicula.cincta","Navicula.cryptocephala","Navicula.cryptotenella","Navicula.diluviana","Navicula.erifuga","Navicula.gregaria","Navicula.laterorostrata","Navicula.margalithii","Navicula.menisculus","Navicula.porifera.var.opportuna","Navicula.radiosa","Navicula.radiosafallax","Navicula.spp","Navicula.tripunctata","Navicula.veneta","Navicymbula.pusilla","Neidium.ampliatum","Neidium.bisulcatum","Nitzschia.aequorea","Nitzschia.amphibia","Nitzschia.archibaldii","Nitzschia.dissipata","Nitzschia.fonticola","Nitzschia.frustulum","Nitzschia.holsatica","Nitzschia.incognita","Nitzschia.inconspicua","Nitzschia.lacuum","Nitzschia.liebertruthii","Nitzschia.linearis","Nitzschia.microcephala","Nitzschia.modesta","Nitzschia.palea","Nitzschia.paleacea","Nitzschia.perminuta","Nitzschia.pumila","Nitzschia.pusilla","Nitzschia.rostellata","Nitzschia.sigma","Nitzschia.sigmoidea","Nitzschia.solita","Nitzschia.spp","Nitzschia.supralitorea","Odontidium.hyemale","Pinnularia.borealis","Pinnularia.microstauron","Pinnularia.obscura","Pinnularia.spp","Pinnularia.viridis","Placoneis.elginesis","Placoneis.gastrum","Placoneis.spp","Planothidium.delicatulum","Planothidium.distinctum","Planothidium.lanceolatum","Psammothidium.chlidanos","Psammothidium.marginulatum","Pseudostaurosira.brevistriata","Pseudostaurosira.pseudoconstruens","Pseudostaurosira.spp","Pseudostaurosira.subsalina","Pseudostaurosira.zeilleri","Reimeria.sinuata","Rhopalodia.gibba","Sellaphora.pupula","Sellaphora.seminulum","Sellaphora.spp","Sellaphora.submuralis","Sellaphora.subrotundata","Sellaphora.vitabunda","Stauroneis.spp","Staurosira.construens","Staurosira.construens.var.exigua","Staurosira.construens.var.triundulata","Staurosira.construens.var.venter","Staurosira.spp","Staurosirella.leptostauron","Staurosirella.pinnata","Surirella.angusta","Surirella.spp","Synedra.acus","Synedra.rumpens","Tabellaria.flocculosa","Tabellaria.tabulata","Ulnaria.delicatissima","Ulnaria.delicatissima.var.angustissima","Ulnaria.ulna"
"JunnPln_HgpCv,in",0,0,0,0,13.2029339853301,0,0,0,0,0,0,0,0,0.488997555012225,0.488997555012225,0.97799511002445,0.244498777506112,0,15.6479217603912,0,0,0,0,0,0,0,0,0,0,0,0.488997555012225,0.488997555012225,0,0,0,0,0,0,6.11246943765281,0.733496332518337,0,0.244498777506112,0,0,0,0,0.488997555012225,0,0,0,0,0,0,0,0,0,0.244498777506112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488997555012225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488997555012225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488997555012225,0,0,0,0,0,0,0,14.9144254278729,0,0,0,0,0,0,0,0,0,0,24.6943765281174,0,0,0,0,0,0,0,0,0.244498777506112,0,0,0,0,0,0,0,17.6039119804401,0,0,0,1.22249388753056
"JunnPln_HgpCv,ot",0,0,0,0,17.4061433447099,0,1.70648464163823,0,0,0,0,2.55972696245734,0,0,0,0,0,0,7.33788395904437,0,0,0,0,0,0,0,0,0,0,0,0,41.8088737201365,0,0,0,0,0,0,0.853242320819113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170648464163823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38907849829352,0,0,0,0,0.511945392491468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341296928327645,0.853242320819113,0,0,0,0,0,0,0,9.04436860068259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36518771331058,0,0,0,0,0,0,0,0,0,0,11.9453924914676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70648464163823,0,0,0,0
"JunnPln_J11,GK251",0,0,0,0,51.8867924528302,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15094339622642,0,0,0,0,0,0,0,0,0,0,0.377358490566038,0.188679245283019,0,0,8.67924528301887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188679245283019,0,0,0,0,0,3.0188679245283,0,0,0,0,0,0,0,0.377358490566038,0,0,5.47169811320755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50943396226415,0,0,0,0,0.188679245283019,0,0,0,0,0,0,0,8.86792452830189,0,1.13207547169811,0.188679245283019,0,0,0,0,0.754716981132076,0,0,0,0.754716981132076,0.754716981132076,0,0,0.566037735849057,0,0,0,0,0.188679245283019,0,0,0,0,0,0,0,0,0,0,0,0,5.47169811320755,0.377358490566038,0,0,0,0,0.566037735849057,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58490566037736,0.188679245283019,0,0.188679245283019,0,0,0,0.188679245283019,0,0,0,0,0.188679245283019
"JunnPln_J11,GK252",0,0,0,0,30.0724637681159,0,0,0,0,0.72463768115942,0,0,0.181159420289855,0,0,0,0,0,4.89130434782609,0,0,0,0,0,0,0,0,0,0,0.36231884057971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72463768115942,0,0,0,0,0,0,0,0.72463768115942,0.36231884057971,0,0,0,0,0,0.181159420289855,0,0,0,0,0,0,0,0.543478260869565,0,0,1.81159420289855,0,0.36231884057971,0,0,0,0,0,0,0,0,0.36231884057971,0,0,0,0,0,0.36231884057971,1.44927536231884,0,0,0,0,0,0,0,0,0,0,0,0.905797101449275,0,0.543478260869565,0.36231884057971,0,0,0,0,1.6304347826087,0,0,0,1.26811594202899,0.36231884057971,0.905797101449275,0,0,0,0,0,0,1.81159420289855,0,0,0,0,0,0,0,0.181159420289855,0,0,0,0,7.78985507246377,1.08695652173913,0,0,0,0,0,0,1.08695652173913,0,0,0.72463768115942,0,0,0,0.181159420289855,0,0,0,0,18.6594202898551,12.8623188405797,0.543478260869565,4.89130434782609,0,0,0,0.36231884057971,0,0,0,0,0.72463768115942
"JunnPln_J11,GK253",0,0,0,0,48.5651214128035,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97350993377483,0,0,0,0,0,0,0,0,0,0,0.441501103752759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22075055187638,0,0.22075055187638,0,0.883002207505519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22075055187638,0,0,0,0,0,0,0,0,0,0.883002207505519,0,0,0.883002207505519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441501103752759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50551876379691,1.1037527593819,0,0,0,0,0,0,25.60706401766,0,0,1.98675496688742,0,0,0,0,0,0,0,0,5.07726269315673,0,0,1.32450331125828,0,0,0,0,0,0,0,0,0.662251655629139
"JunnPln_J13,Qd.A1",0,0,0,0,51.4792899408284,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16962524654832,0,0,0,0,0,0,0,1.18343195266272,0,0,0,0,0,0,0,0,0,0,0,0.394477317554241,0,2.76134122287968,0,0,0,0,0,0,0,0.19723865877712,0.394477317554241,0,0,0,0,0,0,0,0,2.9585798816568,0,0,0,0,0,1.18343195266272,0,0,0,0,0,0,0,0,0,0,6.31163708086785,0,0.394477317554241,0.788954635108481,0,0,0,0,0,0.591715976331361,0,0,0.394477317554241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07297830374753,0,0,0,0,0,0.394477317554241,0,0,0,0,0,2.36686390532544,0,3.74753451676529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394477317554241,0,0,0.19723865877712,0,0,0.394477317554241,0,0,0,0.19723865877712,0,0,0,0,0,0,0,0,0,0,0,0.19723865877712,0,0,0,0.591715976331361,0,0,0,0,0,11.2426035502959
"JunnPln_Jn10,TdS1",0,0,0.432900432900433,0,61.9047619047619,0,0,0,0,0,0,0.432900432900433,0,0,0,0,0,0,3.03030303030303,0,0,0,0,0,0,0,0.432900432900433,0,0,0,0,0,0,0,0,0,0,0,2.38095238095238,0,5.41125541125541,0,0,0,0,0,0,0,0,0.432900432900433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38095238095238,0.216450216450216,0,0,0,0,0,0,0,0,0,0.432900432900433,0,0,0,0,0,0,0,0,0.649350649350649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216450216450216,0,0,0,0,0,0.865800865800866,0,0,0.432900432900433,0,0,0,0,0.649350649350649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432900432900433,0,0,0,0,0,0,0.216450216450216,2.5974025974026,0,0,0,0,1.51515151515152,0,0,0,0,0.649350649350649,0,0,0,0,0,0,0,0,0.432900432900433,4.54545454545455,0.432900432900433,0,0,0,1.94805194805195,2.5974025974026,0,0,0,0.216450216450216,4.11255411255411
"JunnPln_Jn10,TdS2",0,0,0,0,18.3216783216783,0,0,0,0,0,0,0.41958041958042,0,0,0,0,0,0,0.13986013986014,0,0,0,0,0,0,0,0.27972027972028,0,0.27972027972028,0.41958041958042,0,0,0,0,0,0,0,0,1.25874125874126,0,2.51748251748252,0,0.27972027972028,0,0,0,0,0.41958041958042,0,0.559440559440559,0,0,0,0,0,0,0,0,0.13986013986014,0,0,0,0,0,1.81818181818182,1.95804195804196,0,0,0,0,0,0,0,0,0,0.13986013986014,0,0.41958041958042,0.41958041958042,0,0,0,0,0,0.13986013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41958041958042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13986013986014,0,0,0,0,0,0,0,0,0,0,0,0,1.11888111888112,0,0,0,0,0,8.11188811188811,0,0.13986013986014,0,0,0,0,0,0,0,0,0,0,0,3.77622377622378,37.0629370629371,3.21678321678322,0.13986013986014,0,0,0.699300699300699,2.51748251748252,0,0,0,0,12.7272727272727
"JunnPln_Jn14,PR.1",0,0,0,0,10.8352144469526,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25733634311512,0,0,0,0,0,0,0,0.225733634311512,0,0,0,0,0,0.451467268623025,17.607223476298,0,0,0,0,0,0,4.51467268623025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8352144469526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7697516930023,1.58013544018059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5756207674944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451467268623025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451467268623025,0,0,0,0,0.451467268623025,20.9932279909707
"JunnPln_Jn7,SPdP1",0,0,0,0,13.0801687763713,0,0,0,0,0,0,0.843881856540084,0,0,0,1.05485232067511,0,0,1.47679324894515,0,0,0,0,0,0,0,0.210970464135021,0,0,4.43037974683544,1.89873417721519,0,0,0,0.421940928270042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421940928270042,0,0,0,0,0.843881856540084,0,0,0,0,0.421940928270042,0,0,0,0,0,0.421940928270042,0,0,0.421940928270042,0,0,0,0.210970464135021,0.421940928270042,0,0,0.421940928270042,0,1.26582278481013,1.26582278481013,0,0,0,0,0,1.05485232067511,0,0,0,0,0,0,0,0,0,0,0,0,0.421940928270042,0,0,0,0,0,0,0,4.64135021097046,0,0,0.421940928270042,0,0,0,0,10.337552742616,0,0,0,0.421940928270042,0,0.210970464135021,0,0,0,0,0,0.421940928270042,0,0,0,0,0,0,0.843881856540084,0,0,0,0,0,0,0.210970464135021,0,0,0,0,0,0,0,0,0.843881856540084,0,0,0,0,0,0,0,0,0,0,24.2616033755274,8.64978902953587,0,2.32067510548523,0,0,0,0,0,0,0,0,15.4008438818565
