"","Achnanthidium.minutissimum","Achnanthidium.sp.1.SARA.COCHA","Adlafia.minuscula","Ammphora.cf.acatamana","Amphora.cf.tenerrima","Amphora.coffeaeformis","Amphora.copulata","Amphora.indistincta","Amphora.mira","Amphora.ovalis","Amphora.sp.1.CALZADA","Amphora.veneta","Anomoeoneis.sphaephora.f.costata","Anomoeoneis.sphaerophora","Aulacoseira.ambigua","Aulacoseira.distans","Aulacoseira.granulata","Aulacoseira.italica","Brachysira.vitrea","Caloneis.alpestris","Caloneis.cf.bacillum","Caloneis.cf.molaris","Campylodiscus.clypeus","Cavinula.pseudoscutiformis","Cocconeis.neothumensis","Cocconeis.pediculus","Cocconeis.placentula.var.euglypta","Cocconeis.placentula.var.lineata","Cocconeis.placentula.var.placentula","Craticula.ambigua","Craticula.cf.molestiformis","Craticula.cuspidata","Craticula.halophila","Ctenophora.pulchella","Cyclostephanos.andinus","Cyclostephanos.cf.invisitatus","Cyclostephanos.dubius","Cyclostephanos.tholiformis","Cyclotella.ambigua","Cyclotella.meneghiniana","Cymatopleura.solea","Cymbella.aspera","Cymbella.cymbiformis.cystula","Cymbella.tumida","Cymbopleura.acuta","Cymbopleura.cf.tsoneka","Denticula.kuetzingii","Diatoma.vulgaris","Diploneis.cf.subovalis","Diploneis.ovalis","Discostella.stelligera","Encyonema.alpinum","Encyonema.aueri","Encyonema.caespitosum","Encyonema.cf.minutiforme","Encyonema.chilense","Encyonema.minutum","Encyonema.neogracile","Encyonema.perminutum","Encyonema.rumrichae","Encyonema.silesiacum","Encyononema.minutiforme","Encyonopsis.sp.1.MAQUERA","Eolimna.minima","Epithemia.adnata","Epithemia.sorex","Eunotia.cf.georgii","Eunotia.exigua","Eunotia.incisa","Eunotia.muscicola.var.tridentula","Eunotia.sp.1.KHARA.KKOTA","Eunotia.spp","Eunotia.tenella","Eunotia.transfuga","Fallacia.pygmaea","Fragilaria.aff.fonticola","Fragilaria.capucina","Fragilaria.capucina.var.gracilis","Fragilaria.cf.tenera","Fragilaria.crotonensis","Fragilaria.pinnata.var.lancettula","Fragilaria.sp.1.LAGUNILLAS","Fragilaria.vaucheriae","Frustulia.crassinerva","Gomphonema.acuminatum","Gomphonema.auritum","Gomphonema.cf.angustatum","Gomphonema.cf.minusculum","Gomphonema.clavatum","Gomphonema.gracile","Gomphonema.intricatum.var.pumila","Gomphonema.lagenula","Gomphonema.minutum","Gomphonema.parvulum","Gomphonema.sp.1.ESTRELLANI","Gomphonema.sp.1.MAQUERA","Gomphonema.truncatum","Gomphonema.truncatum.var.capitatum","Gyrosigma.acuminatum","Halamphora.kevei","Hannaea.arcus","Hantzschia.amphioxys","Hantzschia.cf.abundans","Hantzschia.cf.vivacior","Hantzschia.elongata","Hippodonta.hungarica","Karayebia.ploenensis","Lemnicola.hungarica","Luticola.mutica","Luticola.nivalis","Luticola.sp..1.SARA.COCHA","Luticola.sp..2.SARA.COCHA","Luticola.ventricosa","Mastogloia.smithii","Navicula.angusta","Navicula.capitatoradiata","Navicula.cf.lauca","Navicula.cf.leistikowii","Navicula.gregaria","Navicula.heimansioides.sensu","Navicula.martinii","Navicula.peregrina","Navicula.peregrinoides.spp.lagunarum","Navicula.salinicola","Navicula.sp.1.KHARAKKOTA","Navicula.sp.1.UMAPA","Navicula.tripunctata","Navicula.trivialis","Navicula.veneta","Naviculadicta.sp.1.SARA.COCHA","Navicymbula.pusilla","Neidium.bisulcatum","Nitzschia.aff.semirobusta","Nitzschia.agnita","Nitzschia.amphibia","Nitzschia.boliviana","Nitzschia.cf.archibaldii","Nitzschia.cf.frustulum","Nitzschia.cf.inconspicua","Nitzschia.cf.palea","Nitzschia.cf.palea.var.debilis","Nitzschia.cf.perminuta","Nitzschia.chungara","Nitzschia.dissipata","Nitzschia.elongata","Nitzschia.fonticola","Nitzschia.frustulum","Nitzschia.inconspicua","Nitzschia.liebertruthii","Nitzschia.linearis","Nitzschia.palea","Nitzschia.paleacea","Nitzschia.sigma","Nitzschia.soratensis","Nitzschia.sp.1.JACHCHA","Nitzschia.sp.1.ULULUMASA","Nitzschia.supralitorea","Nitzschia.tropica","Nitzschia.vermicularis","Pinnularia.borealis","Pinnularia.cf.brebissoni","Pinnularia.cf.microstauron","Pinnularia.gibba.var.linearis","Pinnularia.intermedia","Pinnularia.karelica","Pinnularia.martinii","Pinnularia.microstauron","Pinnularia.obscura","Pinnularia.sp.1.ESTRELLANI","Pinnularia.sp.1.LAJA","Pinnularia.subcapitata.var.elongata","Pinnularia.subcapitata.var.rostrata","Pinnularia.subgibba","Pinnularia.viridis","Placoneis.gastrum","Placoneis.sp.1.PACUNA","Planothidium.delicatulum","Planothidium.frequentissimum","Planothidium.lanceolatum","Planothidium.spp","Psammothidium.cf.helveticum","Psammothidium.grischunum","Psammothidium.subatomoides","Pseudostaurosira.brevistriata","Pseudostaurosira.cf.zeilleri","Pseudostaurosira.laucensis","Pseudostaurosira.sp.1.LAKE34","Pseudostaurosira.subsalina","Rhoicosphenia.abbreviata","Rhopalodia.constricta","Rhopalodia.gibba","Sellaphora.laevissima","Sellaphora.pupula","Stauroforma.exiguiformis","Stauroneis.anceps.var.constricta","Stauroneis.gracilior","Stauroneis.gracilis","Stauroneis.phoenicenteron","Stauroneis.punensis","Stauroneis.reichardtii","Stauroneis.subgracilis","Staurophora.vilamae","Staurosira.construens","Staurosira.construens.var.venter","Staurosira.sp.1.SARA.COCHA","Staurosirella.lapponica","Staurosirella.leptostauron","Staurosirella.pinnata","Staurosirella.spp","Stephanodiscus.parvus","Surirella.bifrons","Surirella.bisurgis","Surirella.linearis","Surirella.sp.1.LAKE6","Synedra.acus","Synedra.rumpens","Tabellaria.flocculosa","Tryblionella.apiculata","Tryblionella.debilis","Tryblionella.hungarica","Tryblionella.tryblionella","Ulnaria.delicatissima","Ulnaria.ulna"
"GslngBA_Asiruni",0,0,0,0,0,0,0.197628458498024,0,0,0,0,0.592885375494071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.7905138339921,14.8221343873518,0,0,0,2.76679841897233,0,0,0,0,0,0,0.790513833992095,0,0,0,0,0,0,0,0,0,0,0.790513833992095,0,0,0.197628458498024,0,0,0,0,0,0,0,0,0,0,4.54545454545455,0.592885375494071,0,0,0,0,0,0,0,0,0,0,0.197628458498024,0,0,0,0.197628458498024,0,0,0,0,0,0,0,0,0,19.7628458498024,0,2.76679841897233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197628458498024,0,0,0,0,0,0,0,0,0,0,0,0,0.790513833992095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GslngBA_Calzada",2.17391304347826,0,0,0,0,0,0.988142292490119,0,0,0,0.197628458498024,5.92885375494071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395256916996047,4.74308300395257,0,0,0,0,0,0,0,0,0,0,0,0.395256916996047,0,8.30039525691699,0,0,0,13.2411067193676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395256916996047,0,0,7.70750988142292,0,0,0,0,0,0,0,0,0,11.2648221343874,1.97628458498024,0,0,0,0,0,0,0,0,0,0,13.8339920948617,0,0,0,0,0,0.988142292490119,0,0,0,0,0,0,0,0.197628458498024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592885375494071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395256916996047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95256916996047,0,0,0,0,4.1501976284585,0,0,0,0,0,0,0,0,7.11462450592885,0,0,0,0,0,0,0,0,0,0.395256916996047,0,0,0,0,10.6719367588933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GslngBA_Chacas",2.85714285714286,0,0,0,0,0,0,0,0,0,0,0.19047619047619,0,0,10.8571428571429,0,5.33333333333333,0,0,0,0,0,0,0,0,0,0,0,31.8095238095238,0,0,0.380952380952381,0,0,0,0.761904761904762,2.85714285714286,0,0,0.380952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,0,0,0,0,0,0,0,0,11.047619047619,0,0,0,0,0,0,0,0,0,0,0.571428571428571,0,0,0,0,0,0.952380952380952,0,0,0,0,0,0,0.571428571428571,0,1.9047619047619,0,1.9047619047619,0,0,2.85714285714286,0,0,0.19047619047619,0.19047619047619,0,0,0,0,0.380952380952381,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71428571428571,1.14285714285714,0,0,0.19047619047619,0,6.85714285714286,0,0,0,0,0,0.19047619047619,0,0,0,0,0,3.23809523809524,0,0.380952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761904761904762,0.19047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,0,0,0,0,0.571428571428571,0,0,0,0.19047619047619,0,0,0,0
"GslngBA_CharNkkt",0,0,0,0,0,0,0,3.38600451467269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03160270880361,0,0,0.677200902934537,0,0,0,0,0,0,0,0,0,0,0.225733634311512,0,0,0,0.225733634311512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03160270880361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451467268623025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677200902934537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225733634311512,0.451467268623025,0,0,0,0,0,0,0,0,0,0,0,0.677200902934537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7674943566591,0.225733634311512,0.677200902934537,0,0.90293453724605,0.451467268623025,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96613995485327,4.06320541760722,0,0,50.3386004514673,6.54627539503386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GslngBA_Estrelln",24.3809523809524,0,1.71428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0.952380952380952,0,0,0,0,0,0.19047619047619,0,3.23809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04761904761905,0.952380952380952,0,0.952380952380952,0,0,1.14285714285714,0,0,0,0.380952380952381,0.571428571428571,2.66666666666667,0,0,0.19047619047619,0,0,0,0,0,6.66666666666667,0,0,0,0,3.61904761904762,0,0,0,0,0,0,0,0,0,0.571428571428571,0.571428571428571,0,0,0,0,0,0.19047619047619,0.380952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14285714285714,0,0,0,0,0,0.571428571428571,0,0,0,0.19047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57142857142857,4.57142857142857,0,0,0,0,0.19047619047619,0,0.19047619047619,1.71428571428571,0,0.952380952380952,0,0,0,0,0,0,0,0.19047619047619,0,2.66666666666667,13.9047619047619,0.571428571428571,0,0,0,0,0,0,0,0,0,0,0.19047619047619,1.33333333333333,0,0,0,1.33333333333333,0,0,0,0,0.19047619047619,0,0,0,0,0,0,0,0.19047619047619,0.19047619047619,0,0,0,0.761904761904762,0,0,0,0,0,0
"GslngBA_Jacumarn",0,0,0,0,0,0,0,0,4.89690721649485,0,0,3.8659793814433,4.12371134020619,0.77319587628866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7525773195876,0,0,0.257731958762887,0,0,0,0,0,0.77319587628866,0,0,0,0,0.77319587628866,0,0,0,0.77319587628866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03092783505155,0,0,0,0,0,0,0,0,0,0,0,0.257731958762887,0,0,0,0,19.3298969072165,0,0,0,0,0,0,0,0,0,0,0.77319587628866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67010309278351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257731958762887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57731958762887,0,0,0,0,0,0,0,0,0.515463917525773,0,0,0,0,0,0,0,0,29.639175257732,0,0,0,0,0,0,0,0,0,0,6.18556701030928,0,0,0,0,0.77319587628866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GslngBA_JchchKkt",0,0,0,0,0,0,0,0,0,0,0,9.61098398169336,0,0.22883295194508,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45766590389016,13.9588100686499,0,0,2.74599542334096,0,0,0,0,0,0,0,0,2.05949656750572,0,0,0,0,0,0.22883295194508,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51716247139588,0,0,0,10.9839816933638,21.7391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37299771167048,0,0,0,0,1.83066361556064,0,0,0,2.74599542334096,10.9839816933638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22883295194508,0,0,0,0,1.1441647597254,2.05949656750572,1.60183066361556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4324942791762,0,0,2.2883295194508,0.22883295194508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22883295194508,0.22883295194508,0,0,0,0,0,0.68649885583524,0,1.1441647597254,0,0,0,0,0,0,0,0,0,0,0.68649885583524,0,0,2.74599542334096,0.68649885583524,0,0,0,0,0,0,1.1441647597254,0,0,0,0,0,0,0,0
"GslngBA_KK(nrth)",3.26797385620915,0,0,0,0,0,0,0,0,6.5359477124183,0,0,0,0,0,0,0,0,0,2.61437908496732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1721132897603,0,0,0.217864923747277,5.22875816993464,0,0,0,6.5359477124183,0,13.0718954248366,0,0,1.08932461873638,1.08932461873638,2.61437908496732,1.96078431372549,0,0,1.08932461873638,0,0,0,0,0,0,0,0,0,1.74291938997821,0,0.217864923747277,0.217864923747277,0,0,0,0,0,0,0,0,0,0,0,1.52505446623094,0,0,0,0,0,0,0.217864923747277,0,0,0,0,0,0,0,0,0.65359477124183,0,0,0,0,0,0,0,0,0,0,0,0,1.74291938997821,0,0,0.217864923747277,0,0,0,0,0,0,1.08932461873638,0,0,0,0.217864923747277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65359477124183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217864923747277,0,4.13943355119826,0,0,0,0,0,1.74291938997821,0,0,0,4.35729847494553,4.35729847494553,5.01089324618736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61437908496732,0,0,0,0,1.52505446623094,0,0,2.61437908496732,0,0,0.217864923747277,0,0,0,0.217864923747277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GslngBA_Lagunlls",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.849256900212314,0,0,0,0,0,0,0,0,0,0,57.3248407643312,0,0,0,0,0,2.12314225053079,0,0,1.48619957537155,0,0,0,0,0,0,0,0,0.212314225053079,0.212314225053079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9447983014862,0,0.636942675159236,0,0,7.21868365180467,0.636942675159236,0,0,0,0,0,0,0,0,0,0.424628450106157,0,0,0,0,0,0,0,0,1.06157112526539,0,0,0,0.849256900212314,0,0,1.27388535031847,0,0,0,0,0,0,0,0,0,0.424628450106157,0,0,0,0,0,0,0,0.849256900212314,0,0,0,0,0,0,0,0,0,0,0,0.424628450106157,0,0,0,0,0,0,0,0,0,0,0,1.48619957537155,0,0,0,0,0,0,0,0.212314225053079,1.48619957537155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212314225053079,0,0,0,0.636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.588110403397,0,0,0,0,0.424628450106157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GslngBA_Laja",0,0,0,0,0,0,0,0,0,0,0,12.7388535031847,0,0,0,0,0,0,0.849256900212314,0,0,0,0,0,0,0,0,0,0,5.73248407643312,0.636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12314225053079,0.212314225053079,0,0,0,0,0,0,0.424628450106157,0,0,0,0,0,0,14.2250530785563,0,0,0,0,0,0,3.39702760084926,0,0,0,0,0,0,0,4.03397027600849,37.5796178343949,0,0,0,1.48619957537155,0,4.03397027600849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424628450106157,2.54777070063694,0,1.91082802547771,0,1.48619957537155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48619957537155,0,0,0.212314225053079,0,0,0,0,0.424628450106157,0,0,4.03397027600849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
