"","Achnanthes.arenaria","Amphora.atacamana","Amphora.atacamana.var.minor","Amphora.boliviana","Amphora.boliviana.var.elongata","Amphora.carvajaliana","Anomoeoneis.sphaephora.f.costata","Anomoeoneis.sphaerophora.var.angusta","Aulacoseira.sp.1.UYUNI","Caloneis.silicula.var.minuta","Caloneis.westii","Cocconeis.placentula.var.placentula","Craticula.acidoclinata","Denticula.elegans","Denticula.thermalis","Denticula.valida","Diatoma.sp.1.UYUNI","Discostella.stelligera","Encyonema.gracile","Fallacia.pygmaea","Fragilaria.sp.1.LAGUNILLAS","Haloroundia.speciosa","Hantzschia.amphioxys","Hantzschia.sp.1.SUDLIPEZ","Luticola.sp.1.UYUNI","Martiana.martyii","Mastoglia.atacamae","Navicula.altiplanensis","Navicula.cariocincta","Navicula.cincta","Navicula.criptotenelloides","Navicula.erifuga","Navicula.lauca","Navicula.nivalis","Navicula.paramutica.var.binodis","Navicula.pseudolanceolata","Navicula.pseudolitoricola","Navicula.salinicola","Navicula.spp","Navicula.veneta","Naviculadicta.chilensis","Navicymbula.pusilla","Nitzschia.accedens.var.chilensis","Nitzschia.alpina","Nitzschia.alpinobacillum","Nitzschia.amphibioides","Nitzschia.cf.aurarirae","Nitzschia.cf.palea","Nitzschia.cf.suchlandtii","Nitzschia.chungara","Nitzschia.compressa","Nitzschia.epithemioides","Nitzschia.frustulum","Nitzschia.grunowii","Nitzschia.hantzschiana","Nitzschia.liebertruthii","Nitzschia.palea","Nitzschia.pusilla","Nitzschia.tropica","Nitzschia.valdecostata","Pinnularia.bogotensis","Pinnularia.microstauron","Planothidium.delicatulum","Planothidium.lanceolatum","Pseudostaurosira.brevistriata","Pseudostaurosira.zeilleri","Rhopalodia.wetzelii","Scoliopleura.peisonis","Stauroneis.bathurstensis","Stauroneis.gregorii","Stauroneis.legleri","Stauroneis.spp","Staurophora.wislouchii","Staurosira.construens.var.venter","Staurosirella.pinnata","Surirella.oregonica","Surirella.roba","Surirella.sella","Surirella.spp","Surirella.wetzelii","Tabularia.fasciculata","Tryblionella.hungarica"
"Frt-SAA_LagunCch",0,0,0,0,0,0.568181818181818,33.5227272727273,0,0,0,0,0,0.568181818181818,0,0,0,0,0.568181818181818,0,0,0.568181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9318181818182,0,0,0,0,0,0,0,0,45.4545454545455,0.568181818181818,0,0,0,0,0.568181818181818,0.568181818181818,0,0,0,0,0,5.11363636363636,0,0,0,0,0,0,0,0,0,0,0
"Frt-SAA_SalrdUyn1",0,0,0,0,0,0.475059382422803,0,0,0.237529691211401,0,0,0,0,0,0,0,0.237529691211401,0,0,0,0,0,0,0,0.237529691211401,0,0,18.7648456057007,0,0,0,0,0.237529691211401,0,0,0,0,71.7339667458432,0,0,0.475059382422803,0,0,0,0.237529691211401,0,0.237529691211401,0.237529691211401,0,0.712589073634204,0,1.66270783847981,0,0,0,0,0,2.61282660332542,0,0,0,0,0,0,1.42517814726841,0,0,0,0,0,0,0,0,0,0.237529691211401,0,0.237529691211401,0,0,0,0,0
"Vldr-SL_Ballivin",2.29,0,0,1,0,2.29,0,0,0,0,0.1,0,0,4.69,0.6,0,0,0,4.39,0.1,0,3.99,0,0,0,0,0,0,0,0,1.6,0.6,0,0,0,0,0.3,0.3,0,0,0,0.3,0,1.4,0,0,0,0,0,0,0,0.1,1.2,0.6,1.3,62.7,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,5.98,0,0,0,0
"Vldr-SL_Cachi",0,0,0,0.98,5.88,0,0,0.98,0,0.98,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,2.5,9.75,0,0,0,14.71,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0.8,0,0,0,5.5,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,25.49
"Vldr-SL_Canapa",0,0,0,0,0,9.6,0,0.7,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,49.4,0,0,0,0.7,0,0.9,0,0,0,0,0,0,0,0,0,0,1.8,0,1.5,0,0,0,0,0,0.7,0,0,0,1.5,0,0,0,0,0,0,0,0.7,0,0.09,0,0,0.1,0,22.1,0,4.7
"Vldr-SL_ChiarKkt",0,0,1.3,0,0,83.5,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.1,0,0,0,0,0,0,0,0,1.6,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,2.6,0,0,0.3,0,0,0,0,0,0,0.5,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0.6,2.6,0.3,0.1,0,0,0.3,0,0,0,0,1,0,0.1,0,0
"Vldr-SL_Chullncn1",0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.23,0.5,6.32,0,0,0,0,26.08,0,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0,1.71,0,0,0,0,0,0,0,8.02,0,0,0,0,4.01,0,0,0,3.41,0,0,0,12.34,0,1.71,0,0,0,0,4.81,0,15.05
"Vldr-SL_Chullncn2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,75.8,0,0,0,0,0,0,0,0,0
"Vldr-SL_Hedionda",0,0.73,0,0,0,77.24,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,3,0,0,0,0.2,0,0,0,0,0,0,13.78,0,0.36
"Vldr-SL_Honda",12.52,0.99,0,0.2,0,70.07,0,0,0,0,0,0,0,0.2,0.2,0,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,1.19,3.78,0,0.2,0.2,0.1,0,1.49,0,0,0,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1.29,1.19,0,0,0,0,0,0,0,0,1.89,0,0.1,0,0
