"","Achnanthes.clevei","Achnanthes.spp","Amphora.ovalis","Amphora.spp","Asterionella.spp","Aulacoseira.granulata","Aulacoseira.lirata","Aulacoseira.spp","Aulacoseira.valida","Caloneis.spp","Cocconeis.disculus","Cocconeis.placentula.var.placentula","Cocconeis.soukupi","Cocconeis.spp","Cyclostephanos.andinus","Cyclostephanos.tholiformis","Cyclotella.bodanica","Cyclotella.bodanica.var.lemanica","Cyclotella.meneghiniana","Cyclotella.ocellata","Cyclotella.striata","Cymbella.cymbiformis.cystula","Diatoma.mesodon","Diatoma.vulgaris","Diploneis.subovalis","Discostella.stelligera","Encyonema.minutum","Encyonema.silesiacum","Entomoneis.argus","Entomoneis.paludosa.var.subsalina","Epithemia.adnata","Epithemia.argus","Epithemia.sorex","Epithemia.spp","Fallacia.cf.crytolyra","Fallacia.spp","Fragilaria.capucina","Fragilaria.crotonensis","Fragilaria.spp","Fragilaria.vaucheriae","Geissleria.decussis","Gomphonema.parvulum","Gomphonema.spp","Gyrosigma.acuminatum","Hantzschia.amphioxys","Luticola.mutica","Martiana.martyii","Mastogloia.smithii","Melosira.spp","Melosira.varians","Navicula.capitatoradiata","Navicula.radiosa","Navicula.rhynchocephela","Navicula.spp","Navicula.veneta","Navicula.viridula","Neidium.spp","Nitzschia.amphibia","Nitzschia.amphibioides","Nitzschia.dissipata","Nitzschia.fonticola","Nitzschia.frustulum","Nitzschia.gracilis","Nitzschia.liebertruthii","Nitzschia.palea","Nitzschia.recta","Nitzschia.sigmoidea","Nitzschia.spp","Pinnularia.borealis","Pinnularia.microstauron","Pinnularia.spp","Planothidium.delicatulum","Planothidium.lanceolatum","Planothidium.lemmermannii","Pseudostaurosira.brevistriata","Pseudostaurosira.elliptica","Pseudostaurosira.subsalina","Pseudostaurosira.zeilleri.var.elliptica","Rhoicosphenia.abbreviata","Sellaphora.pupula","Staurosirella.pinnata","Surirella.angusta","Synedra.acus","Synedra.nana","Synedra.tabulata","Thalassiosira.spp","Tryblionella.cf.hungarica","Ulnaria.ulna"
"Titicac_Ttcc-l-10a",0,0,0,0,0.203665987780041,8.75763747454175,0,0,0.610997963340122,0,0,0,0,0,22.6069246435845,2.24032586558045,0,0,0.203665987780041,0.203665987780041,0,0.203665987780041,0.203665987780041,0,0,0,0,0,0.203665987780041,0.610997963340122,0,0,0,0,0,0,0,63.5437881873727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203665987780041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203665987780041,0,0
"Titicac_Ttcc-l-10b",0,0,0,0,0,12.4624624624625,0,0,0,0,0,0,0,0,5.25525525525526,69.3693693693694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3003003003003,0,0,0,0,0,0,0,12.6126126126126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Titicac_Ttcc-l-10c",0,0,0,0,0,7.17299578059072,0,0,0,0,0,0,0,0,1.68776371308017,82.0675105485232,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05485232067511,0,0,0,0,0,0,0,8.0168776371308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Titicac_Ttcc-l-11",0,0,0,0,0,8.81889763779528,0,0,0.15748031496063,0,0,0,0,0,16.0629921259843,2.04724409448819,0.31496062992126,0,0.31496062992126,0,0,0.15748031496063,0.15748031496063,0,0,0,0,0,0,1.5748031496063,0,0,0,0,0,0,0,69.7637795275591,0,0,0,0,0.15748031496063,0,0,0,0,0,0.15748031496063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15748031496063,0,0,0,0,0.15748031496063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Titicac_Ttcc-l-12a",0,0,0,0,0,2.7027027027027,0,0,0,0,0,0,0,0,0,96.4656964656965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207900207900208,0,0,0,0,0,0,0,0.415800415800416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207900207900208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Titicac_Ttcc-l-12b",0,0,0,0,0,12.8205128205128,0,0,0,0,0,0,0,0,2.56410256410256,81.7948717948718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512820512820513,0,0,0,0,0,0,0,2.30769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Titicac_Ttcc-l-13a",0,0,0,0,0,12.7429805615551,0,0,0,0,0,0,0,0,38.6609071274298,0,0,0,0.431965442764579,0,0,0,0,0,0,0,0,0,0,0.863930885529158,0,0,0,0,0,0,0,47.0842332613391,0,0,0,0,0.215982721382289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Titicac_Ttcc-l-13b",0,0,0,0,0,8.89570552147239,0,0,0,0,0,0,0,0,2.45398773006135,80.9815950920245,0,0,0.306748466257669,0,0,0,0,0,0,0,0,0,0,0.460122699386503,0,0,0,0,0,0,0,6.59509202453988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153374233128834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153374233128834,0,0,0,0
"Titicac_Ttcc-l-14",0,0,0,0,0,16.4222873900293,0,0,0.146627565982405,0,0,0,0,0,23.3137829912023,1.17302052785924,0,0,0.146627565982405,0,0,0,0,0,0,0,0,0,0,0.733137829912023,0,0,0,0,0,0,0,57.9178885630499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146627565982405,0,0,0,0,0,0,0,0,0,0,0,0,0
"Titicac_Ttcc-l-15",0,0,0,0,0,15.0943396226415,0,0,0,0.188679245283019,0,0,0,0,25.2830188679245,0.188679245283019,0.188679245283019,0,0.377358490566038,0,0,0,0,0,0,0,0,0,0,0.943396226415094,0,0,0,0,0,0,0,57.7358490566038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
