code,lat,long,Water T,pH,Cond,Turb,Chl,Secchi,Alkalinity,Ca,Mg,K,Na,Si,Cl,NO2,NO3,SO4,PO4,TN,TP,DO %,DO,Carbonate,Silicate,DOC,Waterdepth,MaxDepth,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Slope_100,Wshd_area,Elevation,area_sub-Basin,area_waterbody,MAT,P season,MAP,T season,Connectivity,% aquatic habitat,Ecoregion,Freshwater ecoregion,TRI,tri1,lanfdorm,geology,land cover,HFP2009,Bare Desert,Barren Tundra,Cold Grassland,Cool Grasses and Shrubs,Cool Southern Hemisphere Mixed Forests,Corn and Beans Cropland,Crops and Town,"Crops, Grass, Shrubs",Dry Woody Scrub,Evergreen Broadleaf Forests,Evergreen Forest and Fields,Fields and Woody Savanna,Forest and Field,Glacier Ice,Grass Crops,Hot and Mild Grasses and Shrubs,Inland Water,Low Sparse Grassland,Montane Tropical Forests,Rice Paddy and Field,Savanna (Woods),Sea Water,Seasonal Tropical Forest,Semi Desert Shrubs,Shrub Deciduous,Shrub Evergreen,Southern Hemisphere Mixed Forest,Succulent and Thorn Scrub,Tropical Degraded Forest,Tropical Rainforest,Upland Tundra,Urban,Wooded Wet Swamp,Woody Savanna,Barren,Grassland and shrubs,Forests,Savanna,Rainforest,Wetland,Agriculture,Crops and town,Urban,Inland water
AL(Mdd)_LgnChlln,-14.42713333,-67.92175,24.9,7.23,33,,,1.5,,3.6,1.1,2.1,0.3,,0.16,,,0.1,,0.59,0.009,,,,,,,,0.32,2.36,1.18,1.89,,3.00,6.00,0.02,1092.50,6.44,1.00,352,138.2,0.426591009,246,49,1892,1402,0,0.200453861,Bolivian Yungas,318,0.5,0.265169,6,1,Tropical Rainforest,4.00967598,0,0,0,0,0,0,0.25,0,0,0,3.84,0.18,0,0,0,0.26,0,0,1.75,0,1.08,0.81,0,0,0.23,0,0,0,0,76.72,0,0,0.63,14.15,0,0.49,5.59,15.41,76.72,0.63,0,0.25,0,0.81
AL(Mdd)_LgnSntRs,-14.49206667,-67.8662,26.5,7.45,12.4,,,1.5,,0.9,0.6,1,0.5,,0.1,,,0.55,,0.34,0.006,,,,,,,,4.24,11.89,1.63,53.28,,3.00,12.60,0.14,4534.50,5.90,7.10,327,28.5,4.584760189,247,48,1897,1454,0,0.200453861,Bolivian Yungas,318,0,0.24,6,1,Woody Savanna,2.533437014,0,0,0,0,0,0,0,0,0,0,3.9,0.05,0,0,0,0,0,0,1.56,0,0.96,1.4,0,0,2.3,0,0,0,0,67.93,0,0,0.31,21.52,0,2.3,5.46,22.53,67.93,0.31,0,0,0,1.4
AL(MNP)_CchGllrt,-11.95089167,-71.32003333,31,8.35,251,3.04,6.9,1,,36.7,6.1,1.4,4.8,,0.19,,,1.66,,0.31,0.009,,,,,,,1.5,,,,,,,,,,,,332,186.5,0.597716987,251,45,2539,709,0.0084,1.001761375,Southwest Amazon moist forests,318,6.125,0.687241,1,4,Tropical Rainforest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,96.95,0,0,0,0,0,0,0,0,96.95,0,0,0,0,3.02
AL(MNP)_CchSlvdr,-11.99386667,-71.21794167,25.2,7.32,98,10.16,6.01,0.7,,12.2,2.3,1.9,2.1,,0.3,,,0.1,,0.85,0.027,,,,,,,1.5,,,,,,,,,,,,336,186.5,0.597823024,251,44,2612,737,0.0084,1.001761375,Southwest Amazon moist forests,318,1.5,0.539286,1,4,Tropical Rainforest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,97.86,0,0,0,0,0,0,0,0,97.86,0,0,0,0,2.12
AL(MNP)_CochCash,-11.88363333,-71.40837778,31,7.98,162,1.81,1.01,1.4,,20.3,4.9,1.3,2.4,,0.1,,,0.11,,0.32,0.01,,,,,,,2.1,,,,,,,,,,,,329,93.1,1.219200015,252,45,2462,677,0.0076,1.927455609,Southwest Amazon moist forests,318,7,0.651739,1,4,Tropical Rainforest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,0,96.53,0,0,0,0,0,0,0,0,96.53,0,0,0,0,3.46
AL(MNP)_CochMazl,-11.84107778,-71.46641111,30.7,7.74,165,7.03,18.53,0.6,,20,4.4,2.5,2.4,,0.25,,,0.1,,0.57,0.015,,,,,,,1.5,,,,,,,,,,,,330,149.2,2.948090076,252,45,2413,680,0.0076,1.927455609,Southwest Amazon moist forests,318,7.875,0.462692,4,1,Tropical Rainforest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,96.02,0,0,0,0,0,0,0,0,96.02,0,0,0,0,3.98
AL(MNP)_CochNuev,-11.85501944,-71.45533611,32.7,8.62,299,29.72,50.96,0.2,,23.1,5.4,1.4,32.7,,0.27,,,0.1,,1.01,0.096,,,,,,,1.5,,,,,,,,,,,,352,152.7,0.597456992,252,45,2425,677,0.0076,1.927455609,Southwest Amazon moist forests,318,2,0.699,4,1,Tropical Rainforest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,96.42,0,0,0,0,0,0,0,0,96.42,0,0,0,0,3.56
AmznLwl_CchIsdlV,-12.254375,-70.92073333,,,,,,,,14.7,1.6,1.5,1.1,,0.176,,,0.089,,0.12,0.008,,,,,,,1.5,,,,,,,,,,,,308,182.8,3.175719976,250,43,2968,790,0.0112,14.44261616,Southwest Amazon moist forests,318,5,0.643549,6,2,Tropical Rainforest,1.788530588,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,6.72,0,0,0,0,0,0,0,0,0,0,0,0,93.03,0,0,0,0.19,0,0,0,0.24,93.03,0,0,0,0,6.72
AmznLwl_CchOtrng,-12.03833333,-71.19101944,24.2,7.53,143,11.96,3.2,0.6,,20.3,2.4,1.7,1.9,,0.1,,,0.1,,0.41,0.055,,,,,,,1.5,,,,,,,,,,,,326,139.8,0.597860992,251,44,2650,739,0.0092,5.465780963,Southwest Amazon moist forests,318,11.125,0.634063,1,4,Tropical Rainforest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,97.96,0,0,0,0,0,0,0,0,97.96,0,0,0,0,2.03
AmznLwl_CochTotr,-11.875075,-71.3909,31.3,7.16,317,29.23,3.01,,,32,6.7,1.6,24.2,,0.26,,,0.69,,0.25,0.01,,,,,,,1.5,,,,,,,,,,,,347,124.9,0.597488999,252,45,2464,671,0.0076,1.927455609,Southwest Amazon moist forests,318,2.375,0.779429,4,1,Tropical Rainforest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,96.43,0,0,0,0,0,0,0,0,96.43,0,0,0,0,3.57
AmznLwl_LagnClrd,-14.0022,-66.8171,27.5,8.48,21.8,,,,,0.6,0.9,1.4,2.3,,0.1,,,0.1,,0.36,0.017,,,,,,,,15.79,16.03,1.14,16.33,,3.00,1.00,0.93,203.90,0.45,47.90,166,68,16.16449928,260,57,1618,1139,0.0044,22.45234155,Beni savanna,318,0,0.374545,6,2,Fields and Woody Savanna,4.250087738,0,0,0.78,0,0,1.77,0.56,0,0,0,1.11,3.81,0,0,0,1.75,18.25,0,0,0,25.9,0.11,0,0,0,0.8,0,0,3.07,31.46,0.08,0,0.54,10.39,0,3.41,4.18,40.1,31.46,0.54,1.77,0.56,0,18.36
AmznLwl_LagnOpbs,-19.09358333,-63.5002,20.6,,19680,,,,,,,,,,,,,,,,,,,,,,,,5.68,13.42,1.59,39.89,,3.00,7.00,0.38,1202.50,2.68,640.90,700,2,6.519949913,235,74,920,2452,0.0008,0.260798018,Dry Chaco,312,0,0.251738,6,1,Inland Water,9.052433014,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.95,0,0,0,0.29,43.92,0,0,0,0,0,0,0,36.54,0,0,0,18.26,0,0,0,18.58,36.54,0,0,0,0,44.87
AmznLwl_LagunBrv,-14.09175,-66.82461667,27,7.9,27.8,,,0.3,,1.5,1.7,1.6,1.7,,0.1,,,0.1,,0.31,0.017,,,,,,,,,,,,,,,,,,,174,168.2,25.58009911,260,57,1626,1205,0.0044,22.45234155,Beni savanna,318,2.625,0.281333,6,2,Savanna (Woods),4.545060635,0,0,0.54,0,0,2.34,0.61,0,0,0,3.12,4.73,0,0,0,2.09,11.26,0,0,0,27.08,0.37,0,0,0,0,0,0,1.37,35.65,0.02,0,0.54,10.59,0,2.65,4.49,42.4,35.65,0.54,2.34,0.61,0,11.63
