taxon_original;harmonized_taxon_names;revised_harmonized_taxon_name
Acanthoceras sp.;Acanthoceras sp.1;Acanthoceras sp.1
Achanthes hungarica;Achanthes hungarica;Achanthes hungarica
Achanthes zeigleri;Achanthes zeigleri;Achanthes zeigleri
Achnanthes arenaria;Achnanthes arenaria;Achnanthes arenaria
Achnanthes arenaria;Achnanthes arenaria;Achnanthes arenaria
Achnanthes brevipes;Achnanthes brevipes var brevipes;Achnanthes brevipes var. brevipes
Achnanthes brevipes;Achnanthes brevipes var brevipes;Achnanthes brevipes var. brevipes
Achnanthes brevipes Ag. var. brevipes;Achnanthes brevipes var brevipes;Achnanthes brevipes var. brevipes
Achnanthes brevipes;Achnanthes brevipes var brevipes;Achnanthes brevipes var. brevipes
Achnanthes cf confusa;Achnanthes cf confusa;Achnanthes cf. confusa
Achnanthes cf confusa;Achnanthes cf confusa;Achnanthes cf. confusa
Achnanthes cf convergens;Achnanthes cf convergens;Achnanthes cf. convergens
Achnanthes cf convergens;Achnanthes cf convergens;Achnanthes cf. convergens
Achnanthes cf fogedii;Achnanthes cf fogedii;Achnanthes cf. fogedii
Achnanthes cf marginatula;Achnanthes cf marginatula;Achnanthes cf. marginatula
Achnanthes cf marginatula;Achnanthes cf marginatula;Achnanthes cf. marginatula
Achnanthes cf. oblicua;Achnanthes cf obliqua;Achnanthes cf. obliqua
Achnantes cf subatomus;Achnanthes cf subatomus;Achnanthes cf. subatomus
Achnanthes cf submarina;Achnanthes cf submarina;Achnanthes cf. submarina
Karayevia clevei;Achnanthes clevei;Achnanthes clevei
Achnanthes clevei;Achnanthes clevei;Achnanthes clevei
Achnanthes clevei;Achnanthes clevei;Achnanthes clevei
Achnanthes coarctata (W. Sm.) Grun. var. coarctata;Achnanthes coarctata var corctata;Achnanthes coarctata var. corctata
Achnanthes curviosum;Achnanthes curvirostrum;Achnanthes curvirostrum
Psammothidium daoense;Achnanthes daoensis;Achnanthes daoensis
Achnanthes daoensis;Achnanthes daoensis;Achnanthes daoensis
Achnanthes daoensis;Achnanthes daoensis;Achnanthes daoensis
Psammothidium daoensis;Achnanthes daoensis;Achnanthes daoensis
Psammothidium daoensis;Achnanthes daoensis;Achnanthes daoensis
Achnanthes daoensis;Achnanthes daoensis;Achnanthes daoensis
Achnanthes daoensis;Achnanthes daoensis;Achnanthes daoensis
Achnanthes daoensis;Achnanthes daoensis;Achnanthes daoensis
Achnanthes f. elliptica;Achnanthes elliptica;Achnanthes elliptica
Achnanthes gibberula Grun. var. gibberula;Achnanthes gibberula var gibberula;Achnanthes gibberula var. gibberula
Achnanthes hirta;Achnanthes hirta;Achnanthes hirta
Achnanthes inflata;Achnanthes inflata;Achnanthes inflata
Achnanthes inflata;Achnanthes inflata;Achnanthes inflata
Achnanthes inflata (Ktzing) Grunow;Achnanthes inflata;Achnanthes inflata
Achnanthes inflata;Achnanthes inflata;Achnanthes inflata
Achnanthes inflata var. elata (Leud.) Hust. ;Achnanthes inflata var elata;Achnanthes inflata var. elata
Achnanthes inflata (Ktz.) Grun. var. inflata ;Achnanthes inflata var inflata;Achnanthes inflata var. inflata
Achnanthes linearis;Achnanthes linearis;Achnanthes linearis
Achnanthes linearis;Achnanthes linearis;Achnanthes linearis
Achnanthes modestiformis;Achnanthes modestiformis;Achnanthes modestiformis
Achnanthes montana;Achnanthes montana;Achnanthes montana
Achnanthes sp. 1 (8æm, 4æm, 23-26 striae/10æm);Achnanthes sp.1;Achnanthes sp.1
Achnanthes sp.1;Achnanthes sp.1 AYAPEL;Achnanthes sp.1 AYAPEL
Achnanthes sp.1 BELEN;Achnanthes sp.1 BELEN;Achnanthes sp.1 BELEN
Achnanthes sp.1 CAUCA;Achnanthes sp.1 CAUCA;Achnanthes sp.1 CAUCA
Achnanthes sp.1 CHAIRIRI;Achnanthes sp.1 CHAIRIRI;Achnanthes sp.1 CHAIRIRI
Achnanthes sp.1 CUBILCHE;Achnanthes sp.1 CUBILCHE;Achnanthes sp.1 CUBILCHE
Achnanthes sp. 1;Achnanthes sp.1 GALAPAGOS;Achnanthes sp.1 GALAPAGOS
Achnanthes sp.;Achnanthes sp.1 GUATAVITA;Achnanthes sp.1 GUATAVITA
Achanthes 1;Achnanthes sp.1 PINAL;Achnanthes sp.1 PINAL
Achnanthes sp;Achnanthes sp.1 TOCROYO;Achnanthes sp.1 TOCROYO
Achnanthes sp. 2 (21æm, 7æm, 14 striae/10æm);Achnanthes sp.2;Achnanthes sp.2
Achnanthes sp2;Achnanthes sp.2 CAUCA;Achnanthes sp.2 CAUCA
Achnanthes sp. 3;Achnanthes sp.3;Achnanthes sp.3
Achnanthes sp3;Achnanthes sp.3 CAUCA;Achnanthes sp.3 CAUCA
Achnanthes sp. 4;Achnanthes sp.4;Achnanthes sp.4
Achnanthes sp4;Achnanthes sp.4 CAUCA;Achnanthes sp.4 CAUCA
Achnanthes sp5;Achnanthes sp.5 CAUCA;Achnanthes sp.5 CAUCA
Achnanthes spp;Achnanthes spp.;Achnanthes spp.
Achnanthes spp;Achnanthes spp.;Achnanthes spp.
Achnanthes spp;Achnanthes spp.;Achnanthes spp.
Achnanthes spp;Achnanthes spp.;Achnanthes spp.
Achanthes sp.;Achnanthes spp.;Achnanthes spp.
Achnanthes spp;Achnanthes spp.;Achnanthes spp.
Achnanthes spp;Achnanthes spp.;Achnanthes spp.
Achnanthes spp;Achnanthes spp.;Achnanthes spp.
Achnanthes spp.;Achnanthes spp.;Achnanthes spp.
Achnanthes spp.;Achnanthes spp.;Achnanthes spp.
Achnanthes submarina;Achnanthes submarina;Achnanthes submarina
Achnanthes submarina Hustedt  ;Achnanthes submarina;Achnanthes submarina
Achnanthes wellsiae Reim. var. wellsiae;Achnanthes wellsiae;Achnanthes wellsiae
Achanthes aff. minutissima;Achnanthidium aff minutissimum;Achnanthidium aff. minutissimum
Achnanthidium atacamana minor;Achnanthidium atacamana minor;Achnanthidium atacamana minor
Achnanthidium atomus;Achnanthidium atomus;Achnanthidium atomus
Achnanthidium catenatum;Achnanthidium catenatum;Achnanthidium catenatum
Achnanthidium catenatum;Achnanthidium catenatum;Achnanthidium catenatum
Achnanthidium cf atomus;Achnanthidium cf atomus;Achnanthidium cf. atomus
Achnanthidium cf catenatum;Achnanthidium cf catenatum;Achnanthidium cf. catenatum
Achnanthidium cf catenatum;Achnanthidium cf catenatum;Achnanthidium cf. catenatum
Achnanthes cf minutissima;Achnanthidium cf minutissimum;Achnanthidium cf. minutissimum
Achnantes exigua;Achnanthidium exiguum;Achnanthidium exiguum
Achnantes exigua;Achnanthidium exiguum;Achnanthidium exiguum
Achnanthes exigua;Achnanthidium exiguum;Achnanthidium exiguum
Achnanthes exigua;Achnanthidium exiguum;Achnanthidium exiguum
Achnanthes exigua;Achnanthidium exiguum;Achnanthidium exiguum
Achnanthidium exigum;Achnanthidium exiguum;Achnanthidium exiguum
Achnanthes exigua;Achnanthidium exiguum;Achnanthidium exiguum
Achnanthes exigua Grun. var. exigua;Achnanthidium exiguum;Achnanthidium exiguum
Achanthes exigua;Achnanthidium exiguum;Achnanthidium exiguum
Achnantes exigua;Achnanthidium exiguum;Achnanthidium exiguum
Achnanthes exigua;Achnanthidium exiguum;Achnanthidium exiguum
Achnanthes exigua;Achnanthidium exiguum;Achnanthidium exiguum
Achnanthes exigua var. angustrostrata (Kras.) Lange-Bertalot ;Achnanthidium exiguum var angustrostrata;Achnanthidium exiguum var. angustrostrata
Achnanthes exigua var angustitrostrata;Achnanthidium exiguum var angustrostrata;Achnanthidium exiguum var. angustrostrata
Achnanthes exigua var. constricta (Grun.) Hust.;Achnanthidium exiguum var constrictum;Achnanthidium exiguum var. constrictum
Achnanthes exigua var constricta;Achnanthidium exiguum var constrictum;Achnanthidium exiguum var. constrictum
Achnanthidium exiguum var. heterovalvum (Krasske) Czarnecki;Achnanthidium exiguum var heterovalvum;Achnanthidium exiguum var. heterovalvum
Achnanthes helvetica;Achnanthidium helveticum;Achnanthidium helveticum
Achnanthes helvetica;Achnanthidium helveticum;Achnanthidium helveticum
Achnanthidium microcephala;Achnanthidium microcephalum;Achnanthidium microcephalum
Achnanthidium microcephala (Ktz.) Grun. var. microcephela;Achnanthidium microcephalum;Achnanthidium microcephalum
Achnanthidium minutissimum;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthidium minutissimum;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthes minutissima;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthidium minutissimum;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthes minutissima;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthes minutissima;Achnanthidium minutissimum;Achnanthidium minutissimum
Achanthes minutissima;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthes minutissima;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthidium minutissimum;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthidium minutissimum;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthidium minutissimum var minutissima;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthidium minutissimum;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthidium minutissimum;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthes minutissima Ktz. var. minutissima;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthidium minutissimum;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthidium minutissimum;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthidium minutissimum (Ktzing) Czarnecki;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthidium minutissimum;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthidium minutissimum;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthidium minutissimum;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthidium minutissimum (Ktzing) Czarnecki;Achnanthidium minutissimum;Achnanthidium minutissimum
A. minutissima var minutissima;Achnanthidium minutissimum;Achnanthidium minutissimum
Achnanthes minutissima var. jackii (Rabenhorst) Lange-Bertalot;Achnanthidium minutissimum var jackii;Achnanthidium minutissimum var. jackii
Achnanthes minutissima var. microcephala Hust.;Achnanthidium minutissimum var microcephala;Achnanthidium minutissimum var. microcephala
Achnanthidium modestiforme (Lange-Bertalot) Van de Vijver;Achnanthidium modestiforme;Achnanthidium modestiforme
Achnanthidium rivulare Potapova et Ponader;Achnanthidium rivulare;Achnanthidium rivulare
Achnanthidium rivulare Potapova et Ponader;Achnanthidium rivulare;Achnanthidium rivulare
Achnanthes rosenstockii;Achnanthidium rosenstockii;Achnanthidium rosenstockii
Achnanthidium saprophilum;Achnanthidium saprophilum;Achnanthidium saprophilum
Achnanthidium sp. 1 SEHUENCAS;Achnanthidium sp. 1 SEHUENCAS;Achnanthidium sp. 1 SEHUENCAS
Achnanthidium sp. 2 SEHUENCAS;Achnanthidium sp. 2 SEHUENCAS;Achnanthidium sp. 2 SEHUENCAS
Achnanthidium sp.1 SARA COCHA;Achnanthidium sp.1 SARA COCHA;Achnanthidium sp.1 SARA COCHA
