old,new_1,new_2
Achnanthes.arenaria,Achnanthes.arenaria,benthic
Achnanthes.spp,Achnanthes.spp,benthic
Achnanthidium.exiguum,Achnanthidium.exiguum,benthic
Achnanthidium.minutissimum,Achnanthidium.minutissimum,benthic
Amphora.acutiuscula,Amphora.acutiuscula,benthic
Amphora.atacamana,Amphora.atacamana,benthic
Amphora.atacamana.var.minor,Amphora.atacamana.var.minor,benthic
Amphora.boliviana.var.elongata,Amphora.boliviana.var.elongata,benthic
Amphora.carvajaliana,Amphora.carvajaliana,benthic
Amphora.coffeaeformis,Amphora.coffeaeformis,benthic
Amphora.copulata,Amphora.copulata,benthic
Amphora.copulata.1,Amphora.copulata,benthic
Amphora.ovalis,Amphora.ovalis,benthic
Amphora.pediculus,Amphora.pediculus,benthic
Amphora.veneta,Amphora.veneta,benthic
Anomoeneis.brachysira,Anomoeneis.brachysira,benthic
Anomoeoneis.sphaephora.f.costata,Anomoeoneis.sphaephora.f.costata,benthic
Anomoeoneis.sphaerophora,Anomoeoneis.sphaerophora,benthic
Aulacoseira.alpigena,Aulacoseira.alpigena,freshwater_planktic
Aulacoseira.ambigua,Aulacoseira.ambigua,freshwater_planktic
Aulacoseira.cf.pusilla,Aulacoseira.cf.pusilla,freshwater_planktic
Aulacoseira.distans,Aulacoseira.distans,freshwater_planktic
Aulacoseira.granulata,Aulacoseira.granulata,freshwater_planktic
Aulacoseira.granulata.var.angustissima,Aulacoseira.granulata.var.angustissima,freshwater_planktic
Aulacoseira.herzogii,Aulacoseira.herzogii,freshwater_planktic
Aulacoseira.italica,Aulacoseira.italica,freshwater_planktic
Brachysira.brebissonii,Brachysira.brebissonii,benthic
Brachysira.microcephala,Brachysira.microcephala,benthic
Brachysira.vitrea,Brachysira.vitrea,benthic
Caloneis.westii,Caloneis.westii,benthic
Cavinula.pseudoscutiformis,Cavinula.pseudoscutiformis,benthic
Cocconeis.placentula.placentula,Cocconeis.placentula.placentula,ephiphytic
Cocconeis.placentula.var.euglypta,Cocconeis.placentula.var.euglypta,ephiphytic
Cocconeis.placentula.var.lineata,Cocconeis.placentula.var.lineata,ephiphytic
Cocconeis.placentula.var.placentula,Cocconeis.placentula.var.placentula,ephiphytic
Craticula.ambigua,Craticula.ambigua,saline
Craticula.cuspidata,Craticula.cuspidata,saline
Craticula.halophila,Craticula.halophila,saline
Cyclostephanos.andinus,Cyclostephanos.andinus,freshwater_planktic
Cyclostephanos.tholiformis,Cyclostephanos.tholiformis,freshwater_planktic
Cyclotella.meneghiniana,Cyclotella.meneghiniana,oligosaline_planktic
Cyclotella.ocellata,Cyclotella.ocellata,freshwater_planktic
Cymbella.cf.affinis,Cymbella.cf.affinis,benthic
Cymbella.cistula,Cymbella.cymbiformis.cystula,benthic
Cymbella.cymbiformis,Cymbella.cymbiformis.cystula,benthic
Cymbella.sp.1.CAUCA,Cymbella.sp.1.CAUCA,benthic
Cymbella.ventricosa,Cymbella.ventricosa,benthic
Denticula.elegans,Denticula.elegans,saline
Denticula.kuetzingii,Denticula.kuetzingii,saline
Denticula.valida,Denticula.valida,saline
Diadesmis.confervacea,Diadesmis.confervacea,benthic
Diadesmis.contenta,Diadesmis.contenta,benthic
Diatoma.mesodon,Diatoma.mesodon,benthic
Diatoma.tenius,Diatoma.tenius,benthic
Diatoma.vulgaris,Diatoma.vulgaris,benthic
Diploneis.ovalis,Diploneis.ovalis,benthic
Diploneis.subovalis,Diploneis.subovalis,benthic
Discostella.stelligera,Discostella.stelligera,freshwater_planktic
Encyonema.cf.krammeri,Encyonema.cf.krammeri,benthic
Encyonema.gracile,Encyonema.gracile,benthic
Encyonema.minutiforme,Encyonema.minutiforme,benthic
Encyonema.minutum,Encyonema.minutum,benthic
Encyonema.neogracile,Encyonema.neogracile,benthic
Encyonema.silesiacum,Encyonema.silesiacum,benthic
Encyonema.tenuissimum,Encyonema.tenuissimum,benthic
Encyonopsis.cesatii,Encyonopsis.cesatii,benthic
Encyonopsis.cf.difficiliformis,Encyonopsis.cf.difficiliformis,benthic
Encyonopsis.cf.krammerioides,Encyonopsis.cf.krammerioides,benthic
Encyonopsis.cf.subminuta,Encyonopsis.cf.subminuta,benthic
Encyonopsis.krammeroides,Encyonopsis.krammeroides,benthic
Encyonopsis.microcephala,Encyonopsis.microcephala,benthic
Encyonopsis.sp.1.LLAVIUCU,Encyonopsis.sp.1.LLAVIUCU,benthic
Encyonopsis.subminuta,Encyonopsis.subminuta,benthic
Entomoneis.paludosa.var.subsalina,Entomoneis.paludosa.var.subsalina,saline
Eolimna.minima,Eolimna.minima,benthic
Epithemia.adnata,Epithemia.adnata,benthic
Epithemia.argus,Epithemia.argus,benthic
Epithemia.sorex,Epithemia.sorex,benthic
Epithemia.turgida,Epithemia.turgida,benthic
Eunotia.bilunaris,Eunotia.bilunaris,benthic
Eunotia.camelus,Eunotia.camelus,benthic
Eunotia.cf.arcus,Eunotia.cf.arcus,benthic
Eunotia.didyma,Eunotia.didyma,benthic
Eunotia.flexuosa,Eunotia.flexuosa,benthic
Eunotia.incisa,Eunotia.incisa,benthic
Eunotia.minor,Eunotia.minor,benthic
Eunotia.naegelii,Eunotia.naegelii,benthic
Eunotia.paludosa,Eunotia.paludosa,benthic
Eunotia.subacuartoides,Eunotia.subacuartoides,benthic
Eunotia.transfuga,Eunotia.transfuga,benthic
Fragilaria.aff.nanana,Fragilaria.aff.nanana,tycoplanktonic
Fragilaria.capucina,Fragilaria.capucina,tycoplanktonic
Fragilaria.capucina.var.gracilis,Fragilaria.capucina.var.gracilis,tycoplanktonic
Fragilaria.crotonensis,Fragilaria.crotonensis,freshwater_planktic
Fragilaria.nanana,Fragilaria.nanana,tycoplanktonic
Fragilaria.pinnata.var.lancettula,Fragilaria.pinnata.var.lancettula,benthic
Fragilaria.santamarensis,Fragilaria.santamarensis,benthic
Fragilaria.sp.1.LAGUNILLAS,Fragilaria.sp.1.LAGUNILLAS,benthic
Fragilaria.tenera,Fragilaria.tenera,tycoplanktonic
Fragilaria.vaucheriae,Fragilaria.vaucheriae,benthic
Fragilariforma.javanica,Fragilariforma.javanica,benthic
Fragilariforma.virescens,Fragilariforma.virescens,benthic
Frustulia.aff..megaliesmontana,Frustulia.aff..megaliesmontana,benthic
Frustulia.crassinerva,Frustulia.crassinerva,benthic
Frustulia.rhomboides,Frustulia.rhomboides,benthic
Gomphonema..pumilum,Gomphonema..pumilum,benthic
Gomphonema.acuminatum,Gomphonema.acuminatum,benthic
Gomphonema.angustatum,Gomphonema.angustatum,benthic
