Volume;Issue;Month;Year;number by year;number total published (number ID);Title;Location;Latitude;Latdd;Latmm;Latddm;Latss;Hemisf;longitude;Longdd;Longmm;Longddm;Longss;Hemisf;proxies;time period;;;
54;4;December;2015;1;1;Eruptive and environmental processes recorded by diatoms in volcanically dispersed lake sediments from the Taupo Volcanic Zone, New Zealand;New Zealand;38 44 16,83 S;38;44;38 44;16,83;S;176 04 09,87 E;176;4;176 4;9,87;E;Diatoms;late Pleistocene, Holocene;;;
;4;December;2015;2;2;A plant microfossil record of Late Quaternary environments and human activity from Rano Aroi and surroundings, Easter Island;Chile;27 07 26,09 S;27;7;27 7;26,09;S;109 22 12,14 W;109;22;109 22;12,14;W;Pollen, phytoliths, diatoms, starch, arthropods;late Pleistocene, Holocene;;;
;4;December;2015;3;3;Within-sample variability of δ13C and δ18O values of freshwater gastropod shells and the optimum number of shells to measure per sediment layer in the Paddenluch palaeolacustrine sequence, Germany;Germany;52 29 04 N;52;29;52 29;4;N;13 48 21 E;13;48;13 48;21;E;Stable isotopes biogenic carbonate;late Pleistocene;;;
;4;December;2015;4;4;Microscopic organic matter particles in late Holocene riparian sediments near the Cauca River, Colombia;Colombia;6 30 49,43 N;6;30;6 30;49,43;N;75 49 03,35 W;75;49;75 49;3,35;W;organic matter, palynofacies;Late Holocene;Principal and several local affiliations;America;
;4;December;2015;5;5;Paleovegetation inferred from the carbon isotope composition of long-chain n-alkanes in lacustrine sediments from the Song-nen Plain, northeast China;China;45 04 27,12 N;45;4;45 4;27,12;N;122 19 34,32 E;122;19;122 19;34,32;E;stable isotpes n-alkanes;late Pleistocene, Holocene;;;
;4;December;2015;6;6;Depositional modes and lake-level variability at Lake Towuti, Indonesia, during the past ~29 kyr BP;Indonesia;2 43 30,63 N;2;43;2 43;30,63;N;121 36 26,85 E;121;36;121 36;26,85;E;seismic, elemental analysis;late Pleistonce, Holocene;Several local affiliations. Coauthors;Asia;
;4;December;2015;7;7;A multiproxy record of Holocene environmental changes from the northern Kuril Islands (Russian Far East);Russia;50 13 18,01 N;50;13;50 13;18,01;N;155 27 50,70 E;155;27;155 27;50,7;E;Diatoms, Geochemistry, Pollen, Magnetism;Holocene;;;
;4;December;2015;8;8;Assessing intra-basin spatial variability in geochemical and isotopic signatures in the sediments of a small neotropical lake;Costa Rica;8 47 21,8 N;8;47;8 47;21,8;N;82 54 59,39 W;82;54;82 54;59,39;W;Geochemistry, stable isotopes;Late Holocene;No localaffiliations;America;
;4;December;2015;9;9;New methods for extruding and cutting of sediment cores;N/A;N/A;;; ;;;N/A;;; ;;;N/A;methods;;;
;2 and 3;October;2015;10;10;Benthic diatoms in a Mediterranean delta: ecological indicators and a conductivity transfer function for paleoenvironmental studies;Spain;40 42 38,28 N;40;42;40 42;38,28;N;0 38 17,36 E;0;38;0 38;17,36;E;Diatoms;modern;;;
;3 and 3;October;2015;11;11;A testate amoebae transfer function from Sphagnum-dominated peatlands in the Lesser Khingan Mountains, NE China;China;48 47 31,06 N;48;47;48 47;31,06;N;127 12 39,57 E;127;12;127 12;39,57;E;testate amoebae;modern;;;
;4 and 3;October;2015;12;12;Decadal- to centennial-scale East Asian summer monsoon variability during the Medieval Climate Anomaly reconstructed from an eastern Tibet lacustrine sequence;China;31 46 N;31;46;31 46;;N;103 47 E;103;47;103 47;;E;pollen, grain size, loess;late Holocene;;;
;5 and 3;October;2015;13;13;Chironomid-environment relations in northern North America;United States ;N/A;;; ;;;N/A;;; ;;;chironomidae;modern;;;
;6 and 3;October;2015;14;14;Sedimentary cladoceran assemblages and their functional attributes record late Holocene climate variability in southern Finland;Finland;60 16 43,48 N;60;16;60 16;43,48;N;25 05 25,26 E;25;5;25 5;25,26;E;cladoceran;mid holocene;;;
;7 and 3;October;2015;15;15;Characterizing clay mineralogy in Lake Towuti, Indonesia, with reflectance spectroscopy;Indonesia;2 44 05,12 S;2;44;2 44;5,12;S;121 30 52,62 E;121;30;121 30;52,62;E;clay mineralogy;modern;One local affiliation. Coauthor;Asia;
;1;June;2015;16;16;Lake diatom responses to warming: reviewing the evidence;N/A;N/A;;; ;;;N/A;;; ;;;diatoms;review;;;
;1;June;2015;17;17;Stable carbon isotope values in dissolved inorganic carbon of ambient waters and shell carbonate of the freshwater pearl mussel (Hyriopsis sp.);Japan;36 03 00,90 N;36;3;36 3;0,9;N;140 22 49,05 E;140;22;140 22;49,05;E;Stable isotopes biogenic carbonate;modern;;;
;1;June;2015;18;18;Algal pigments in Arctic lake sediments record biogeochemical changes due to Holocene climate variability and anthropogenic global change;Canada;67 55 56,87 N;67;55;67 55;56,87;N;65 16 54,37 W;65;16;65 16;54,37;W;stable isotopes, algal pigments, diatoms;Holocene;;;
;1;June;2015;19;19;Spatial variability of recent macroscopic charcoal deposition in a small montane lake and implications for reconstruction of watershed-scale fire regimes;Canada;49 32 30 N;49;32;49 32;30;N;117 27 50 W;117;27;117 27;50;W;Charcoal;Holocene;;;
