year;number ID;Number tropical;Location;Latitude;Latdd;Latmm;Latddm;Latss;Hemisf;longitude;Longdd;Longmm;Longddm;Longss;Hemisf;;
2015;4;1;Colombia;6 30 49,43 N;6;30;6 30;49,43;N;75 49 03,35 W;75;49;75 49;3,35;W;Principal and several local affiliations;America
2015;6;2;Indonesia;2 43 30,63 N;2;43;2 43;30,63;N;121 36 26,85 E;121;36;121 36;26,85;E;Several local affiliations. Coauthors;Asia
2015;8;3;Costa Rica;8 47 21,8 N;8;47;8 47;21,8;N;82 54 59,39 W;82;54;82 54;59,39;W;No localaffiliations;America
2015;15;4;Indonesia;2 44 05,12 S;2;44;2 44;5,12;S;121 30 52,62 E;121;30;121 30;52,62;E;One local affiliation. Coauthor;Asia
2015;23;5;Ruanda;2 02 30,25 S;2;2;2 2;30,25;S;29 11 07,09 E;29;11;29 11;7,09;E;One local affiliation. Coauthor;Africa
2015;24;6;Peru;12 49 53,88 S;12;49;12 49;53,88;S;74 55 26,76 W;74;55;74 55;26,76;W;No local affiliations;America
2014;60;7;Ecuador;0 19 40 N;0;19;0 19;40;N;89 57 30 W;89;57;89 57;30;W;No local affiliations;America
2014;69;8;Guatemala;15 21 41,64 N;15;21;15 21;41,64;N;90 28 27,93 W;90;28;90 28;27,93;W;One local affiliation. Coauthor;America
2014;114;9;Mexico;19 06 N;19;6;19 6; ;N;99 45 W;99;45;99 45; ;W;Principal and several local affiliations;America
2014;118;10;Colombia;01 06 N;1;6;1 6; ;N;77 09 W;77;9;77 9; ;W;No local affiliations;America
2013;149;11;Malawi;11 40 12,41 S;11;40;11 40;12,41;S;34 41 08,34 E;34;41;34 41;8,34;E;No local affiliations;Africa
2013;166;12;Nicaragua;11 34 43,17 N;11;34;11 34;43,17;N;85 21 17,87 W;85;21;85 21;17,87;W;No local affiliations;America
2013;171;13;Colombia;6 30 49,43 N;6;30;6 30;49,43;N;75 49 03,35 W;75;49;75 49;3,35;W;One local affiliation. Coauthor;America
2013;172;14;Niger;20 12 13 N;20;12;20 12;13;N;12 57 57 E;12;57;12 57;57;E;No local affiliations;Africa
2013;201;15;Brazil;20 16 38.3 S;20;16;20 16;38,3;S;57 33 00.0 W;57;33;57 33;0;W;Principal and several local affiliations;America
2013;208;16;Colombia;6 30 49,43 N;6;30;6 30;49,43;N;75 49 03,35 W;75;49;75 49;3,35;W;Principal local affiliation;America
2012;229;17;Bolivia;17 33 S;17;33;17 33; ;S;65 34 W;65;34;65 34; ;W;No local affiliations;America
2012;241;18;Mozambique;21 58 50 S;21;58;21 58;50;S;35 17 39 E;35;17;35 17;39;E;One local affiliation. Coauthor;Africa
2012;243;19;Brazil;01 50 S;1;50;1 50; ;S;55 00 W;55;0;55 0; ;W;Principal local affiliation;America
2012;246;20;Uganda;00 26 N;0;26;0 26; ;N;30 17 E;30;17;30 17; ;E;No local affiliations;Africa
2012;247;21;Tanzania;3 23 S;3;23;3 23; ;S;36 47 E;36;47;36 47; ;E;No local affiliations;Africa
2012;275;22;Bolivia;17 45 S;17;45;17 45; ;S;57 40 W;57;40;57 40; ;W;No local affiliations;America
2012;306;23;China;23 45 N;23;45;23 45; ;N;113 46 E;113;46;113 46; ;E;All local affiliations;Asia
