"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"475","Myl-B-LagnCtrm",-14.50216667,-64.86883333,27.55,7.79,30,NA,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.97,8.8,1.11,3.64,NA,3,0.7,0.8,52.9,0.19,38,150,225.9,4.933229923,258,59,1783,1456,0.0024,4.159329001,"Beni savanna",318,0,0.207777,3,2,"Savanna (Woods)",7.654164314,0,0,0,0,0,5.67,0.15,0,0,0,2.03,16.53,0,0,0,0.07,4.12,0,0.07,0,39.96,0,0,0,0,0,0,0,0,11.05,0,0,0,20.07,0,0.07,2.1,76.56,11.05,0,5.67,0.15,0,4.12,7.1,0.130789473684211,10.4395604395604,"Bolivia-Beni"
"476","Myl-B-LagnIsrr",-14.9875,-65.65733333,28.1,8.79,57,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.92,17.58,1.14,22.46,NA,3,1.2,20.03,13,0.49,830.4,160,128.7,20.9762001,249,57,1910,2005,0.0036,5.931595948,"Beni savanna",318,0.875,0.270909,3,2,"Fields and Woody Savanna",3.629548073,0,0,0,0,0,0,0.14,0,0,0,0.07,2.94,0,0,0,0,2.14,0,0,0,1.32,4.89,0,0,0,0,0,0,0,81.01,0,0,0.07,7.24,0,0,0.07,11.5,81.01,0.07,0,0.14,0,7.03,15.7666666666667,0.0227842003853565,36.9723953695459,"Bolivia-Beni"
"477","Myl-B-LagonAzl",-14.98566667,-64.809,26,6.68,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,147.5,1.706709981,257,57,1973,1623,0.0064,9.511232064,"Beni savanna",318,0.5,0.314001,3,2,"Tropical Rainforest",5.852910995,0,0,0,0,0,0.49,2.14,0,0,0,2.68,12.38,0,0,0,0.21,2.39,0,0,0,9,1.49,0,0,0.17,0,0,0,0,29.22,0,0,0,39.52,0,0.38,2.68,60.9,29.22,0,0.49,2.14,0,3.88,NA,NA,NA,"Bolivia-Beni"
"478","Myl-B-LagonBln",-14.45416667,-64.85433333,31.5,7.4,29.5,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,225.9,4.136219978,258,59,1763,1419,0.0024,4.159329001,"Beni savanna",318,3.375,0.400001,3,2,"Savanna (Woods)",7.634789944,0,0,0,0,0,11.38,0.18,0,0,0,1.46,15.3,0,0,0,0,4.47,0,0.07,0,44.44,0,0,0,0,0,0,0,0,8.98,0,0,0,13.44,0,0,1.53,73.18,8.98,0,11.38,0.18,0,4.47,NA,NA,NA,"Bolivia-Beni"
"479","Myl-B-LagonHch",-14.30316667,-63.40283333,30.9,8.74,25,NA,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.65,92.9,3.76,720.15,NA,3,14.8,5.84,1427.5,3.6,463.7,158,83.8,58.8647995,255,65,1434,1262,0.002,7.931006398,"Madeira-Tapaj├│s moist forests",319,0,0.424001,3,2,"Evergreen Forest and Fields",5,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,6.48,0,0.08,0,0,0.44,0,0,0,0,0,0,0.26,91.04,0,0,0.08,1.32,0,0,0.67,1.32,91.04,0.08,0,0,0,6.92,3.28716216216216,0.104916972180289,0.643893633270846,"Bolivia-Beni"
"480","Myl-B-LagonSrz",-14.87383333,-64.86533333,28.4,7.76,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.75,10.37,1.22,6.93,NA,3,1.2,5.98,13.4,0.33,318.6,154,108.7,6.152750015,258,57,1910,1554,0.0064,9.511232064,"Beni savanna",318,0,0.235001,3,2,"Woody Savanna",10.0010891,0,0,0,0,0,0.91,1.06,0,0,0,1.78,17.51,0,0,0,0.25,8.49,0,0,0,9.99,0.61,0,0,0.17,0,0,0,0,22.38,0,0,0,36.63,0,0.42,1.78,64.13,22.38,0,0.91,1.06,0,9.1,4.79166666666667,0.0180477087256748,45.974025974026,"Bolivia-Beni"
"481","Myl-B-LgnCrnnd",-14.68616667,-64.7675,22.6,7.3,29,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,129.3,16.00309944,258,58,1852,1557,0.0064,9.511232064,"Beni savanna",318,3.25,0.300666,3,2,"Fields and Woody Savanna",6.268264294,0,0,0,0,0,1.7,0.1,0,0,0,2.52,39.7,0,0,0,0.75,1.87,0,0,0,10.26,0,0,0,0,0,0,0,0,21.38,0,0,0,21.56,0,0.75,2.52,71.52,21.38,0,1.7,0.1,0,1.87,NA,NA,NA,"Bolivia-Beni"
"482","Myl-B-LgnLmSrz",-14.7585,-64.95333333,28.1,7.4,138,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,3.12,1.45,0.83,NA,3,2.3,0.08,114.4,0.83,4.4,150,125.4,0.616369009,258,58,1866,1522,0.0064,9.511232064,"Beni savanna",318,0.5,0.426429,3,2,"Tropical Rainforest",14.02990532,0,0,0,0,0,0.28,0.13,0,0,0,2.41,5.91,0,0,0,0.4,13.6,0,0,0,17.96,0.05,0,0,0,0,0,0,0,17.13,0,0,0,41.93,0,0.4,2.41,65.8,17.13,0,0.28,0.13,0,13.65,0.160869565217391,0.0840909090909091,5.30120481927711,"Bolivia-Beni"
"483","Myl-B-LgnLsPnt",-14.884,-65.0255,5.3,7.55,186,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,6.25,2.02,2.44,NA,3,3.2,3307.52,0.1,1.36,151923.3,152,17.7,0.415385991,256,57,1912,1658,0.0064,9.511232064,"Southwest Amazon moist forests",318,0,0.387727,3,2,"Woody Savanna",6.418078423,0,0,0,0,0,0,1.25,0,0,0,3.6,1.18,0,0,0,0,14.89,0,0,0,14.08,0.1,0,0,0.07,0,0,0,0,26.84,0,0,0,37.8,0,0.07,3.6,53.06,26.84,0,0,1.25,0,14.99,0.2375,5.0025243000909e-06,62263.6475409836,"Bolivia-Beni"
"484","Myl-B-LgnPntdI",-14.8685,-64.97216667,33,7.1,133,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,104.6,0.114174001,257,57,1900,1595,0.0064,9.511232064,"Southwest Amazon moist forests",318,1.125,0.601112,1,7,"Tropical Rainforest",7.911000252,0,0,0,0,0,0,1.01,0,0,0,3.14,3.09,0,0,0,0.2,14.07,0,0,0,13.6,0.11,0,0,0.07,0,0,0,0,24.01,0,0,0,40.53,0,0.27,3.14,57.22,24.01,0,0,1.01,0,14.18,NA,NA,NA,"Bolivia-Beni"
