"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"58","Chl-Bls_Chepical",-32.2571,-70.4972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,3,1.14,4.98,NA,3,9,0.04,1646.5,12.74,7.3,3043,129.8,0.692,30,92,299,3748,4e-04,0.027711936,"Southern Andean steppe",341,NA,0.459371,4,1,"Upland Tundra",5.253212929,46.04,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,25.43,4.96,0,0,0,20.14,0,0,0.37,46.04,48.61,4.96,0.37,0,0,0,0,0,0,0.0611111111111111,0.0753424657534247,1.46586345381526,"Chile-Andean"
"61","Chl-Bls_El Maule",-36.059741,-70.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.08,64.82,2.67,1420,1420,2,30.2,7.57,2172,9.43,314.2,2163,48.5,97.473,63,74,655,4601,4e-04,3.143273854,"Valdivian temperate forests",341,NA,-9999,4,2,"Inland Water",3.318683624,44.6,0,0,4.18,4.18,0,0,0,0,0,0,0,0,0,0,0,7.85,0.52,0,0,0,0,0,0,0,0,0,0,0,0,38.84,0,0,4.02,44.6,43.54,4.18,4.02,0,0,0,0,0,7.85,1.55894039735099,0.149840865690643,0.221267605633803,"Chile-Andean"
"63","Chl-Bls_LEncañad",-33.647,-70.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,17.5,1.79,250,250,2,32.9,5.08,570,15.79,356.4,2567,8,9.171,69,85,546,4205,0.0012,0.700967075,"Southern Andean steppe",341,NA,0.0100098,4,2,"Bare Desert",3.728224039,68.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0.08,0,18.41,0.33,0,0,0,7.92,0,0,3.52,68.58,26.41,0.33,3.52,0,0,0,0,0,1.16,0.231003039513678,0.021324354657688,1.4256,"Chile-Andean"
"64","Chl-Bls_LgnMscnt",-23.73,-67.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.46,16.55,1.27,166.44,NA,3,12.4,NA,-1,4.04,283.9,4143,71.1,15.58950043,58,138,42,3116,0.0012,4.466472394,"Central Andean dry puna",339,NA,-9999,3,1,"Bare Desert",0.757507324,77.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.75,0,0,0,0,0,0,0,0,77.28,22.75,0,0,0,0,0,0,0,0,1.08548387096774,0.0474110602324762,1.7057197788993,"Chile-Andean"
"66","Chl-Bls_Miñiques",-23.769,-67.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53,4.76,1.08,13.45,NA,3,8.8,NA,-1,5.51,10.6,4136,105.2,1.656,58,138,42,3082,0.002,10.03183963,"Central Andean dry puna",339,NA,0.0274963,3,3,"Bare Desert",8,74.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.83,0,0,0,0,0,0,0,0,74.19,25.83,0,0,0,0,0,0,0,0,0.173863636363636,0.144339622641509,0.788104089219331,"Chile-Andean"
"67","Chl-Bls_Peinado",-26.501,-68.0997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41,10.33,1.88,24.87,NA,3,10.3,NA,-1,5.71,384.2,3748,2.1,1.84,77,81,55,2707,0.0024,5.561314388,"Southern Andean steppe",339,NA,0.129823,4,7,"Bare Desert",2.728224039,87.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,12.56,0,0,0,0,0,0,0,0,87.09,12.56,0,0,0,0,0,0,0,0.35,0.233980582524272,0.00627277459656429,15.448331322879,"Chile-Andean"
"72","Chl-Crr_Chepical",-32.2571,-70.4972,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0.1,NA,NA,NA,NA,NA,NA,NA,0.55,3,1.14,4.98,NA,3,9,0.04,1646.5,12.74,7.3,3043,129.8,0.692,30,92,299,3748,4e-04,0.027711936,"Southern Andean steppe",341,NA,0.459371,3,1,"Upland Tundra",5.253212929,46.04,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,25.43,4.96,0,0,0,20.14,0,0,0.37,46.04,48.61,4.96,0.37,0,0,0,0,0,0,0.0611111111111111,0.0753424657534247,1.46586345381526,"Chile-Andean"
"75","Chl-Crr_LagunCpn",-32.6,-70.558,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2467,120.2,0.074,72,95,334,3806,0,0,"Chilean matorral",341,NA,0.401392,3,2,"Shrub Deciduous",6.253212929,21.09,0,0.42,0,0,0,1.62,5.96,0,0,0,0.7,0,0,0,2.18,0,0,0,0,0,0,0,23.66,0,15.15,20.03,0,0,0,8.85,0,0,0.4,21.09,56.22,20.03,1.1,0,0,0,1.62,0,0,NA,NA,NA,"Chile-Andean"
"77","Chl-Crr_LagundTn",-35.177,-70.549,NA,8,NA,NA,NA,NA,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.01,NA,NA,NA,NA,NA,NA,NA,4.33,10.05,1.36,96.18,NA,3,22.2,1.03,1080.8,11.45,38.1,2547,4.2,12.3,48,83,788,4249,8e-04,0.478779401,"Valdivian temperate forests",341,NA,0.166783,4,1,"Bare Desert",3.250087738,48.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.64,0,0,0,0,0,0,1.67,0,14.4,0.28,0,0,0,20.53,0,0,13.92,48.44,36.73,0.28,13.92,0,0,0,0,0,0.64,0.195045045045045,0.113648293963255,0.396132252027449,"Chile-Andean"
"78","Chl-Crr_LagunNgr",-33.648,-70.125,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,298.12,NA,NA,NA,NA,2.9,NA,NA,5.15,14.46,1.8,181.89,NA,3,35.3,0.85,2468,18.62,56.3,2700,7.4,7.649,61,86,556,4209,0.0012,0.700967075,"Southern Andean steppe",341,NA,-9999,4,1,"Inland Water",1.757507324,52.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0.5,0,22.18,8.95,0,0,0,6.83,0,0,7.97,52.44,29.51,8.95,7.97,0,0,0,0,0,1.16,0.145892351274788,0.0914742451154529,0.309527736544065,"Chile-Andean"
