"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"56","Chl-Bls_Aculeo",-33.846,-70.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.62,18.12,1.57,160.71,NA,3,15.1,0.4,4604.2,5.07,59,356,12.2,17.178,158,116,501,4470,4e-04,0.454904219,"Chilean matorral",341,NA,0.024231,3,1,"Inland Water",7.629548073,0,0,0.5,0.42,0.42,0.17,38.38,24.24,0,0,0.06,27.61,0,0,0,4.06,1.81,0,0,0,0.95,0,0,0.81,0.51,0,0,0,0,0.19,0,0,0,0.47,0,30.54,0.48,29.03,0.19,0,0.17,38.38,0,1.81,0.703311258278146,0.18,0.367120901001805,"Chile-Coastal"
"57","Chl-Bls_Batuco",-33.202,-70.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486,3.2,3.216,148,106,318,3991,8e-04,0.273782922,"Chilean matorral",341,NA,0.406667,3,2,"Inland Water",10.41507626,0,0,0.32,0,0,0.17,12.32,42.78,0,0,0,1.28,0,0,0,0.91,1.07,0,0,0,0,0,0,40.27,0,0,0.09,0,0,0.37,0,0,0.45,0.06,0,84.28,0.09,1.34,0.37,0.45,0.17,12.32,0,1.07,NA,NA,NA,"Chile-Coastal"
"59","Chl-Bls_CingsdNm",-35.75,-72.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,2.1,2.456,138,92,912,3759,8e-04,0.10783332,"Valdivian temperate forests",341,NA,0.338333,3,2,"Inland Water",5.366439819,0,0,0,0,0,0,7.91,53.16,0,0,0.11,11.45,0,0,0,0.47,0.07,0,0,0,2.45,2.82,0,1.49,13.8,0,0,0,0,5.58,0,0,0,0.69,0,68.92,0.11,14.59,5.58,0,0,7.91,0,2.89,NA,NA,NA,"Chile-Coastal"
"60","Chl-Bls_Colejuda",-33.765,-71.7018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,122,0.197,175,104,526,3680,0.0016,0.267440921,"Chilean matorral",341,NA,0.363111,2,2,"Crops, Grass, Shrubs",8.000086784,0,0,0,0,0,0,0.37,52.88,0,0,0,0.3,0,0,0,0,3.84,0,0,0,0,0,38.11,3.42,0.17,0,0,0,0,0.39,0,0.53,0,0,0,56.47,0,0.3,38.5,0,0,0.37,0.53,3.84,NA,NA,NA,"Chile-Coastal"
"62","Chl-Bls_LagnGrnd",-36.86,-73.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,7.3,1.87,9.05,NA,3,7.4,0.42,247,4.92,13.6,13,2.3,1.46,130,80,1114,2813,0.0056,4.175128015,"Valdivian temperate forests",341,NA,0.345741,3,1,"Fields and Woody Savanna",32.2196312,0,0,0.16,0.08,0.08,0,3.29,0.56,0,0,0,13.34,0,0,0,2.07,6.69,0,0,0,0.35,7.81,36.94,0.25,21.41,0.16,0.15,0,0,0.29,0,4.38,0,2.02,0,24.69,0.23,15.71,37.23,0,0,3.29,4.38,14.5,0.164864864864865,0.0897058823529412,1.50276243093923,"Chile-Coastal"
"65","Chl-Bls_Matanzas",-33.7631,-71.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,7.02,1.67,13.85,NA,3,9.9,0.16,977.5,6.56,30.5,11,2.2,2.184,176,104,515,3727,0.0016,0.267440921,"Chilean matorral",341,NA,0.247917,3,1,"Crops, Grass, Shrubs",5.630042076,0,0,0,0,0,0,0.37,57.56,0,0,0,0.34,0,0,0,0,3.56,0,0,0,0,0,32.3,4.18,0.23,0,0,0,0,0.83,0,0.66,0,0,0,61.97,0,0.34,33.13,0,0,0.37,0.66,3.56,0.141414141414141,0.0459016393442623,2.20216606498195,"Chile-Coastal"
"68","Chl-Bls_Peral",-33.5051,-71.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,57.6,0.243,171,103,487,3333,0.002,1.069956062,"Chilean matorral",341,NA,0.318033,6,7,"Crops, Grass, Shrubs",34.78853226,0,0,0.04,0,0,0,5.17,51.81,0,0,0.16,1.91,0,0,0,0,3.64,0,0,0,0.12,0,33.94,0.98,0.37,0,0,0,0,1.27,0,0.66,0,0,0,53.2,0.16,2.03,35.21,0,0,5.17,0.66,3.64,NA,NA,NA,"Chile-Coastal"
"69","Chl-Bls_Vichuqun",-34.8059,-72.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.55,31.26,2.71,228.7,NA,3,21.7,5.83,454,6.93,442.2,4,80.3,12.232,148,99,764,3781,0.0028,0.969905234,"Valdivian temperate forests",341,NA,0.042449,4,1,"Inland Water",4.758784771,0,0,0,0,0,0,13.1,14.36,0,0,0.25,13.28,0,0,0,0.58,4.61,0,0,0,4.49,0.47,30.53,0.21,11.34,0,0,0,0,6.08,0,0,0,0.46,0,26.49,0.25,18.23,36.61,0,0,13.1,0,5.08,0.486175115207373,0.0238579828132067,1.93353738522081,"Chile-Coastal"
"70","Chl-Crr_Aculeo",-33.846,-70.915,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1248.3,1793,NA,NA,NA,NA,10.1,NA,NA,10.62,18.12,1.57,160.71,NA,3,15.1,0.4,4604.2,5.07,59,356,12.2,17.178,158,116,501,4470,4e-04,0.454904219,"Chilean matorral",341,NA,0.024231,3,1,"Inland Water",7.629548073,0,0,0.5,0.42,0.42,0.17,38.38,24.24,0,0,0.06,27.61,0,0,0,4.06,1.81,0,0,0,0.95,0,0,0.81,0.51,0,0,0,0,0.19,0,0,0,0.47,0,30.54,0.48,29.03,0.19,0,0.17,38.38,0,1.81,0.703311258278146,0.18,0.367120901001805,"Chile-Coastal"
"71","Chl-Crr_Batuco",-33.202,-70.824,NA,8.5,NA,NA,NA,NA,165.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1,1793,NA,NA,NA,NA,83.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486,3.2,3.216,148,106,318,3991,8e-04,0.273782922,"Chilean matorral",341,NA,0.406667,4,1,"Inland Water",10.41507626,0,0,0.32,0,0,0.17,12.32,42.78,0,0,0,1.28,0,0,0,0.91,1.07,0,0,0,0,0,0,40.27,0,0,0.09,0,0,0.37,0,0,0.45,0.06,0,84.28,0.09,1.34,0.37,0.45,0.17,12.32,0,1.07,NA,NA,NA,"Chile-Coastal"
