"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"118","Clm-L-E_Carimg-1",4.58,-71.33,NA,4.58,7.6,NA,NA,NA,6,0.001,0.06,0.314,0.023,NA,3.56,NA,NA,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,203.8,2.740570068,266,61,2229,858,4e-04,22.35705098,"Llanos",307,1.125,0.233334,1,7,"Savanna (Woods)",11,0,0,0,0,0,0,0.1,0.23,0,0,0,0.1,0,0,0,1.96,2.96,0,0.04,0,92.1,0,0,0,0,0,0,0,0,1.9,0,0,0,0.58,0,2.19,0.04,92.78,1.9,0,0,0.1,0,2.96,NA,NA,NA,"Colombia-Lowlands"
"119","Clm-L-E_Carimg-2",4.58,-71.33,NA,4.58,7.6,NA,NA,NA,6,0.001,0.06,0.314,0.023,NA,3.56,NA,NA,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,203.8,2.740570068,266,61,2229,858,4e-04,22.35705098,"Llanos",307,1.125,0.233334,7,4,"Savanna (Woods)",11,0,0,0,0,0,0,0.1,0.23,0,0,0,0.1,0,0,0,1.96,2.96,0,0.04,0,92.1,0,0,0,0,0,0,0,0,1.9,0,0,0,0.58,0,2.19,0.04,92.78,1.9,0,0,0.1,0,2.96,NA,NA,NA,"Colombia-Lowlands"
"120","Clm-L-E_Carimg-3",4.58,-71.33,NA,4.58,7.6,NA,NA,NA,6,0.001,0.06,0.314,0.023,NA,3.56,NA,NA,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,203.8,2.740570068,266,61,2229,858,4e-04,22.35705098,"Llanos",307,1.125,0.233334,7,4,"Savanna (Woods)",11,0,0,0,0,0,0,0.1,0.23,0,0,0,0.1,0,0,0,1.96,2.96,0,0.04,0,92.1,0,0,0,0,0,0,0,0,1.9,0,0,0,0.58,0,2.19,0.04,92.78,1.9,0,0,0.1,0,2.96,NA,NA,NA,"Colombia-Lowlands"
"121","Clm-L-E_Carimg-4",4.58,-71.33,NA,4.58,7.6,NA,NA,NA,6,0.001,0.06,0.314,0.023,NA,3.56,NA,NA,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,203.8,2.740570068,266,61,2229,858,4e-04,22.35705098,"Llanos",307,1.125,0.233334,7,2,"Savanna (Woods)",11,0,0,0,0,0,0,0.1,0.23,0,0,0,0.1,0,0,0,1.96,2.96,0,0.04,0,92.1,0,0,0,0,0,0,0,0,1.9,0,0,0,0.58,0,2.19,0.04,92.78,1.9,0,0,0.1,0,2.96,NA,NA,NA,"Colombia-Lowlands"
"122","Clm-L-E_Carimg-5",4.58,-71.33,NA,4.58,7.6,NA,NA,NA,6,0.001,0.06,0.314,0.023,NA,3.56,NA,NA,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,203.8,2.740570068,266,61,2229,858,4e-04,22.35705098,"Llanos",307,1.125,0.233334,1,9,"Savanna (Woods)",11,0,0,0,0,0,0,0.1,0.23,0,0,0,0.1,0,0,0,1.96,2.96,0,0.04,0,92.1,0,0,0,0,0,0,0,0,1.9,0,0,0,0.58,0,2.19,0.04,92.78,1.9,0,0,0.1,0,2.96,NA,NA,NA,"Colombia-Lowlands"
"123","Clm-L-E_Mrgrts-1",3.38,-73.42,NA,4.6,18.4,NA,NA,NA,8,0.14,0.204,0.4,0.023,NA,2.36,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,151,0.060395401,264,48,2694,658,0.0052,1.537917087,"Llanos",306,1.75,0.396552,7,7,"Tropical Rainforest",7.764848709,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,3.67,0,0,0,22.79,0,0,0,0,0,0,0,0,64.92,0,0,0,7.64,0,0.94,0,30.43,64.92,0,0,0,0,3.67,NA,NA,NA,"Colombia-Lowlands"
"124","Clm-L-E_Mrgrts-2",3.38,-73.42,NA,4.6,18.4,NA,NA,NA,8,0.14,0.204,0.4,0.023,NA,2.36,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,151,0.060395401,264,48,2694,658,0.0052,1.537917087,"Llanos",306,1.75,0.396552,7,7,"Tropical Rainforest",7.764848709,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,3.67,0,0,0,22.79,0,0,0,0,0,0,0,0,64.92,0,0,0,7.64,0,0.94,0,30.43,64.92,0,0,0,0,3.67,NA,NA,NA,"Colombia-Lowlands"
"125","Clm-L-E_Mrgrts-3",3.38,-73.42,NA,4.6,18.4,NA,NA,NA,8,0.14,0.204,0.4,0.023,NA,2.36,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,151,0.060395401,264,48,2694,658,0.0052,1.537917087,"Llanos",306,1.75,0.396552,7,7,"Tropical Rainforest",7.764848709,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,3.67,0,0,0,22.79,0,0,0,0,0,0,0,0,64.92,0,0,0,7.64,0,0.94,0,30.43,64.92,0,0,0,0,3.67,NA,NA,NA,"Colombia-Lowlands"
"126","Clm-L-E_Pinal-1",4.133,-73.38,NA,4.52,7.7,NA,NA,NA,10,2,0.068,0.157,0.023,NA,2.4,NA,NA,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,245.5,0.037829801,262,51,3023,777,0,0,"Apure-Villavicencio dry forests",306,0.75,0.512501,1,9,"Tropical Rainforest",10.18500805,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.14,0,0,0,11.77,0,0.05,0,11.77,88.14,0,0,0,0,0,NA,NA,NA,"Colombia-Lowlands"
"127","Clm-L-E_Pinal-2",4.133,-73.38,NA,4.52,7.7,NA,NA,NA,10,2,0.068,0.157,0.023,NA,2.4,NA,NA,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,245.5,0.037829801,262,51,3023,777,0,0,"Apure-Villavicencio dry forests",306,0.75,0.512501,1,9,"Tropical Rainforest",10.18500805,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.14,0,0,0,11.77,0,0.05,0,11.77,88.14,0,0,0,0,0,NA,NA,NA,"Colombia-Lowlands"
