"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"14","Brdb-SA_EclptsLg",-17.58191389,-67.515025,NA,6.5,4850,NA,NA,NA,NA,178,58.23,644,22.5,0.7038,914.067,NA,0.0287,518.342,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,17.14,29.47,2.01,26.14,NA,3,1.5,681.34,0.4,0.62,85947.7,3734,183.9,65.4,88,96,378,2050,0.0084,2.578660979,"Central Andean dry puna",337,2.625,0.429227,4,2,"Upland Tundra",13.79971027,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41,0,0.15,0,0,0,0,12.89,0,11.86,0,0,0,0,67.92,0,0,0.08,0,96.34,0.15,0.08,0,0,0,0,0,3.41,11.4266666666667,0.000199423602958543,3287.97628156083,"Desaguadero-SAltiplano"
"15","Brdb-SA_FldPlPnP",-17.3261,-68.61903333,NA,6.5,3580,NA,NA,NA,NA,112.7,19.63,529,15.2,5.336,783.291,NA,0.4433,271.551,NA,NA,0.1281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3812,42.5,37.6,86,103,390,2549,0.0136,2.361210299,"Central Andean dry puna",337,2.25,0.311666,4,2,"Inland Water",6.006078243,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,27.09,0,65.38,0,0,0,0,3.65,0,0,0,0,96.93,0,0,0,0,0,0,0,3.03,NA,NA,NA,"Desaguadero-SAltiplano"
"16","Brdb-SA_HncrmDry1",-17.666,-67.48318333,NA,7.5,13500,NA,NA,NA,NA,359.3,161.145,1770,7.9,0.8517,2225.753,NA,0.0176,1732.713,NA,NA,0.2683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3731,183.9,65.4,91,97,376,2059,0.0084,2.578660979,"Central Andean dry puna",337,0.75,0.415702,4,2,"Cold Grassland",12.61259842,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,0,0.1,0,0,0,0,5.26,0,14.31,0,0,0,0,76.63,0,0,0.08,0,97.44,0.1,0.08,0,0,0,0,0,2.39,NA,NA,NA,"Desaguadero-SAltiplano"
"17","Brdb-SA_HncrmDry2",-17.66081667,-67.48108333,NA,7.5,6460,NA,NA,NA,NA,261.8,91.33,788,37,14.866,1022.406,NA,0.0858,925.877,NA,NA,0.1585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3731,183.9,37.6,91,97,376,2059,0.0084,2.578660979,"Central Andean dry puna",337,1.125,0.415702,4,2,"Cold Grassland",12.61259842,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0.1,0,0,0,0,5.61,0,14,0,0,0,0,76.5,0,0,0.08,0,97.38,0.1,0.08,0,0,0,0,0,2.43,NA,NA,NA,"Desaguadero-SAltiplano"
"18","Brdb-SA_LagHñmrc",-16.56786667,-68.99458333,NA,NA,2150,NA,NA,NA,NA,103.5,40.43,227,18.8,2.153,294.876,NA,0.0458,281.567,NA,NA,0.1098,NA,NA,NA,NA,NA,NA,NA,8002.51,1456.08,4.59,893000,NA,1,111.6,541.15,19099.3,-1,56588.1,3815,8363.6,91.1,83,93,676,2049,0.0024,20.35484013,"Central Andean wet puna",337,0.875,0.295707,1,2,"Inland Water",0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,1.92,37.12,0,0,0,0,0,0,52.43,0,0.29,0,0,0,0,0.05,0,0,0.07,0,62.79,0,0.07,0,0,0,0,0,37.12,71.7070788530466,0.141416834988275,0.0633685330347144,"Desaguadero-SAltiplano"
"19","Brdb-SA_LagnChrr",-22.52805,-67.64608333,NA,NA,548,NA,NA,NA,NA,31.43,1.97,65.8,9.7,42.18,21.226,NA,0.3509,154.452,NA,NA,0.0108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4396,95.1,62.6,45,148,50,3357,0.004,4.893870007,"Central Andean dry puna",339,9.375,0.243118,6,4,"Bare Desert",8,42.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0,0,0,37.9,0,0,0,0,17.46,0,0,0.09,42.21,55.36,0,0.09,0,0,0,0,0,2.36,NA,NA,NA,"Desaguadero-SAltiplano"
"20","Brdb-SA_LagnClrd1",-22.2416,-67.7428,NA,7.5,194000,NA,NA,NA,NA,263.8,542.4,41500,2900,36.44,45515.83,NA,0.0036,8995.748,NA,NA,4.736,NA,NA,NA,NA,NA,NA,NA,36.3,89.52,4.19,117.69,NA,3,3.2,NA,-1,1.02,1371.5,4288,50.1,112.2,49,152,49,3367,4e-04,1.511803643,"Central Andean dry puna",337,0,0.23908,6,4,"Inland Water",0.526984036,15.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,38.93,0,0,0,0,39.83,0,0,0,15.86,78.76,0,0,0,0,0,0,0,5.4,11.34375,0.0264673714910682,11.6534964737871,"Desaguadero-SAltiplano"
"21","Brdb-SA_LagnClrd2",-22.2416,-67.7428,NA,5,2480,NA,NA,NA,NA,12.78,4.347,486,34.9,39.11,405.378,NA,3.469,253.13,NA,NA,0.741,NA,NA,NA,NA,NA,NA,NA,36.3,89.52,4.19,117.69,NA,3,3.2,NA,-1,1.02,1371.5,4288,50.1,112.2,49,152,49,3367,4e-04,1.511803643,"Central Andean dry puna",337,0,0.23908,6,4,"Inland Water",0.526984036,15.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,38.93,0,0,0,0,39.83,0,0,0,15.86,78.76,0,0,0,0,0,0,0,5.4,11.34375,0.0264673714910682,11.6534964737871,"Desaguadero-SAltiplano"
"23","Brdb-SA_Lagunvrd",-22.8079,-67.76826667,NA,NA,3160,NA,NA,NA,NA,67.07,29.39,458,22.5,35,673.373,NA,0.1474,185.164,NA,NA,0.1235,NA,NA,NA,NA,NA,NA,NA,9.72,19.85,1.8,52.35,NA,3,5.4,NA,-1,1.62,848.8,4323,18.1,62.6,48,167,45,3258,8e-04,1.382881667,"Central Andean dry puna",339,0,0.130005,6,4,"Shrub Deciduous",0.852497637,36.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,40.77,0,0,0,0,20.84,0,0,0.09,36.16,61.61,0,0.09,0,0,0,0,0,2.12,1.8,0.0114514608859566,16.2139446036294,"Desaguadero-SAltiplano"
"24","Brdb-SA_LgBS.RJU1",-17.46771667,-68.54858333,NA,NA,351000,NA,NA,NA,NA,2123,225.6,63300,78,4.506,97611.045,NA,0.0996,4123.018,NA,NA,0.0743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3792,145.5,59.4,86,105,376,2599,0.0136,2.361210299,"Central Andean dry puna",337,4.875,0.35739,4,2,"Inland Water",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,10.52,0,60.46,0,0,0,0,25.08,0,0,0,0,96.06,0,0,0,0,0,0,0,3.9,NA,NA,NA,"Desaguadero-SAltiplano"
