"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"163","Ecdr-Am_Añangcch",-0.525,-76.437,26.3,6,49,NA,9.09,1.25,0.24,1.1,0.01,0.61,3.5,5.5,5,NA,NA,0.03,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1.82,1.14,0.72,NA,3,3.6,2.32,3.6,2.55,30.7,229,139.2,5541.830078,251,16,3122,450,0.0032,20.07152157,"Napo moist forests",313,2.875,0.591305,1,7,"Tropical Rainforest",6,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0,0,0,94.37,0,0,0,0,0,0,0.08,0,94.37,0,0,0,0,5.54,0.0555555555555556,0.00651465798045603,42.6388888888889,"Ecuador-Amazonia"
"164","Ecdr-Am_Ayauchi",-2.083,-78.017,28.2,6.47,283,NA,2.09,4.5,0.24,0.97,1.23,0.83,1.8,3.5,5.57,NA,NA,NA,0.00373,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1113,221.2,221.2,211,15,3175,451,0.0068,18.49938152,"Eastern Cordillera real montane forests",312,2.5,0.499697,1,7,"Evergreen Forest and Fields",11,0,0,0.08,0,0,0,0.11,3.21,0,0,60.96,3.07,0,0,0,1.41,0,0,0.3,0,0.64,0,0,0,0,0,0,0,0.05,30.16,0,0,0,0,0,4.7,61.31,3.71,30.16,0,0,0.11,0,0,NA,NA,NA,"Ecuador-Amazonia"
"165","Ecdr-Am_Caimncch",0.008,-76.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,111.2,0.101865001,254,19,3292,465,0.0076,19.02826064,"Napo moist forests",316,10.75,0.480286,1,7,"Tropical Rainforest",1.287634492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0.6,0,0,0,0,0,0,0,98.71,0,0,0,0.56,0,0,0,0.56,98.71,0,0,0,0,0.71,NA,NA,NA,"Ecuador-Amazonia"
"166","Ecdr-Am_Cuyabeno",-0.013,-76.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0082265,NA,NA,NA,NA,NA,NA,NA,NA,2.2,0.85,5.9,1.8,3.11,NA,3,3.6,5.12,7,1.7,68.3,211,111.2,0.547604024,254,19,3257,479,0.0076,19.02826064,"Napo moist forests",316,0,0.194,1,7,"Tropical Rainforest",3.049725056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0.6,0,0,0,0,0,0,0,98.8,0,0,0,0.46,0,0,0,0.46,98.8,0,0,0,0,0.71,0.236111111111111,0.0124450951683748,21.9614147909968,"Ecuador-Amazonia"
"167","Ecdr-Am_Garzacch",-0.500232,-76.370802,26.1,7.4,75,NA,NA,0.75,0.4,2.42,2.31,1.48,4.05,21.1,NA,NA,0.138,0.06,0.0256,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,137,5541.830078,251,16,3114,482,0.0032,20.07152157,"Napo moist forests",316,2.125,0.505454,3,7,"Tropical Rainforest",2.006078482,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,4.87,0,0,0,0,0,0,0,0,0,0,0,0,95.13,0,0,0,0,0,0,0.01,0,95.13,0,0,0,0,4.87,NA,NA,NA,"Ecuador-Amazonia"
"168","Ecdr-Am_L. Agrio",0.113,-76.913,28.7,6.3,69,NA,10.3,1.07,0.68,1.26,2.35,1.61,8.46,24.6,4,0.05,0.113,6.3,0.0213,NA,0.086,NA,NA,NA,NA,NA,NA,2,0.3,3.8,1.97,0.62,NA,3,2.1,0.87,8.3,0.75,11.4,316,83.9,0.341903001,246,18,3441,410,8e-04,22.12344991,"Napo moist forests",313,1.75,0.543529,1,7,"Tropical Rainforest",14.77558422,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,99.15,0,0,0,0.5,0,0,0,0.55,99.15,0,0,0,0,0.28,0.142857142857143,0.0263157894736842,18.3870967741935,"Ecuador-Amazonia"
"169","Ecdr-Am_L.Kumpak",-3.045,-78.035,26.7,7,85.35,NA,8.74175,1.4,0.59,9.4,0.46,0.75,1.11,3.4,5.35,NA,NA,NA,0.028275,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329,156.6,0.084496103,251,17,2357,599,0.0092,3.289970712,"Napo moist forests",313,8.375,0.421724,3,7,"Tropical Rainforest",11.78853035,0,0,0.14,0,0,0,0.51,0.13,0,0,11.24,2.79,0,0,0,0.16,3.29,0,3.97,0.28,1.59,0,0,0,0,0,0,0,0.54,70.17,0.27,0,0,4.88,0,0.7,15.75,9.26,70.17,0,0.28,0.51,0,3.29,NA,NA,NA,"Ecuador-Amazonia"
"170","Ecdr-Am_Limnncch",-0.399,-76.614,28,9,118,NA,5.89,0.51,0.99,4.2,4.98,2.17,6.43,31.5,5.9,NA,0.075,4.3,0.0799,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12,7.59,1.47,12.25,NA,3,5.8,7.97,17.8,3.01,100,229,101.8,2.294359922,249,14,3251,412,0.0032,20.07152157,"Napo moist forests",313,0,0.263125,1,7,"Tropical Rainforest",22.41053009,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,6.48,0,0,0,0,0,0,0,0,0,0,0,0,93.33,0,0,0,0,0,0,0.18,0,93.33,0,0,0,0,6.48,0.36551724137931,0.0212,8.16326530612245,"Ecuador-Amazonia"
"171","Ecdr-Am_Macurcch",0.002,-76.215,23.45,4.81,11.7,NA,4.06,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0045,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,111.2,1155.430054,254,19,3292,465,0.0076,19.02826064,"Napo moist forests",316,3.875,0.480286,1,7,"Tropical Rainforest",1.293143749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0.61,0,0,0,0,0,0,0,98.7,0,0,0,0.56,0,0,0,0.56,98.7,0,0,0,0,0.72,NA,NA,NA,"Ecuador-Amazonia"
"172","Ecdr-Am_Mandicch",-0.473,-76.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,170.5,0.077673897,249,15,3208,469,0.0032,20.07152157,"Napo moist forests",316,3.875,0.566429,1,7,"Tropical Rainforest",3.281452179,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,6.44,0,0,0,0,0,0,0,0,0,0,0,0,93.5,0,0,0,0,0,0,0.08,0,93.5,0,0,0,0,6.44,NA,NA,NA,"Ecuador-Amazonia"
