"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"181","Ecdr-An_Anteojos",-1.0963987,-78.340566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3608,175.6,0.078267597,73,23,1131,605,4e-04,0.228948865,"Northern Andean p├íramo",312,1.875,0.300001,1,7,"Forest and Field",5,0.25,11.67,7.47,0,0,0,3.37,7.93,0,0,1.42,0.09,8.89,0,0,6.91,0.32,0,0,0.24,0.99,0,0,0.25,0,19.31,0,0,0.06,0,30,0,0,0.77,11.92,71.87,10.37,1.85,0,0,0.24,3.37,0,0.32,NA,NA,NA,"Ecuador-Andean"
"182","Ecdr-An_Apicocha",-2.781183333,-79.21968333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3920,225.7,0.0110327,59,36,967,394,0.0012,0.131834973,"Northern Andean p├íramo",312,3.75,0.349833,1,7,"Cold Grassland",14,0.29,6.78,30.34,0,0,0,2.7,2.53,0,0,0.3,0.01,0,0,0,0.11,0,0,0,0,0.33,0,0,8.12,0,22.39,0,0,0,0,25.81,0,0.08,0,7.07,89.3,0.3,0.34,0,0.08,0,2.7,0,0,NA,NA,NA,"Ecuador-Andean"
"183","Ecdr-An_Cañarpnd",-4.615,-79.41666667,NA,NA,102.5,NA,20.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344,NA,0.326,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,190.1,190.1,189,81,1019,235,4e-04,0.023461764,"Eastern Cordillera real montane forests",301,34.375,0.498687,1,7,"Woody Savanna",4.251257896,1.45,10.84,16.4,0,0,0,3.29,1.5,0,0,3.59,1.2,0.05,0,0,0,0.16,0,2.16,1.67,8.74,0,0,3.08,0,8.17,0,0,0,0.71,8.63,0,0,28.39,12.29,37.78,5.8,38.33,0.71,0,1.67,3.29,0,0.16,NA,NA,NA,"Ecuador-Andean"
"184","Ecdr-An_Caricoha",0.137846,-78.266149,10,5.9,55.2,NA,NA,0.5,0.325,0.32,0.19,NA,NA,NA,5,0.025,0.0284,7,2e-05,NA,12.8,NA,NA,NA,NA,NA,NA,92.9,2.87,7.26,1.21,54.73,NA,3,19.1,0.31,2069.9,11.05,10.3,3722,88.6,2.74435997,68,27,1319,303,0.0016,0.503409922,"Northern Andean p├íramo",301,0,0.070958,1,7,"Semi Desert Shrubs",8.266884804,0,0,6.16,0,0,0,23.81,3.03,0,0,6.36,1.14,2.03,0,0,3.87,0.53,0,2.61,1.89,14.97,0,0,10.56,0,2.16,0,0,0.29,0.08,14.23,0,0,6.2,0,40.01,11.29,22.31,0.08,0,1.89,23.81,0,0.53,0.150261780104712,0.278640776699029,0.188196601498264,"Ecuador-Andean"
"185","Ecdr-An_Cochabmb",-1.5,-78.71666667,17,6.3,NA,NA,13.37,0.01,0.38,NA,NA,NA,NA,NA,9.7,NA,0.3098,NA,0.075826,NA,NA,NA,NA,NA,NA,NA,NA,0.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3548,131.6,0.0196888,89,21,905,460,0,0,"Northern Andean p├íramo",312,3,0.441098,1,7,"Savanna (Woods)",9.728223801,0.7,1.92,20.46,0,0,0,1.93,2.64,0,0,1.92,0.32,0.84,0,0,19.35,0,0,0.53,0,3.59,0,0,6.38,0,6.21,0,0,0,0,30.51,0.04,0,2.62,2.62,85.55,3.29,6.53,0,0,0,1.93,0.04,0,NA,NA,NA,"Ecuador-Andean"
"186","Ecdr-An_Culbrlls",-2.422648,-78.859654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,2.92,1.29,3.83,NA,3,9.4,0.57,77.3,15.34,36,3887,225.8,0.359320998,51,43,680,230,0.0012,0.228155232,"Northern Andean p├íramo",301,0,0.245864,1,7,"Upland Tundra",5.250246525,0,0.32,12.47,0,0,0,0.28,6.92,0,0,0.35,0.32,0.27,0,0,0.54,0,0,0.08,0.2,6.88,0,0,2.5,0,6.83,0,0,0,0,57.81,0,0,4.17,0.32,87.07,0.7,11.37,0,0,0.2,0.28,0,0,0.0436170212765957,0.0113888888888889,9.39947780678851,"Ecuador-Andean"
"187","Ecdr-An_Huarmcch",0.114054,-78.272925,12,6.65,47,NA,NA,21.5,0.2,0.16,0.7,NA,NA,NA,7,0.027,0.0204,7,3e-05,NA,11.7,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3702,88.6,0.081780501,67,25,1326,335,0.0016,0.503409922,"Northern Andean p├íramo",301,1.75,0.460653,1,7,"Semi Desert Shrubs",7.258657455,0,0,5.93,0,0,0,23,3.69,0,0,7.13,1.16,2.12,0,0,4.06,0.53,0,2.38,2.42,14.65,0,0,10.59,0,2.05,0,0,0.29,0.08,13.42,0,0,6.4,0,39.74,11.92,22.21,0.08,0,2.42,23,0,0.53,NA,NA,NA,"Ecuador-Andean"
"188","Ecdr-An_Illincocha",-2.795,-79.21666667,7,8.6,10,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4079,225.7,0.000161886,52,38,928,389,0.0012,0.131834973,"Northern Andean p├íramo",312,6.625,0.417919,3,7,"Cold Grassland",8.728223801,0.29,5.11,31.22,0,0,0,3.07,3.78,0,0,0.31,0.09,0,0,0,0.15,0,0,0,0,0.38,0,0,8.59,0,20.88,0,0,0,0,25.83,0,0.08,0,5.4,90.45,0.31,0.47,0,0.08,0,3.07,0,0,NA,NA,NA,"Ecuador-Andean"
"189","Ecdr-An_LaCiénag",-0.77419,-78.619095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2988,135.1,0.00640668,119,38,671,312,0,0,"Eastern Cordillera real montane forests",312,6.75,0.355488,1,7,"Crops, Grass, Shrubs",26,0,1.05,12.69,0,0,0,0.92,11.57,0,0,2.19,0.09,0.59,0,0,0.84,0,0,0.88,0,8.97,0,0,3.34,0,4.14,0,0,0,0,47.98,0.11,0,4.61,1.05,80.56,3.66,13.67,0,0,0,0.92,0.11,0,NA,NA,NA,"Ecuador-Andean"
"190","Ecdr-An_Limpipng",-0.25,-78.5,12,5,48,NA,NA,0.65,NA,0.648,5.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3662,141.2,0.224254996,72,32,1121,320,0,0.012852847,"Eastern Cordillera real montane forests",312,8.375,0.486898,1,7,"Upland Tundra",5.250463009,0,2.41,14,0,0,0,1.01,8.07,0,0,6.83,0.41,0.42,0,0,0.91,0,0,5.85,0,9.69,0,0,3.54,0,4.54,0,0,0,1.55,34.38,0,0,6.37,2.41,65.44,13.1,16.47,1.55,0,0,1.01,0,0,NA,NA,NA,"Ecuador-Andean"
"191","Ecdr-An_Llaviacu",-2.842933333,-79.14608333,16.9,7.9,44,NA,4.75,4.1,NA,NA,NA,NA,NA,NA,NA,NA,0.4675,NA,0.1194,NA,NA,NA,8,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3150,225.7,0.120999001,102,25,1000,718,0.0012,0.131834973,"Eastern Cordillera real montane forests",312,4.125,0.301966,1,7,"Crops and Town",6.339466572,0,0.24,33.53,0,0,0,11.06,10.03,0,0,1.07,0.09,0,0,0,0.32,0,0,0,0,2.64,0,0,12.9,0,11.77,0,0,0,0,13.21,2.76,0.08,0,0.24,81.76,1.07,2.73,0,0.08,0,11.06,2.76,0,NA,NA,NA,"Ecuador-Andean"
"192","Ecdr-An_Papallct",-0.366666667,-78.16666667,10,NA,NA,NA,1.31,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079088,NA,NA,NA,NA,NA,NA,NA,NA,31,0.28,2.64,1.4,2.28,NA,3,8.1,3.49,7.6,12.52,123.4,3352,241.8,0.321321011,88,17,1282,475,0,0.012852847,"Eastern Cordillera real montane forests",312,0.5,0.284094,1,7,"Cold Grassland",7,0.05,3.95,11.53,0,0,0,3.34,7.39,0,0,7.03,0,5.82,0,0,2.61,0.16,0,0.37,0.06,4.13,0,0,3.4,0.14,19.9,0,0,0.08,0.41,28.47,0,0,1.13,4,73.44,13.3,5.26,0.41,0,0.06,3.34,0,0.16,0.0345679012345679,0.00226904376012966,54.1228070175439,"Ecuador-Andean"
"193","Ecdr-An_Pisayamb",-1.0847,-78.387,8.25,6.5,176.0166667,NA,7.43,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04545375,NA,NA,NA,NA,NA,NA,NA,NA,30,3.33,8.01,1.24,43.32,NA,3,13,3.22,155.8,6.69,63.7,3548,176.6,3.619460106,81,22,1043,583,4e-04,0.228948865,"Northern Andean p├íramo",312,0,0.0423861,1,7,"Crops, Grass, Shrubs",7,0.16,8.31,8.27,0,0,0,4.96,10.84,0,0,3.15,0.08,8.47,0,0,7.99,0.32,0,0,0.24,3.31,0,0,1.46,0,13.75,0,0,0.08,0,27.49,0,0,1.04,8.47,69.8,11.7,4.43,0,0,0.24,4.96,0,0.32,0.256153846153846,0.052276295133438,1.47045244690674,"Ecuador-Andean"
"194","Ecdr-An_Pucacoch",-1.483333333,-78.25,10,7.7,NA,NA,NA,0.35,0.62,NA,NA,NA,NA,NA,8.2,NA,0.0585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2042,174.2,0.0044379,170,37,1561,622,0,0,"Eastern Cordillera real montane forests",312,38.75,0.483899,1,7,"Crops, Grass, Shrubs",8.257580757,0.1,11.77,8.03,0,0,0,3.77,8.1,0,0,14.78,10.27,0.96,0,0,1.52,0,0,0.74,0.48,6.43,0,0,0.59,0,15.14,0,0,0,2.06,15.06,0,0,0.16,11.87,48.44,16.48,16.86,2.06,0,0.48,3.77,0,0,NA,NA,NA,"Ecuador-Andean"
"195","Ecdr-An_Quilotoa",-0.8562,-78.9017,15,7.8,15600,NA,85.5,0.6,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0137,NA,NA,NA,NA,NA,NA,NA,NA,240,2.91,6.52,1.08,97.02,NA,3,33.4,0.1,11576.4,21.31,3,3505,2.8,3.16989994,87,51,817,278,4e-04,0.185148996,"Northern Andean p├íramo",301,0,0.0341319,1,7,"Inland Water",7.250463009,0.5,13.84,6.99,0,0,0,0.4,5.9,0,0,0,0,0.39,0,0,0,0.48,0,0.05,0,4.74,0,0,0.53,0,12.05,0,0,0,0.24,51.33,0,0,2.48,14.34,76.8,0.44,7.22,0.24,0,0,0.4,0,0.48,0.087125748502994,0.97,0.0309214594928881,"Ecuador-Andean"
"196","Ecdr-An_SanMarcs",0.116666667,-78.41666667,13.8,7.2,43,NA,1.7,2.5,0.38,NA,NA,2.5,13.54,NA,85.5,0.05,NA,NA,0.0336505,NA,0.004,NA,NA,NA,NA,NA,NA,38,0.48,3.66,1.5,4.06,NA,3,8.5,0.41,115.9,11.86,12.9,3429,96,0.612558007,81,17,1040,425,8e-04,0.673530132,"Eastern Cordillera real montane forests",312,6.375,0.347788,1,7,"Inland Water",3.250016451,0,1.68,13.72,0,0,0,12.44,7.83,0,0,5.61,0.15,0.47,0,0,3.07,0.31,0,6.49,2.6,6.09,0,0,7.79,0.38,9.08,0,0,3.06,1.04,14.69,0,0.09,3.26,1.68,56.56,15.63,9.5,1.04,0.09,2.6,12.44,0,0.31,0.0564705882352941,0.0372093023255814,3.17733990147783,"Ecuador-Andean"
"197","Ecdr-An_Tambo",-1.831833333,-78.36666667,8,6.5,NA,NA,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046655,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3621,176.6,0.104208998,72,23,1112,574,4e-04,0.228948865,"Northern Andean p├íramo",312,2,0.337635,1,7,"Crops, Grass, Shrubs",6,0.22,12.13,8.15,0,0,0,4.35,8.7,0,0,2.78,0,9.18,0,0,8.73,0.32,0,0,0.24,1.22,0,0,0.8,0,16.91,0,0,0.08,0,25.14,0,0,0.97,12.35,68.43,12.04,2.19,0,0,0.24,4.35,0,0.32,NA,NA,NA,"Ecuador-Andean"
"198","Ecdr-An_Toread",-2.8445,-79.25366667,5,7,71,NA,2.28,4,NA,NA,NA,NA,NA,NA,NA,NA,1.324,NA,0.0275,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3911,225.7,0.127912,59,36,967,394,0.0012,0.131834973,"Northern Andean p├íramo",312,2.125,0.349833,1,7,"Cold Grassland",14,0.29,7.35,30.23,0,0,0,2.28,2.29,0,0,0.28,0,0,0,0,0.11,0,0,0,0,0.27,0,0,8.1,0,22.36,0,0,0,0,26.12,0,0.08,0,7.64,89.21,0.28,0.27,0,0.08,0,2.28,0,0,NA,NA,NA,"Ecuador-Andean"
"199","Ecdr-An_Yanacoch",0.129336,-78.254003,12,5.8,65,NA,0.8,4,0.48,NA,NA,NA,NA,NA,0.8,NA,NA,NA,0.0103,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3883,88.6,0.155277997,50,21,1412,345,0.0016,0.503409922,"Northern Andean p├íramo",301,18.125,0.460653,1,7,"Semi Desert Shrubs",7.258657455,0,0,5.89,0,0,0,22.49,4.09,0,0,7.15,1.2,2.13,0,0,4.1,0.53,0,2.37,2.46,14.42,0,0,10.65,0,2.1,0,0,0.29,0.08,13.44,0,0,6.48,0,40.27,11.94,22.1,0.08,0,2.46,22.49,0,0.53,NA,NA,NA,"Ecuador-Andean"
"219","EpNGEO-F_Caricoch",0.137846,-78.266149,11.32,4.74,53,NA,NA,7,NA,1.14,1.31,0.43,1.36,NA,0.627,0.003,0.017,3.6,0,0,0,7.7,0.84,NA,NA,NA,NA,92.9,2.87,7.26,1.21,54.73,NA,3,19.1,0.31,2069.9,11.05,10.3,3722,88.6,2.74435997,68,27,1319,303,0.0016,0.503409922,"Northern Andean p├íramo",301,NA,0.070958,3,7,"Semi Desert Shrubs",8.266884804,0,0,6.16,0,0,0,23.81,3.03,0,0,6.36,1.14,2.03,0,0,3.87,0.53,0,2.61,1.89,14.97,0,0,10.56,0,2.16,0,0,0.29,0.08,14.23,0,0,6.2,0,40.01,11.29,22.31,0.08,0,1.89,23.81,0,0.53,0.150261780104712,0.278640776699029,0.188196601498264,"Ecuador-Andean"
"220","EpNGEO-F_Chiriacu1",0.114,-78.273,11.27,4.85,33,NA,NA,0.9,NA,1.27,0.61,1.1,1.03,NA,0.854,0,0,6.24,0,0.241,0,7.1,0.78,NA,NA,NA,NA,6.6,0.15,1.56,1.14,1.04,NA,3,7,0.09,136.5,11.29,3,3703,72.8,0.081,64,25,1353,309,0.0016,0.503409922,"Northern Andean p├íramo",301,NA,0.203371,3,1,"Cold Grassland",7.255021572,0,0,6.93,0,0,0,19.25,4.89,0,0,5.98,1.14,2.1,0,0,3.99,0.53,0,2.41,1.27,13.7,0,0,10.79,0,3.81,0,0,0.29,0.08,16.82,0,0,5.95,0,47.23,10.78,20.79,0.08,0,1.27,19.25,0,0.53,0.0214285714285714,0.05,2.88461538461538,"Ecuador-Andean"
