"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"207","Ecdr-In_Colta",-1.75,-78.73333333,18,8.4,1095,NA,54.6,3,15.5,NA,NA,9.3,50,NA,9,NA,0.15075,1.2,0.046595,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0.71,4.82,1.61,1.49,NA,3,2.1,0.44,39,0.57,17.2,3302,138.6,1.649209976,104,32,907,376,0,0,"Eastern Cordillera real montane forests",312,0,0.403846,3,7,"Upland Tundra",26,0,0,13.91,0,0,0,0.18,0.7,0,0,0.24,0.11,0.56,0,0,0,0,0,0.42,0,1.04,0,0,7.21,0,9.56,0,0,0,0,63.58,0.18,0,2.3,0,94.96,1.22,3.45,0,0,0,0.18,0.18,0,0.338095238095238,0.0412790697674419,11.5436241610738,"Ecuador-Interandean"
"208","Ecdr-In_Conru",0.235371,-78.089553,17,6.7,163.3,NA,NA,2.5,1.5,0.61,4.23,NA,14.5,NA,7.4,0.05,0.016,9,5e-05,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2826,180.8,0.0266158,130,40,984,253,8e-04,0.673530132,"Northwestern Andean montane forests",301,9.625,0.332379,3,7,"Rice Paddy and Field",14,0,0,4.22,0,0,0,27.51,9.8,0,0,8.65,0.23,0.48,0,0,4.04,0.82,0,7.12,3.01,9.99,0,0,11.65,0.31,0,0,0,1.3,0.97,0.91,0,0,8.88,0,30.93,17.55,19.1,0.97,0,3.01,27.51,0,0.82,NA,NA,NA,"Ecuador-Interandean"
"209","Ecdr-In_Cuicocha",0.3,-78.36666667,17,7.7,789.3,NA,1,18.3,6.1,4.96,24.8,NA,NA,NA,1,0.041,NA,26,0.005,NA,NA,NA,NA,NA,NA,NA,NA,31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3123,57.9,2.296010017,111,49,1046,184,0.0016,0.503409922,"Northwestern Andean montane forests",301,33.375,0.124358,1,7,"Crops and Town",10,0,3.36,16.63,0,0,0,21.69,2.41,0,0,4.18,0.72,0.52,0,0,1.09,0.53,0,2.87,0.43,13.19,0,0,7.99,0,8.52,0,0,0.13,0,14.79,0,0,0.87,3.36,51.43,7.7,14.78,0,0,0.43,21.69,0,0.53,NA,NA,NA,"Ecuador-Interandean"
"210","Ecdr-In_Guangopl",0.25,-78.48333333,14.025,7,425,NA,1.375,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083483,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006,99.9,0.0460894,125,49,1099,138,0.0016,0.503409922,"Northwestern Andean montane forests",301,77.125,0.433962,1,7,"Cold Grassland",4.250330448,0.08,8.65,18.74,0,0,0,8.45,2.45,0,0,0.24,0.35,4.01,0,0,0,0.99,0,2.24,0.27,7.51,0,0,3.62,0,18.34,0,0,0.13,0,23.8,0,0,0.08,8.73,66.95,6.62,7.94,0,0,0.27,8.45,0,0.99,NA,NA,NA,"Ecuador-Interandean"
"211","Ecdr-In_L.SanPbl",0.216666667,-78.23333333,18,7.3,281.3,NA,3.5,4.5,3,1.75,21.24,5.71,29.65,NA,5,0.82,0.108,10,0.154700333,NA,0.165,NA,NA,NA,NA,NA,NA,23.5,5.98,9.66,1.11,26.45,NA,3,4.4,3.94,77.7,1.52,131.8,2662,5.6,4.383900166,141,41,966,140,0.0016,0.503409922,"Northwestern Andean montane forests",301,0,0.0524902,2,7,"Semi Desert Shrubs",30,0,0,5.56,0,0,0,36.85,2.61,0,0,8.72,0.94,0.83,0,0,3.85,0.53,0,2.79,3.33,16.17,0,0,9.05,0,0.16,0,0,0.29,0.19,0.48,0,0,7.55,0,21.71,12.63,24.66,0.19,0,3.33,36.85,0,0.53,1.35909090909091,0.0453717754172989,4.98298676748582,"Ecuador-Interandean"
"212","Ecdr-In_L.Ygrcch",0.383333333,-78.08333333,21.7,7.5,822,NA,30.0625,1,7.5,3.75,20.61,54.66,102.64,NA,18.1,0.05,NA,18,0.01165,NA,NA,NA,NA,NA,NA,NA,NA,7,2.32,6.96,1.29,25.29,NA,3,10.9,0.73,399.3,6.17,23.6,2189,63.5,1.873110056,164,44,602,162,8e-04,0.673530132,"Northwestern Andean montane forests",301,0,0.134885,3,7,"Semi Desert Shrubs",29.3394661,0,0,7.46,0,0,0,26.82,8.65,0,0,4.21,0,0.09,0,0,2.4,0.13,0,3.94,2.62,9.02,0,0,21.55,0,0.05,0,0,0.54,0.43,6.25,0,0,5.81,0,46.36,8.78,14.83,0.43,0,2.62,26.82,0,0.13,0.212844036697248,0.0983050847457627,0.933175168050613,"Ecuador-Interandean"
"213","Ecdr-In_La Moya",-1.333333333,-78.51666667,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2174,135.4,135.4,157,23,578,766,0,0,"Eastern Cordillera real montane forests",312,8.875,0.512957,1,7,"Crops, Grass, Shrubs",34.78853226,0,1.73,15.83,0,0,0,6.27,10.57,0,0,2.8,1.28,2.78,0,0,27.94,0,0,0.4,0.08,0.62,0,0,11.12,0,6.3,0,0,0.29,0,7.04,0.08,0,4.78,1.73,78.8,6.27,6.68,0,0,0.08,6.27,0.08,0,NA,NA,NA,"Ecuador-Interandean"
"214","Ecdr-In_Rumtum",-1.45,-78.73333333,NA,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4052,141.2,141.2,58,37,790,377,0,0,"Northern Andean p├íramo",312,15,0.611288,1,7,"Hot and Mild Grasses and Shrubs",8.396477699,0.94,3.54,20.41,0,0,0,2.31,2.55,0,0,1.76,0.32,0.84,0,0,26.7,0,0,0.69,0,3.39,0,0,6.05,0,7.73,0,0,0,0,20.22,0,0,2.51,4.48,83.66,3.29,6.22,0,0,0,2.31,0,0,NA,NA,NA,"Ecuador-Interandean"
"215","Ecdr-In_SanAnton",-1.618622,-78.633922,14.3,7.67,566,NA,10.68,0.57,NA,NA,NA,NA,NA,NA,NA,NA,1.102,NA,0.15741,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2738,175.6,0.0256829,138,27,545,656,0,0,"Eastern Cordillera real montane forests",312,4.75,0.569735,3,7,"Upland Tundra",32.03662491,0,0,16.39,0,0,0,2.4,3.56,0,0,2.15,0.36,0.84,0,0,7.81,0,0,0.72,0,5.94,0,0,8.4,0,6.02,0,0,0,0.08,42.57,0.18,0,2.54,0,84.75,3.71,8.84,0.08,0,0,2.4,0.18,0,NA,NA,NA,"Ecuador-Interandean"
"216","Ecdr-In_Uzhupud",-2.833333333,-78.80238095,NA,NA,237,NA,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.505,NA,0.1224655,NA,NA,NA,NA,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2916,47.8,47.8,119,20,836,559,0,0,"Eastern Cordillera real montane forests",312,14.375,0.574199,3,7,"Semi Desert Shrubs",16.9871254,0,0,3.72,0,0,0,16.88,11.51,0,0,17.67,0.32,2.64,0,0,2.09,0,0,1.03,2.48,7.09,0,0,28.21,0,0.23,0,0,0.3,1.84,2.64,0.36,0,1.04,0,48.4,21.64,8.45,1.84,0,2.48,16.88,0.36,0,NA,NA,NA,"Ecuador-Interandean"
"217","Ecdr-In_Yambo",-1.116666667,-78.58333333,17,8.75,1950,NA,107.675,0.26,1468.7,2.22,161.9,56.25,12.86,NA,175.5,0.042,0.0646,160,0.20471625,NA,NA,NA,NA,NA,NA,NA,NA,24.5,0.25,2.85,1.59,2.38,NA,3,9.4,0.06,451.5,17.66,1.7,2582,129.8,0.304883987,143,27,533,668,4e-04,0.185148996,"Eastern Cordillera real montane forests",312,3,0.787181,1,7,"Upland Tundra",31.00524139,0,0,7.08,0,0,0,9.29,18.48,0,0,3.88,0,4,0,0,13.79,0,0,0,0.24,4.12,0,0,15.18,0,4.12,0,0,0.4,0,17.8,0.19,0,1.36,0,76.45,8.28,5.48,0,0,0.24,9.29,0.19,0,0.0265957446808511,0.147058823529412,0.714285714285714,"Ecuador-Interandean"
"218","Ecdr-In_Zuleta",0.195673,-78.0982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2858,180.8,0.095643803,128,41,1006,233,8e-04,0.673530132,"Northwestern Andean montane forests",301,3.5,0.14356,1,7,"Rice Paddy and Field",9,0,0,4.96,0,0,0,27.72,9.88,0,0,9.07,0.23,0.48,0,0,4.07,0.88,0,7.17,3.04,10.49,0,0,9.13,0.32,0.05,0,0,1.33,1.01,0.99,0,0,9.08,0,29.4,18.05,19.8,1.01,0,3.04,27.72,0,0.88,NA,NA,NA,"Ecuador-Interandean"
"226","EpNGEO-F_Cunrro1",0.235,-78.089,17.93,7.95,343,NA,NA,1.38,NA,4.9,5.6,25.7,9.95,NA,8.92,0.154,0.137,0.618,0.26,3.45,0.689,24.3,2.3,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2821,180.8,0.0266158,130,40,984,253,8e-04,0.673530132,"Northwestern Andean montane forests",301,NA,0.332379,3,7,"Rice Paddy and Field",14,0,0,4.29,0,0,0,27.35,9.81,0,0,8.65,0.23,0.48,0,0,4.01,0.83,0,7.12,3.01,10,0,0,11.69,0.32,0,0,0,1.34,0.98,0.93,0,0,8.89,0,31.05,17.59,19.12,0.98,0,3.01,27.35,0,0.83,NA,NA,NA,"Ecuador-Interandean"
"227","EpNGEO-F_Cunrro2",0.235,-78.089,17.93,7.95,343,NA,NA,1.38,NA,4.9,5.6,25.7,9.95,NA,8.92,0,0.137,0.618,0.26,3.45,0.689,24.3,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2821,180.8,0.0266158,130,40,984,253,8e-04,0.673530132,"Northwestern Andean montane forests",301,NA,0.332379,3,7,"Rice Paddy and Field",14,0,0,4.29,0,0,0,27.35,9.81,0,0,8.65,0.23,0.48,0,0,4.01,0.83,0,7.12,3.01,10,0,0,11.69,0.32,0,0,0,1.34,0.98,0.93,0,0,8.89,0,31.05,17.59,19.12,0.98,0,3.01,27.35,0,0.83,NA,NA,NA,"Ecuador-Interandean"
"231","EpNGEO-F_SanPablo",0.2166,-78.233,15.12,7.14,10,NA,NA,3.4,NA,7.64,12.2,3.1,27.1,NA,4.67,0,0,6.92,0.164,0,0.126,30,3.02,NA,NA,NA,NA,23.5,5.98,9.66,1.11,26.45,NA,3,4.4,3.94,77.7,1.52,131.8,2662,5.6,4.383900166,141,41,966,140,0.0016,0.503409922,"Northwestern Andean montane forests",301,NA,0.0524902,3,7,"Semi Desert Shrubs",30,0,0,5.56,0,0,0,36.85,2.61,0,0,8.72,0.94,0.83,0,0,3.85,0.53,0,2.79,3.33,16.17,0,0,9.05,0,0.16,0,0,0.29,0.19,0.48,0,0,7.55,0,21.71,12.63,24.66,0.19,0,3.33,36.85,0,0.53,1.35909090909091,0.0453717754172989,4.98298676748582,"Ecuador-Interandean"
