"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"344","JunnPln_HgpCv,in",-11.268183,-75.787169,13.1,7.29,687,NA,NA,NA,197.1,99.2,17.9,0.8,22,3.3,44.7,NA,0.8,104.6,NA,NA,NA,NA,3.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3559,203.9,1.176419973,76,64,727,728,0,0.047056838,"Peruvian Yungas",312,27.75,0.449079,3,2,"Semi Desert Shrubs",6.852497578,0,0,10.03,0,0,0,0.07,0,0,0,1.38,0,4.65,0,0,2.19,0.23,0,0.77,0,0,0,0,70.03,0,7.26,0,0,0,0,2,0,0,1.41,0,91.51,6.8,1.41,0,0,0,0.07,0,0.23,NA,NA,NA,"JuninPlain"
"345","JunnPln_HgpCv,ot",-11.268183,-75.787169,13.7,7.34,680,NA,NA,NA,211.4,NA,NA,NA,NA,NA,44.6,NA,0.5,104.6,NA,NA,NA,NA,3.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3559,203.9,1.176419973,76,64,727,728,0,0.047056838,"Peruvian Yungas",312,27.75,0.449079,2,4,"Semi Desert Shrubs",6.852497578,0,0,10.03,0,0,0,0.07,0,0,0,1.38,0,4.65,0,0,2.19,0.23,0,0.77,0,0,0,0,70.03,0,7.26,0,0,0,0,2,0,0,1.41,0,91.51,6.8,1.41,0,0,0,0.07,0,0.23,NA,NA,NA,"JuninPlain"
"346","JunnPln_J11,GK251",-10.943925,-76.04598333,10.7,8.04,354,NA,NA,NA,180,54.9,10.3,0.6,1.2,2.9,2.5,NA,2.6,12.5,NA,1774.53,60.67,NA,4.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099,68.7,68.7,60,58,1098,746,0.004,16.32198662,"Central Andean wet puna",312,7.875,0.376692,4,1,"Cold Grassland",20.43670082,0,0,33.31,0,0,0,0.93,0,0,0,28.38,0.5,1.37,0,0,2.29,14.76,0,0,1.2,0,0,0,2.93,0,11.32,0,0,0,1.93,0,0,0,0.82,0,49.85,29.75,1.32,1.93,0,1.2,0.93,0,14.76,NA,NA,NA,"JuninPlain"
"347","JunnPln_J11,GK252",-10.943925,-76.04598333,10.7,8.04,354,NA,NA,NA,180,54.9,10.3,0.6,1.2,2.9,2.5,NA,2.6,12.5,NA,1774.53,60.67,NA,4.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099,68.7,68.7,60,58,1098,746,0.004,16.32198662,"Central Andean wet puna",312,7.875,0.376692,2,4,"Cold Grassland",20.43670082,0,0,33.31,0,0,0,0.93,0,0,0,28.38,0.5,1.37,0,0,2.29,14.76,0,0,1.2,0,0,0,2.93,0,11.32,0,0,0,1.93,0,0,0,0.82,0,49.85,29.75,1.32,1.93,0,1.2,0.93,0,14.76,NA,NA,NA,"JuninPlain"
"348","JunnPln_J11,GK253",-10.943925,-76.04598333,10.7,8.04,354,NA,NA,NA,180,54.9,10.3,0.6,1.2,2.9,2.5,NA,2.6,12.5,NA,1774.53,60.67,NA,4.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099,68.7,68.7,60,58,1098,746,0.004,16.32198662,"Central Andean wet puna",312,7.875,0.376692,4,1,"Cold Grassland",20.43670082,0,0,33.31,0,0,0,0.93,0,0,0,28.38,0.5,1.37,0,0,2.29,14.76,0,0,1.2,0,0,0,2.93,0,11.32,0,0,0,1.93,0,0,0,0.82,0,49.85,29.75,1.32,1.93,0,1.2,0.93,0,14.76,NA,NA,NA,"JuninPlain"
"349","JunnPln_J11,GK254",-10.943925,-76.04598333,10.7,8.04,354,NA,NA,NA,180,54.9,10.3,0.6,1.2,2.9,2.5,NA,2.6,12.5,NA,1774.53,60.67,NA,4.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099,68.7,68.7,60,58,1098,746,0.004,16.32198662,"Central Andean wet puna",312,7.875,0.376692,4,1,"Cold Grassland",20.43670082,0,0,33.31,0,0,0,0.93,0,0,0,28.38,0.5,1.37,0,0,2.29,14.76,0,0,1.2,0,0,0,2.93,0,11.32,0,0,0,1.93,0,0,0,0.82,0,49.85,29.75,1.32,1.93,0,1.2,0.93,0,14.76,NA,NA,NA,"JuninPlain"
"350","JunnPln_J11,GK255",-10.943925,-76.04598333,10.7,8.04,354,NA,NA,NA,180,54.9,10.3,0.6,1.2,2.9,2.5,NA,2.6,12.5,NA,1774.53,60.67,NA,4.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099,68.7,68.7,60,58,1098,746,0.004,16.32198662,"Central Andean wet puna",312,7.875,0.376692,4,1,"Cold Grassland",20.43670082,0,0,33.31,0,0,0,0.93,0,0,0,28.38,0.5,1.37,0,0,2.29,14.76,0,0,1.2,0,0,0,2.93,0,11.32,0,0,0,1.93,0,0,0,0.82,0,49.85,29.75,1.32,1.93,0,1.2,0.93,0,14.76,NA,NA,NA,"JuninPlain"
"351","JunnPln_J13,Qd.A1",-10.97911667,-76.03618667,16.3,8.54,291,NA,NA,NA,88.6,47.1,3.3,0.6,1.5,2.3,0.5,NA,0,4.8,NA,486.28,34.6,NA,3.234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4112,50.9,50.9,60,58,1067,774,0.004,16.32198662,"Central Andean wet puna",312,5.875,0.462238,4,1,"Evergreen Forest and Fields",5.253419399,0,0,34.22,0,0,0,1.87,0,0,0,25.21,0.55,1.45,0,0,3.28,14.53,0,0,1.19,0,0,0,4.34,0,9.8,0,0,0,1.82,0,0,0,1.51,0,51.64,26.66,2.06,1.82,0,1.19,1.87,0,14.53,NA,NA,NA,"JuninPlain"
"352","JunnPln_J13,Qd.A2",-10.97911667,-76.03618667,16.3,8.54,291,NA,NA,NA,88.6,47.1,3.3,0.6,1.5,2.3,0.5,NA,0,4.8,NA,486.28,34.6,NA,3.234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4112,50.9,50.9,60,58,1067,774,0.004,16.32198662,"Central Andean wet puna",312,5.875,0.462238,4,1,"Evergreen Forest and Fields",5.253419399,0,0,34.22,0,0,0,1.87,0,0,0,25.21,0.55,1.45,0,0,3.28,14.53,0,0,1.19,0,0,0,4.34,0,9.8,0,0,0,1.82,0,0,0,1.51,0,51.64,26.66,2.06,1.82,0,1.19,1.87,0,14.53,NA,NA,NA,"JuninPlain"
"353","JunnPln_J13,Qd.A3",-10.97911667,-76.03618667,16.3,8.54,291,NA,NA,NA,88.6,47.1,3.3,0.6,1.5,2.3,0.5,NA,0,4.8,NA,486.28,34.6,NA,3.234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4112,50.9,50.9,60,58,1067,774,0.004,16.32198662,"Central Andean wet puna",312,5.875,0.462238,4,2,"Evergreen Forest and Fields",5.253419399,0,0,34.22,0,0,0,1.87,0,0,0,25.21,0.55,1.45,0,0,3.28,14.53,0,0,1.19,0,0,0,4.34,0,9.8,0,0,0,1.82,0,0,0,1.51,0,51.64,26.66,2.06,1.82,0,1.19,1.87,0,14.53,NA,NA,NA,"JuninPlain"
