"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"454","LaucBsn_Cotacotn1",-18.2052,-69.22213333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4540,88.7,0.0316936,20,140,311,2376,0.0012,1.142619803,"Central Andean dry puna",337,1.875,0.342231,3,2,"Inland Water",1.629547954,1.49,0,2.65,0,0,0,0.48,0,0,0,0,0.07,0.5,0,0,0.14,3.32,0,0.22,0,0,0,0,3.87,0,33.92,0,0,0,0,52.57,0,0.14,0.61,1.49,93.15,0.72,0.68,0,0.14,0,0.48,0,3.32,NA,NA,NA,"Lauca Basin"
"455","LaucBsn_Cotacotn2",-18.20148333,-69.21838333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4541,88.7,0.0316936,20,140,311,2376,0.0012,1.142619803,"Central Andean dry puna",337,2.25,0.342231,3,2,"Inland Water",0.757507324,1.49,0,2.97,0,0,0,0.48,0,0,0,0,0.07,0.5,0,0,0.16,3.32,0,0.22,0,0,0,0,3.87,0,33.29,0,0,0,0,52.85,0,0.14,0.62,1.49,93.14,0.72,0.69,0,0.14,0,0.48,0,3.32,NA,NA,NA,"Lauca Basin"
"456","LaucBsn_Cotacotn3",-18.19906667,-69.21465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4562,6.8,4.376029968,20,135,314,2376,0.0012,1.142619803,"Central Andean dry puna",337,10.625,0.172395,3,2,"Upland Tundra",0.757507324,1.49,0,3.59,0,0,0,0.48,0,0,0,0,0.07,0.5,0,0,0.18,3.32,0,0.22,0,0,0,0,3.87,0,32.4,0,0,0,0,53.06,0,0.14,0.63,1.49,93.1,0.72,0.7,0,0.14,0,0.48,0,3.32,NA,NA,NA,"Lauca Basin"
"457","LaucBsn_Cotacotn4",-18.19281667,-69.21053333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4539,6.8,4.376029968,20,135,314,2376,0.0012,1.142619803,"Central Andean dry puna",337,6.125,0.172395,3,2,"Upland Tundra",0.757507324,1.49,0,3.89,0,0,0,0.48,0,0,0,0,0.07,0.5,0,0,0.18,3.32,0,0.22,0,0,0,0,3.88,0,32.17,0,0,0,0,52.99,0,0.14,0.62,1.49,93.11,0.72,0.69,0,0.14,0,0.48,0,3.32,NA,NA,NA,"Lauca Basin"
"458","LaucBsn_Cotacotn5",-18.19281667,-69.21053333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4539,6.8,4.376029968,20,135,314,2376,0.0012,1.142619803,"Central Andean dry puna",337,6.125,0.172395,3,2,"Upland Tundra",0.757507324,1.49,0,3.89,0,0,0,0.48,0,0,0,0,0.07,0.5,0,0,0.18,3.32,0,0.22,0,0,0,0,3.88,0,32.17,0,0,0,0,52.99,0,0.14,0.62,1.49,93.11,0.72,0.69,0,0.14,0,0.48,0,3.32,NA,NA,NA,"Lauca Basin"
"459","LaucBsn_CotaVint1",-18.207,-69.26978333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4419,88.7,0.0166639,27,137,300,2370,0.0012,1.142619803,"Central Andean dry puna",337,2.625,0.291279,3,4,"Forest and Field",1.629547954,1.49,0,1.51,0,0,0,0.43,0,0,0,0,0.07,0.5,0,0,0.14,3.32,0,0.22,0,0,0,0,3.98,0,36.65,0,0,0,0,50.92,0,0.14,0.62,1.49,93.2,0.72,0.69,0,0.14,0,0.43,0,3.32,NA,NA,NA,"Lauca Basin"
"460","LaucBsn_CotaVint2",-18.207,-69.26978333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4419,88.7,0.0166639,27,137,300,2370,0.0012,1.142619803,"Central Andean dry puna",337,2.625,0.291279,4,2,"Forest and Field",1.629547954,1.49,0,1.51,0,0,0,0.43,0,0,0,0,0.07,0.5,0,0,0.14,3.32,0,0.22,0,0,0,0,3.98,0,36.65,0,0,0,0,50.92,0,0.14,0.62,1.49,93.2,0.72,0.69,0,0.14,0,0.43,0,3.32,NA,NA,NA,"Lauca Basin"
"461","LaucBsn_CotaVint3",-18.207,-69.26978333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4419,88.7,0.0166639,27,137,300,2370,0.0012,1.142619803,"Central Andean dry puna",337,2.625,0.291279,3,2,"Forest and Field",1.629547954,1.49,0,1.51,0,0,0,0.43,0,0,0,0,0.07,0.5,0,0,0.14,3.32,0,0.22,0,0,0,0,3.98,0,36.65,0,0,0,0,50.92,0,0.14,0.62,1.49,93.2,0.72,0.69,0,0.14,0,0.43,0,3.32,NA,NA,NA,"Lauca Basin"
"462","LB(Chn)_Chungara1",-18.25183333,-69.16306667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.27,32.99,2.02,327.69,NA,3,15.4,0.04,105352,4.44,264.6,4556,24.5,27.15979958,21,137,313,2384,0.0012,1.142619803,"Central Andean dry puna",337,0,-9999,3,2,"Inland Water",5,2.99,0,5.28,0,0,0,0.46,0,0,0,0,0.02,0.6,0,0,0.06,3.32,0,0.18,0,0,0,0,3.28,0,36.39,0,0,0,0,47.02,0,0,0.38,2.99,92.03,0.78,0.4,0,0,0,0.46,0,3.32,1.38116883116883,0.0803854875283447,0.807470475144191,"Lauca Basin"
"463","LB(Chn)_Chungara2",-18.25183333,-69.16306667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.27,32.99,2.02,327.69,NA,3,15.4,0.04,105352,4.44,264.6,4556,24.5,27.15979958,21,137,313,2384,0.0012,1.142619803,"Central Andean dry puna",337,0,-9999,3,4,"Inland Water",5,2.99,0,5.28,0,0,0,0.46,0,0,0,0,0.02,0.6,0,0,0.06,3.32,0,0.18,0,0,0,0,3.28,0,36.39,0,0,0,0,47.02,0,0,0.38,2.99,92.03,0.78,0.4,0,0,0,0.46,0,3.32,1.38116883116883,0.0803854875283447,0.807470475144191,"Lauca Basin"
