"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"439","LacCore_LagoGaiv1",-17.768611,-57.711667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8,141.19,4.03,680.71,NA,3,7,1166.14,6.8,1.61,124607.9,92,71.1,75.11139679,260,60,1202,2037,0.0084,52.19527497,"Chiquitano dry forests",343,0,-9999,3,4,"Inland Water",0.262444854,0,0,0,0,0,2.33,0,0,0,10.13,1.28,8.33,0,0,0,1.47,7.47,0,0,0,6.95,5.09,0,0.13,0,0,0,0.2,0.36,2.11,0,0,0.87,53.32,0,1.8,11.77,68.6,2.11,0.87,2.33,0,0,12.56,13.9714285714286,0.000784861954980383,183.055779994418,"Pantanal"
"440","LacCore_LagoGaiv2",-17.768889,-57.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8,141.19,4.03,680.71,NA,3,7,1166.14,6.8,1.61,124607.9,92,71.1,75.11139679,260,60,1201,2048,0.0084,52.19527497,"Chiquitano dry forests",343,0,-9999,3,4,"Inland Water",0.318683654,0,0,0,0,0,1.86,0,0,0,11.98,0.78,8.04,0,0,0,1.41,7.35,0,0,0,5.97,5.17,0,0.1,0,0,0,0.17,0.36,2.09,0,0,0.65,54.13,0,1.68,13.12,68.14,2.09,0.65,1.86,0,0,12.52,13.9714285714286,0.000784861954980383,183.055779994418,"Pantanal"
"465","McGl-lw_BVrmlh-1",-18.392,-57.508,NA,7.9,0.04,NA,NA,NA,NA,4.6,2.2,2.5,3.9,23.9,0.6,NA,6.8,1,0.2,NA,NA,NA,9.5,NA,NA,NA,NA,3.5,72.64,73.75,2.44,894.87,NA,3,12.3,0.83,12508.8,2.82,304.2,86,72,208187,259,59,1142,2140,0.0036,33.2916293,"Chiquitano dry forests",343,0,-9999,1,7,"Woody Savanna",4.000151634,0,0,0.14,0.28,0.28,0.82,0.05,0.07,0,4.17,0.87,7.63,0,0,0,0.83,5.79,0,0,0,12.55,7.02,0,0.57,0.02,0.21,0,1.36,0.22,5.32,0.29,0,0.14,51.46,0,3.77,5.54,71.64,5.32,0.14,0.82,0.05,0,12.81,5.90569105691057,0.2387902695595,0.339937644574072,"Pantanal"
"466","McGl-lw_BVrmlh-2",-18.392,-57.508,NA,7.9,0.04,NA,NA,NA,NA,4.6,2.2,2.5,3.9,23.9,0.6,NA,6.8,1,0.2,NA,NA,NA,9.5,NA,NA,NA,NA,3.5,72.64,73.75,2.44,894.87,NA,3,12.3,0.83,12508.8,2.82,304.2,86,72,208187,259,59,1142,2140,0.0036,33.2916293,"Chiquitano dry forests",343,0,-9999,1,7,"Woody Savanna",4.000151634,0,0,0.14,0.28,0.28,0.82,0.05,0.07,0,4.17,0.87,7.63,0,0,0,0.83,5.79,0,0,0,12.55,7.02,0,0.57,0.02,0.21,0,1.36,0.22,5.32,0.29,0,0.14,51.46,0,3.77,5.54,71.64,5.32,0.14,0.82,0.05,0,12.81,5.90569105691057,0.2387902695595,0.339937644574072,"Pantanal"
"467","McGl-lw_BVrmlh-3",-18.392,-57.508,NA,7.9,0.04,NA,NA,NA,NA,4.6,2.2,2.5,3.9,23.9,0.6,NA,6.8,1,0.2,NA,NA,NA,9.5,NA,NA,NA,NA,3.5,72.64,73.75,2.44,894.87,NA,3,12.3,0.83,12508.8,2.82,304.2,86,72,208187,259,59,1142,2140,0.0036,33.2916293,"Chiquitano dry forests",343,0,-9999,1,7,"Woody Savanna",4.000151634,0,0,0.14,0.28,0.28,0.82,0.05,0.07,0,4.17,0.87,7.63,0,0,0,0.83,5.79,0,0,0,12.55,7.02,0,0.57,0.02,0.21,0,1.36,0.22,5.32,0.29,0,0.14,51.46,0,3.77,5.54,71.64,5.32,0.14,0.82,0.05,0,12.81,5.90569105691057,0.2387902695595,0.339937644574072,"Pantanal"
"468","McGl-lw_Mandiore",-18.138,-57.55,NA,8.3,0.04,NA,NA,NA,NA,4.5,2.2,2.9,3.3,23.7,0.7,NA,4.4,4.3,25.5,NA,NA,NA,9.3,NA,NA,NA,NA,4,144.53,80.29,1.88,3282.68,NA,3,22.7,1.26,30201.9,3.63,767.3,90,98.9,103.7659988,260,59,1165,2109,0.0084,52.19527497,"Chiquitano dry forests",343,0,-9999,1,7,"Inland Water",4,0,0,0,0,0,0.5,0,0,0,9.95,0.5,5.2,0,0,0,1.99,10.85,0,0,0,4.8,5.41,0,0.14,0.07,0,0,0.05,0,2.93,0,0,0.21,57.32,0,2.25,10.45,67.32,2.93,0.21,0.5,0,0,16.26,6.36696035242291,0.188361788088101,0.233741942559129,"Pantanal"
"472","McGl-lw_Nhclnd-1",-18.9,-56.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,3.94,1.8,0.92,NA,3,2.4,26.47,0.4,0.94,1777.5,105,74.3,208187,258,60,1261,2021,0,100,"Pantanal",343,0,0.647083,1,7,"Fields and Woody Savanna",2.250012636,0,0,0,0,0,6.09,0,0,0,0,0.24,53.39,0,0,0,7.04,0,0,0,0,31.17,0,0,0,0,0,0,0,0,0,0,0,0,2.09,0,7.04,0.24,86.65,0,0,6.09,0,0,0,0.158333333333333,0.000213783403656821,1932.0652173913,"Pantanal"
"473","McGl-lw_Nhclnd-2",-18.92845,-56.55154,28.7,9.7,3173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0.17,1.58,1.07,0.28,NA,3,1.6,0,1594.5,0.51,0.6,106,172.6,208187,258,60,1253,2062,0,100,"Pantanal",343,0,0.391818,3,1,"Hot and Mild Grasses and Shrubs",2.250003576,0,0,0,0,0,3.25,0,0,0,0,0.24,56.85,0,0,0,7.84,0,0,0,0,29.79,0,0,0,0,0,0,0,0,0,0,0,0,2.09,0,7.84,0.24,88.73,0,0,3.25,0,0,0,0.10625,0.283333333333333,2.14285714285714,"Pantanal"
"474","McGl-lw_Nhclnd-3",-18.98289,-56.66212,28.7,9.7,3173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0.18,1.73,1.15,0.42,NA,3,2.3,0,2410.8,1.08,1.4,98,172.6,208187,258,60,1238,2035,0,100,"Pantanal",343,1.25,0.418125,3,7,"Fields and Woody Savanna",7.318683624,0,0,0,0,0,2.8,0.09,0,0,0,0.1,54.81,0,0,0,12.77,0,0,0,0,26.48,0,0,0,0,0,0,0,0,0.1,0,0,0,2.91,0,12.77,0.1,84.2,0.1,0,2.8,0.09,0,0,0.0782608695652174,0.128571428571429,3.33333333333333,"Pantanal"
"485","Myl-P-LagnMndr",-18.1,-57.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.53,80.29,1.88,3282.68,NA,3,22.7,1.26,30201.9,3.63,767.3,90,98.9,103.7659988,260,60,1169,2078,0.0084,52.19527497,"Chiquitano dry forests",343,0,-9999,1,7,"Inland Water",3,0,0,0,0,0,0.5,0,0,0,10.35,0.51,5.37,0,0,0,2.65,10.55,0,0,0,5.36,5.28,0,0.14,0.07,0,0,0.05,0,3.15,0,0,0.21,55.74,0,2.91,10.86,66.47,3.15,0.21,0.5,0,0,15.83,6.36696035242291,0.188361788088101,0.233741942559129,"Pantanal"
