"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"309","GslngBA_Aquihui",-16.08938333,-68.885,10.4,8.22,310.3,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,2.5,NA,NA,34.33,NA,3.0332,73.2688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3841,10.2,0.403663993,88,75,684,1725,8e-04,59.91309522,"Central Andean wet puna",337,6.125,0.400099,2,4,"Semi Desert Shrubs",0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0.55,60.26,0,0,0,0,0,0,34.84,0,0.35,0,0,0,0,0,0,0,0,0,39.55,0,0,0,0,0,0,0,60.26,NA,NA,NA,"Peru-Andean Puna"
"310","GslngBA_Arapa",-15.12441667,-70.07238333,15.7,8.64,695,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,0.06,NA,NA,44.5,NA,1.0896,97.2839,NA,NA,NA,101.9,85.71,2.4,2142.82,NA,3,21,4.08,6083.2,3.68,478.9,3812,148.2,156.0670013,88,80,679,1649,0.0028,2.771012795,"Central Andean wet puna",337,0,0.135385,6,2,"Cold Grassland",9.000101089,0,0,61.61,0,0,0,0,0,0,0,0.18,0.66,0,0,0,0.93,12.92,0,0,0,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0.15,0,86.09,0.18,0.81,0,0,0,0,0,12.92,4.85238095238095,0.212779285863437,0.223490540502702,"Peru-Andean Puna"
"311","GslngBA_Asiruni",-16.38546667,-70.37051667,9,9.62,189.47,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,2.5,NA,NA,65.6,NA,1.6549,91.1484,NA,NA,NA,1.47,7.77,1.81,14.09,NA,3,9.6,0.07,2470.6,6.22,16.3,4504,2.3,3.399859905,31,104,604,1702,0.002,0.360413821,"Central Andean puna",337,0,0.178717,2,4,"Inland Water",4.312208653,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0.3,0,7.7,0,0,0,0,88.09,0,0,0.15,0,99,0,0.15,0,0,0,0,0,0.84,0.153125,0.0901840490797546,1.15684882895671,"Peru-Andean Puna"
"312","GslngBA_Calzada",-15.90268333,-70.51196667,11.43,8.74,340.4,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,2.5,NA,NA,30.1,NA,27.152,60.3123,NA,NA,NA,0.92,4.12,1.21,6.05,NA,3,6.6,0.06,1111.9,5.71,8.7,4398,49.8,0.844605982,38,98,714,1734,0.0036,2.798127886,"Central Andean puna",337,0,0.455566,4,1,"Cold Grassland",17,0,0,12.28,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.96,0,0,0,0,0,0,66.32,0,3.46,0,0,0,0,16.24,0,0,0.67,0,98.3,0.05,0.67,0,0,0,0,0,0.96,0.139393939393939,0.105747126436782,1.43801652892562,"Peru-Andean Puna"
"313","GslngBA_Chacas",-15.40938333,-70.20376667,14.27,9.24,218.67,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,2.5,NA,NA,30.07,NA,3.3155,76.8715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3833,134.8,6.541230202,95,85,635,1594,0.0028,2.771012795,"Central Andean wet puna",337,2,0.312715,4,1,"Cold Grassland",9.415314674,0,0,22.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.18,0,0,0,0,76.02,0,0,0,0,0,0,0,0,0,0.22,0,98.77,0.18,0.22,0,0,0,0,0,0.8,NA,NA,NA,"Peru-Andean Puna"
"314","GslngBA_CharNkkt",-16.57995,-68.15618333,11.57,7.36,329.27,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1.68,NA,NA,31.67,NA,3.5197,75.2446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3740,136.8,0.00128284,92,80,544,1859,0,0.006696284,"Central Andean wet puna",312,3.25,0.630624,7,4,"Shrub Deciduous",28.62954712,0,0,20.96,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,60.54,0,16.57,0,0,0,0,0.21,1.52,0,0,0,98.38,0,0.1,0,0,0,0,1.52,0,NA,NA,NA,"Peru-Andean Puna"
"315","GslngBA_Chijtcll",-16.7818,-68.29668333,10.1,10.61,1240.33,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,2.5,NA,NA,73.8,NA,2.4447,93.1521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3872,133.5,0.070610203,80,82,503,2367,0.0024,0.166723561,"Central Andean wet puna",337,1,0.233849,3,2,"Cold Grassland",12.62954807,0,0,41.98,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,52.18,0,5.59,0,0,0,0,0,0.05,0,0,0,99.85,0,0.1,0,0,0,0,0.05,0,NA,NA,NA,"Peru-Andean Puna"
"316","GslngBA_Estrelln",-16.33795,-68.0426,6.77,7.29,41.83,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,0.4,NA,NA,46.03,NA,1.3467,93.3053,NA,NA,NA,0.12,1.56,1.26,0.5,NA,3,4.1,0,1445.7,3.99,1,4642,177.4,0.221649006,35,76,625,1540,0.002,1.117526741,"Central Andean wet puna",312,1.875,0.29939,1,2,"Shrub Deciduous",18.7282238,1.59,0,17.5,0,0,0,2.35,0,0,0,0.07,0,0.07,0,0,0.79,0,0,0,0,2.64,0,0,34.2,0,32.96,0,0,0,0.01,7.5,0.19,0,0.07,1.59,92.95,0.14,2.71,0.01,0,0,2.35,0.19,0,0.0292682926829268,0.12,2,"Peru-Andean Puna"
"317","GslngBA_Jacumarn",-16.36296667,-70.39303333,7.43,10.28,437.37,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,1.11,NA,NA,49.17,NA,4.6452,50.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4419,4.3,3.335930109,38,105,594,1638,0.002,0.360413821,"Central Andean puna",336,7.75,0.466374,1,4,"Upland Tundra",4.250772953,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0.56,0,8.72,0,0,0,0,87.4,0,0,0.15,0,99.01,0,0.15,0,0,0,0,0,0.84,NA,NA,NA,"Peru-Andean Puna"
"318","GslngBA_Jaluncch",-15.6623,-70.19553333,10.67,7.71,881,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,0.32,NA,NA,37.67,NA,5.3443,80.7781,NA,NA,NA,9.36,32.95,3.04,71.74,NA,3,7.7,7.78,106.8,2.49,1121.9,3833,2.5,2.682709932,90,91,612,1525,8e-04,1.370503411,"Central Andean wet puna",337,0,0.0657087,4,1,"Semi Desert Shrubs",7.296728134,0,0,8.11,0,0,0,0,0,0,0,0.1,0,0,0,0,0.05,3.16,0,0,0,0.05,0,0,88.46,0,0,0,0,0,0,0,0,0,0.02,0,96.62,0.1,0.07,0,0,0,0,0,3.16,1.21558441558442,0.00834298957126304,15.6384165040424,"Peru-Andean Puna"
