"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"22","Brdb-SA_LagunHednd",-21.5697,-68.03448333,NA,NA,14400,NA,NA,NA,NA,169.8,116.98,1960,171,36.23,2629.514,NA,0.638,1540.07,NA,NA,0.7656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4120,34,88.7,53,172,54,3251,0.0032,1.824303552,"Central Andean dry puna",337,2.375,0.414508,6,4,"Bare Desert",8,22.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,53.23,0,0,0,0,23.98,0,0,0,22.55,77.21,0,0,0,0,0,0,0,0.16,NA,NA,NA,"Sud Lipez"
"290","Frt-SAA_LagnClrd1",-22.2,-67.765717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4295,50.1,199.4,49,147,48,3365,4e-04,1.511803643,"Central Andean dry puna",337,2.875,0.526245,4,1,"Inland Water",0.436701506,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,34.14,0,0,0,0,48.34,0,0,0,12.11,82.48,0,0,0,0,0,0,0,5.4,NA,NA,NA,"Sud Lipez"
"291","Frt-SAA_LagnClrd2",-22.2,-67.765717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4295,50.1,123,49,147,48,3365,4e-04,1.511803643,"Central Andean dry puna",337,2.875,0.526245,4,2,"Inland Water",0.436701506,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,34.14,0,0,0,0,48.34,0,0,0,12.11,82.48,0,0,0,0,0,0,0,5.4,NA,NA,NA,"Sud Lipez"
"292","Frt-SAA_LagnClrd3",-22.2,-67.765717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4295,50.1,221.2,49,147,48,3365,4e-04,1.511803643,"Central Andean dry puna",337,2.875,0.526245,4,1,"Inland Water",0.436701506,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,34.14,0,0,0,0,48.34,0,0,0,12.11,82.48,0,0,0,0,0,0,0,5.4,NA,NA,NA,"Sud Lipez"
"293","Frt-SAA_LagnClrd4",-22.2,-67.765717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4295,50.1,135.8,49,147,48,3365,4e-04,1.511803643,"Central Andean dry puna",337,2.875,0.526245,6,1,"Inland Water",0.436701506,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,34.14,0,0,0,0,48.34,0,0,0,12.11,82.48,0,0,0,0,0,0,0,5.4,NA,NA,NA,"Sud Lipez"
"294","Frt-SAA_LagnClrd5",-22.2,-67.765717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4295,50.1,140.9,49,147,48,3365,4e-04,1.511803643,"Central Andean dry puna",337,2.875,0.526245,4,1,"Inland Water",0.436701506,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,34.14,0,0,0,0,48.34,0,0,0,12.11,82.48,0,0,0,0,0,0,0,5.4,NA,NA,NA,"Sud Lipez"
"295","Frt-SAA_LagnClrd6",-22.2,-67.765717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4295,50.1,140.9,49,147,48,3365,4e-04,1.511803643,"Central Andean dry puna",337,2.875,0.526245,7,4,"Inland Water",0.436701506,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,34.14,0,0,0,0,48.34,0,0,0,12.11,82.48,0,0,0,0,0,0,0,5.4,NA,NA,NA,"Sud Lipez"
"296","Frt-SAA_LagnClrd7",-22.2,-67.765717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4295,50.1,140.9,49,147,48,3365,4e-04,1.511803643,"Central Andean dry puna",337,2.875,0.526245,7,4,"Inland Water",0.436701506,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,34.14,0,0,0,0,48.34,0,0,0,12.11,82.48,0,0,0,0,0,0,0,5.4,NA,NA,NA,"Sud Lipez"
"297","Frt-SAA_LagnClrd8",-22.2,-67.765717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4295,50.1,140.9,49,147,48,3365,4e-04,1.511803643,"Central Andean dry puna",337,2.875,0.526245,1,4,"Inland Water",0.436701506,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,34.14,0,0,0,0,48.34,0,0,0,12.11,82.48,0,0,0,0,0,0,0,5.4,NA,NA,NA,"Sud Lipez"
"298","Frt-SAA_LagnClrd9",-22.2,-67.765717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4295,50.1,201.3,49,147,48,3365,4e-04,1.511803643,"Central Andean dry puna",337,2.875,0.526245,7,4,"Inland Water",0.436701506,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,34.14,0,0,0,0,48.34,0,0,0,12.11,82.48,0,0,0,0,0,0,0,5.4,NA,NA,NA,"Sud Lipez"
