"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"534","Titicac_Ttcc-l-10a",-15.91583333,-69.65593333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,8002.51,1456.08,4.59,893000,NA,1,111.6,541.15,19099.3,-1,56588.1,3815,8363.6,7489.27002,87,83,985,1225,0.0012,66.46825598,"Lake",337,0,-9999,4,2,"Inland Water",0,0,0,14.31,0,0,0,0.05,0,0,0,0,0,0,0,0,0.28,63.48,0,0,0,0,0,0,21.48,0,0.34,0,0,0,0,0,0,0,0,0,36.41,0,0,0,0,0,0.05,0,63.48,71.7070788530466,0.141416834988275,0.0633685330347144,"Titicaca-lake"
"535","Titicac_Ttcc-l-10b",-15.91583333,-69.65593333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,8002.51,1456.08,4.59,893000,NA,1,111.6,541.15,19099.3,-1,56588.1,3815,8363.6,7489.27002,87,83,985,1225,0.0012,66.46825598,"Lake",337,0,-9999,4,2,"Inland Water",0,0,0,14.31,0,0,0,0.05,0,0,0,0,0,0,0,0,0.28,63.48,0,0,0,0,0,0,21.48,0,0.34,0,0,0,0,0,0,0,0,0,36.41,0,0,0,0,0,0.05,0,63.48,71.7070788530466,0.141416834988275,0.0633685330347144,"Titicaca-lake"
"536","Titicac_Ttcc-l-10c",-15.91583333,-69.65593333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,8002.51,1456.08,4.59,893000,NA,1,111.6,541.15,19099.3,-1,56588.1,3815,8363.6,7489.27002,87,83,985,1225,0.0012,66.46825598,"Lake",337,0,-9999,4,2,"Inland Water",0,0,0,14.31,0,0,0,0.05,0,0,0,0,0,0,0,0,0.28,63.48,0,0,0,0,0,0,21.48,0,0.34,0,0,0,0,0,0,0,0,0,36.41,0,0,0,0,0,0.05,0,63.48,71.7070788530466,0.141416834988275,0.0633685330347144,"Titicaca-lake"
"537","Titicac_Ttcc-l-11",-15.84221667,-69.60548333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,8002.51,1456.08,4.59,893000,NA,1,111.6,541.15,19099.3,-1,56588.1,3815,8363.6,7489.27002,87,82,1060,1196,0.0012,66.46825598,"Lake",337,0,-9999,7,4,"Inland Water",0,0,0,1.44,0,0,0,0.05,0,0,0,0,0,0,0,0,0.1,91.64,0,0,0,0,0,0,6.45,0,0.34,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0.05,0,91.64,71.7070788530466,0.141416834988275,0.0633685330347144,"Titicaca-lake"
"538","Titicac_Ttcc-l-12a",-15.84306667,-69.60466667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,8002.51,1456.08,4.59,893000,NA,1,111.6,541.15,19099.3,-1,56588.1,3815,8363.6,7489.27002,87,82,1060,1196,0.0012,66.46825598,"Lake",337,0,-9999,7,4,"Inland Water",0,0,0,1.51,0,0,0,0.05,0,0,0,0,0,0,0,0,0.1,91.42,0,0,0,0,0,0,6.62,0,0.34,0,0,0,0,0,0,0,0,0,8.57,0,0,0,0,0,0.05,0,91.42,71.7070788530466,0.141416834988275,0.0633685330347144,"Titicaca-lake"
"539","Titicac_Ttcc-l-12b",-15.84306667,-69.60466667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,8002.51,1456.08,4.59,893000,NA,1,111.6,541.15,19099.3,-1,56588.1,3815,8363.6,7489.27002,87,82,1060,1196,0.0012,66.46825598,"Lake",337,0,-9999,3,1,"Inland Water",0,0,0,1.51,0,0,0,0.05,0,0,0,0,0,0,0,0,0.1,91.42,0,0,0,0,0,0,6.62,0,0.34,0,0,0,0,0,0,0,0,0,8.57,0,0,0,0,0,0.05,0,91.42,71.7070788530466,0.141416834988275,0.0633685330347144,"Titicaca-lake"
"540","Titicac_Ttcc-l-13a",-15.65536667,-69.52065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,8002.51,1456.08,4.59,893000,NA,1,111.6,541.15,19099.3,-1,56588.1,3815,8363.6,7489.27002,88,82,993,1219,4e-04,88.17363891,"Lake",337,0,-9999,3,1,"Inland Water",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.95,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,99.95,71.7070788530466,0.141416834988275,0.0633685330347144,"Titicaca-lake"
"541","Titicac_Ttcc-l-13b",-15.65536667,-69.52065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,8002.51,1456.08,4.59,893000,NA,1,111.6,541.15,19099.3,-1,56588.1,3815,8363.6,7489.27002,88,82,993,1219,4e-04,88.17363891,"Lake",337,0,-9999,4,7,"Inland Water",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.95,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,99.95,71.7070788530466,0.141416834988275,0.0633685330347144,"Titicaca-lake"
"542","Titicac_Ttcc-l-13c",-15.65536667,-69.52065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,8002.51,1456.08,4.59,893000,NA,1,111.6,541.15,19099.3,-1,56588.1,3815,8363.6,7489.27002,88,82,993,1219,4e-04,88.17363891,"Lake",337,0,-9999,4,2,"Inland Water",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.95,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,99.95,71.7070788530466,0.141416834988275,0.0633685330347144,"Titicaca-lake"
"543","Titicac_Ttcc-l-14",-15.51975,-69.50735,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,NA,8002.51,1456.08,4.59,893000,NA,1,111.6,541.15,19099.3,-1,56588.1,3815,8363.6,7489.27002,89,82,930,1230,0.002,12.3451672,"Lake",337,0,-9999,4,1,"Inland Water",0,0,0,14.31,0,0,0,0,0,0,0,0,0.59,0,0,0,0.45,80.13,0,0,0,0,0,0,4.32,0,0.1,0,0,0,0,0,0,0,0.07,0,19.18,0,0.66,0,0,0,0,0,80.13,71.7070788530466,0.141416834988275,0.0633685330347144,"Titicaca-lake"
