"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"621","Ttcc-wt_Huatajat1",-16.214067,-68.688235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3818,8363.6,1442.22998,80,76,691,1939,8e-04,59.91309522,"Lake",337,5.625,0.233276,3,4,"Semi Desert Shrubs",0,0,0,10.22,0,0,0,0.58,0,0,0,0.07,2.77,0,0,0,7.15,37.49,0,0,0,0,0,0,40.46,0,0.54,0,0,0,0.1,0,0,0,0.58,0,58.37,0.07,3.35,0.1,0,0,0.58,0,37.49,NA,NA,NA,"Titicaca-watershed"
"622","Ttcc-wt_Huatajat2",-16.214067,-68.688235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3818,8363.6,1442.22998,80,76,691,1939,8e-04,59.91309522,"Lake",337,5.625,0.233276,4,4,"Semi Desert Shrubs",0,0,0,10.22,0,0,0,0.58,0,0,0,0.07,2.77,0,0,0,7.15,37.49,0,0,0,0,0,0,40.46,0,0.54,0,0,0,0.1,0,0,0,0.58,0,58.37,0.07,3.35,0.1,0,0,0.58,0,37.49,NA,NA,NA,"Titicaca-watershed"
"623","Ttcc-wt_Huatajat3",-16.214067,-68.688235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3818,8363.6,1442.22998,80,76,691,1939,8e-04,59.91309522,"Lake",337,5.625,0.233276,4,4,"Semi Desert Shrubs",0,0,0,10.22,0,0,0,0.58,0,0,0,0.07,2.77,0,0,0,7.15,37.49,0,0,0,0,0,0,40.46,0,0.54,0,0,0,0.1,0,0,0,0.58,0,58.37,0.07,3.35,0.1,0,0,0.58,0,37.49,NA,NA,NA,"Titicaca-watershed"
"624","Ttcc-wt_IlavRivr1",-16.093894,-69.634637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3832,52.4,52.4,86,86,784,1235,4e-04,0.449606018,"Central Andean wet puna",337,1.875,0.35658,3,1,"Cold Grassland",32.00054932,0,0,26.39,0,0,0,0.05,0,0,0,0,0,0,0,0,1.76,19.06,0,0,0,0,0,0,52.4,0,0.03,0,0,0,0,0,0,0.2,0.07,0,80.58,0,0.07,0,0.2,0,0.05,0,19.06,NA,NA,NA,"Titicaca-watershed"
"625","Ttcc-wt_IlavRivr2",-16.093894,-69.634637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3832,52.4,52.4,86,86,784,1235,4e-04,0.449606018,"Central Andean wet puna",337,1.875,0.35658,1,7,"Cold Grassland",32.00054932,0,0,26.39,0,0,0,0.05,0,0,0,0,0,0,0,0,1.76,19.06,0,0,0,0,0,0,52.4,0,0.03,0,0,0,0,0,0,0.2,0.07,0,80.58,0,0.07,0,0.2,0,0.05,0,19.06,NA,NA,NA,"Titicaca-watershed"
"626","Ttcc-wt_IlavRivr3",-16.093894,-69.634637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3832,52.4,52.4,86,86,784,1235,4e-04,0.449606018,"Central Andean wet puna",337,1.875,0.35658,4,2,"Cold Grassland",32.00054932,0,0,26.39,0,0,0,0.05,0,0,0,0,0,0,0,0,1.76,19.06,0,0,0,0,0,0,52.4,0,0.03,0,0,0,0,0,0,0.2,0.07,0,80.58,0,0.07,0,0.2,0,0.05,0,19.06,NA,NA,NA,"Titicaca-watershed"
"627","Ttcc-wt_IsldelSl",-16.002834,-69.178748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8002.51,1456.08,4.59,893000,NA,1,111.6,541.15,19099.3,-1,56588.1,3815,8363.6,7489.27002,97,81,791,1430,8e-04,45.89731476,"Lake",337,0,0.0455308,1,7,"Inland Water",10,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.46,0,0,0,0,0,0,4.29,0,0.08,0,0,0,0,0,0,0,0,0.05,4.37,0,0,0,0,0,0,0,95.46,71.7070788530466,0.141416834988275,0.0633685330347144,"Titicaca-watershed"
"628","Ttcc-wt_SuchsRvr1",-15.655767,-69.129633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3823,91.1,91.1,91,75,659,1305,4e-04,88.17363891,"Central Andean wet puna",337,1.125,0.12095,2,4,"Semi Desert Shrubs",15.13151836,0,0,22.58,0,0,0,0,0,0,0,0.1,0,0.13,0,0,1.22,27.57,0,0,0,0,0,0,47.67,0,0.56,0,0,0,0,0,0,0,0.15,0,72.03,0.23,0.15,0,0,0,0,0,27.57,NA,NA,NA,"Titicaca-watershed"
"629","Ttcc-wt_SuchsRvr2",-15.655767,-69.129633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3823,91.1,91.1,91,75,659,1305,4e-04,88.17363891,"Central Andean wet puna",337,1.125,0.12095,4,4,"Semi Desert Shrubs",15.13151836,0,0,22.58,0,0,0,0,0,0,0,0.1,0,0.13,0,0,1.22,27.57,0,0,0,0,0,0,47.67,0,0.56,0,0,0,0,0,0,0,0.15,0,72.03,0.23,0.15,0,0,0,0,0,27.57,NA,NA,NA,"Titicaca-watershed"
"630","Ttcc-wt_SuchsRvr3",-15.655767,-69.129633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3823,91.1,91.1,91,75,659,1305,4e-04,88.17363891,"Central Andean wet puna",337,1.125,0.12095,1,7,"Semi Desert Shrubs",15.13151836,0,0,22.58,0,0,0,0,0,0,0,0.1,0,0.13,0,0,1.22,27.57,0,0,0,0,0,0,47.67,0,0.56,0,0,0,0,0,0,0,0.15,0,72.03,0.23,0.15,0,0,0,0,0,27.57,NA,NA,NA,"Titicaca-watershed"
"631","Ttcc-wt_SuchsRvr4",-15.655767,-69.129633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3823,91.1,91.1,91,75,659,1305,4e-04,88.17363891,"Central Andean wet puna",337,1.125,0.12095,1,7,"Semi Desert Shrubs",15.13151836,0,0,22.58,0,0,0,0,0,0,0,0.1,0,0.13,0,0,1.22,27.57,0,0,0,0,0,0,47.67,0,0.56,0,0,0,0,0,0,0,0.15,0,72.03,0.23,0.15,0,0,0,0,0,27.57,NA,NA,NA,"Titicaca-watershed"
"632","Ttcc-wt_SuchsRvr5",-15.65576667,-69.12963333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3823,91.1,91.1,91,75,659,1305,4e-04,88.17363891,"Central Andean wet puna",337,1.125,0.12095,4,2,"Semi Desert Shrubs",15.13151836,0,0,22.58,0,0,0,0,0,0,0,0.1,0,0.13,0,0,1.22,27.57,0,0,0,0,0,0,47.67,0,0.56,0,0,0,0,0,0,0,0.15,0,72.03,0.23,0.15,0,0,0,0,0,27.57,NA,NA,NA,"Titicaca-watershed"
