code;region;
AL(MNP)_CochMazl;Peru-Amazon Lowlands;
AL(MNP)_CochNuev;Peru-Amazon Lowlands;
AmznLwl_CochTotr;Peru-Amazon Lowlands;
AL(MNP)_CochCash;Peru-Amazon Lowlands;
AL(MNP)_CchGllrt;Peru-Amazon Lowlands;
AL(MNP)_CchSlvdr;Peru-Amazon Lowlands;
AmznLwl_CchOtrng;Peru-Amazon Lowlands;
AmznLwl_CchIsdlV;Peru-Amazon Lowlands;
AmznLwl_LagnClrd;Bolivia-Amazon Lowlands;
AmznLwl_LagunBrv;Bolivia-Amazon Lowlands;
AL(Mdd)_LgnChlln;Bolivia-Amazon Lowlands;
AL(Mdd)_LgnSntRs;Bolivia-Amazon Lowlands;
AmznLwl_LagnOpbs;Bolivia-Amazon Lowlands;
Brdb-SA_RDsg:P();Desaguadero-SAltiplano;
Brdb-SA_RDesagdr1;Desaguadero-SAltiplano;
Brdb-SA_RDesagdr2;Desaguadero-SAltiplano;
Brdb-SA_RPopdrng;Desaguadero-SAltiplano;
Brdb-SA_Rdt&NLPp;Desaguadero-SAltiplano;
Brdb-SA_NLgPppln1;Desaguadero-SAltiplano;
Brdb-SA_NLgPppln2;Desaguadero-SAltiplano;
Brdb-SA_RDsgdrBC1;Desaguadero-SAltiplano;
Brdb-SA_RDsgdrBC2;Desaguadero-SAltiplano;
Brdb-SA_RDsgdrBC3;Desaguadero-SAltiplano;
Brdb-SA_LgS(UUr)1;Desaguadero-SAltiplano;
Brdb-SA_LgS(UUr)2;Desaguadero-SAltiplano;
Brdb-SA_LgS(UUr)3;Desaguadero-SAltiplano;
Brdb-SA_RDsgdrEB1;Desaguadero-SAltiplano;
Brdb-SA_RDsgdrEB2;Desaguadero-SAltiplano;
Brdb-SA_EclptsLg;Desaguadero-SAltiplano;
Brdb-SA_HncrmDry1;Desaguadero-SAltiplano;
Brdb-SA_HncrmDry2;Desaguadero-SAltiplano;
Brdb-SA_RQbrdHjU;Desaguadero-SAltiplano;
Brdb-SA_LgBS.RJU1;Desaguadero-SAltiplano;
Brdb-SA_LgBS.RJU2;Desaguadero-SAltiplano;
Brdb-SA_SlcrTrqm;Desaguadero-SAltiplano;
Brdb-SA_FldPlPnP;Desaguadero-SAltiplano;
Brdb-SA_RDB(ppl);Desaguadero-SAltiplano;
Brdb-SA_RioMauri;Desaguadero-SAltiplano;
Brdb-SA_RMauralg;Desaguadero-SAltiplano;
Brdb-SA_RDsgdaPK;Desaguadero-SAltiplano;
Brdb-SA_LagunHednd;Sud Lipez;
Brdb-SA_LagnClrd1;Desaguadero-SAltiplano;
Brdb-SA_LagnClrd2;Desaguadero-SAltiplano;
Brdb-SA_LagnChrr;Desaguadero-SAltiplano;
Brdb-SA_Lagunvrd;Desaguadero-SAltiplano;
Brdb-SA_LgnDsgdr;Desaguadero-SAltiplano;
Brdb-SA_RDsg:NN.;Desaguadero-SAltiplano;
Brdb-SA_RDsg:dfD;Desaguadero-SAltiplano;
Brdb-SA_LagHñmrc;Desaguadero-SAltiplano;
Bush-Gd_Pacucha;Peru-Andean eastern;
Bush-Gd_Uspacoch;Peru-Andean eastern;
Bush-Gd_Huamnmrc;Peru-Andean eastern;
Bush-Gd_Miski;Peru-Andean eastern;
Bush-Gd_Huaypo;Peru-Andean eastern;
Bush-Gd_Acopia;Peru-Andean eastern;
Frt-SAA_SalrdUyn1;Sud Lipez;
Frt-SAA_SalrdUyn2;Sud Lipez;
Frt-SAA_SalrdUyn3;Sud Lipez;
Frt-SAA_LagunaHdnd;Sud Lipez;
Frt-SAA_LagunCnp1;Sud Lipez;
Frt-SAA_LagunCnp2;Sud Lipez;
Frt-SAA_LagunCnp3;Sud Lipez;
Frt-SAA_LgnRmdts1;Sud Lipez;
Frt-SAA_LgnRmdts2;Sud Lipez;
Frt-SAA_LagnClrd1;Sud Lipez;
Frt-SAA_LagnClrd2;Sud Lipez;
Frt-SAA_LagnClrd3;Sud Lipez;
Frt-SAA_LagnClrd4;Sud Lipez;
Frt-SAA_LagnClrd5;Sud Lipez;
Frt-SAA_LagnClrd6;Sud Lipez;
Frt-SAA_LagnClrd7;Sud Lipez;
Frt-SAA_LagnClrd8;Sud Lipez;
Frt-SAA_LagnClrd9;Sud Lipez;
Frt-SAA_LagunCch;Sud Lipez;
Cochbmb_LgnChllc;Cochabamba;
SudLipz_LagnClrd1;Sud Lipez;
SudLipz_LagnClrd2;Sud Lipez;
SudLipz_LagnClrd3;Sud Lipez;
SudLipz_LagnClrd4;Sud Lipez;
SudLipz_LagnClrd5;Sud Lipez;
SudLipz_LagunVrd1;Sud Lipez;
SudLipz_LagunVrd2;Sud Lipez;
SudLipz_LagunVrd3;Sud Lipez;
SudLipz_LagunVrd4;Sud Lipez;
SudLipz_LagunVrd5;Sud Lipez;
SudLipz_LagunBlanc1;Sud Lipez;
SudLipz_LagunaBlnc2;Sud Lipez;
SudLipz_SCsprng1;Sud Lipez;
SudLipz_SlrChlk1;Sud Lipez;
SudLipz_SCsprng21;Sud Lipez;
SudLipz_SCsprng22;Sud Lipez;
SudLipz_SlrChlk2;Sud Lipez;
SudLipz_SlrChlsw;Sud Lipez;
SudLipz_LgnHdndS;Sud Lipez;
SudLipz_LgnLrmys;Sud Lipez;
SudLipz_LgnLrmyl;Sud Lipez;
