"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"Myl-B-LagonSrz","Mayle-Beni,Pantanal","Bolivia","Mayle",2006,"Lagoon Suarez","surface sediment","Lake","epipelon","Myl-B-LagonSrz","Bolivia-Beni",-14.874,-64.865
"Myl-B-LgnCrnnd","Mayle-Beni,Pantanal","Bolivia","Mayle",2006,"Lagoon Cernandez","surface sediment","Lake","epipelon","Myl-B-LgnCrnnd","Bolivia-Beni",-14.686,-64.767
"Myl-B-LagonAzl","Mayle-Beni,Pantanal","Bolivia","Mayle",2006,"Lagoon Azul","surface sediment","Lake","epipelon","Myl-B-LagonAzl","Bolivia-Beni",-14.986,-64.809
"Myl-B-LagnCtrm","Mayle-Beni,Pantanal","Bolivia","Mayle",2006,"Lagoon Coitarama","surface sediment","Lake","epipelon","Myl-B-LagnCtrm","Bolivia-Beni",-14.502,-64.869
"Myl-B-LagonBln","Mayle-Beni,Pantanal","Bolivia","Mayle",2006,"Lagoon Belen","surface sediment","Lake","epipelon","Myl-B-LagonBln","Bolivia-Beni",-14.454,-64.854
"Myl-B-LagonHch","Mayle-Beni,Pantanal","Bolivia","Mayle",2006,"Lagoon Huachi","surface sediment","Lake","epipelon","Myl-B-LagonHch","Bolivia-Beni",-14.303,-63.403
"Myl-B-LgnLmSrz","Mayle-Beni,Pantanal","Bolivia","Mayle",2006,"Lagoon Lomo Suarez","surface sediment","Lake","epipelon","Myl-B-LgnLmSrz","Bolivia-Beni",-14.759,-64.953
"Myl-B-LgnPntdI","Mayle-Beni,Pantanal","Bolivia","Mayle",2006,"Lagoon Puente de Ibaré","surface sediment","Lake","epipelon","Myl-B-LgnPntdI","Bolivia-Beni",-14.87,-64.976
"Myl-B-LagnIsrr","Mayle-Beni,Pantanal","Bolivia","Mayle",2006,"Lagoon Isireri","surface sediment","Lake","epipelon","Myl-B-LagnIsrr","Bolivia-Beni",-14.988,-65.657
"Myl-B-LgnLsPnt","Mayle-Beni,Pantanal","Bolivia","Mayle",2006,"Lagoon Los Puentes","surface sediment","Lake","epipelon","Myl-B-LgnLsPnt","Bolivia-Beni",-14.88,-65.027
