"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"Chl-Crr_CingsdNm","Chile-Carrevedo","Chile","MLCarrevedo",2013,"Cienagas de Name","core top","Lake","","Chl-Crr_CingsdNm","Chile-Coastal",-35.75,-72.217
"Chl-Crr_Batuco","Chile-Carrevedo","Chile","MLCarrevedo",2013,"Batuco","core top","Lake","","Chl-Crr_Batuco","Chile-Coastal",-33.202,-70.824
"Chl-Crr_Aculeo","Chile-Carrevedo","Chile","MLCarrevedo",2013,"Aculeo","core top","Lake","","Chl-Crr_Aculeo","Chile-Coastal",-33.846,-70.915
"Chl-Crr_LgnAlbfr","Chile-Carrevedo","Chile","MLCarrevedo",2013,"Laguna Albúfera","core top","Lake","","Chl-Crr_LgnAlbfr","Chile-Coastal",-33.752,-71.679
"Chl-Crr_HmdldTnq","Chile-Carrevedo","Chile","MLCarrevedo",2013,"Humedal de Tunquén","core top","Lake","","Chl-Crr_HmdldTnq","Chile-Coastal",-33.288,-71.653
"Chl-Crr_Peral","Chile-Carrevedo","Chile","MLCarrevedo",2013,"Peral","core top","Lake","","Chl-Crr_Peral","Chile-Coastal",-33.505,-71.606
"Chl-Crr_Vichuqun","Chile-Carrevedo","Chile","MLCarrevedo",2013,"Vichuquén","core top","Lake","","Chl-Crr_Vichuqun","Chile-Coastal",-34.806,-72.055
"Chl-Crr_LagunCrn","Chile-Carrevedo","Chile","MLCarrevedo",2013,"Laguna Caren","core top","Lake","","Chl-Crr_LagunCrn","Chile-Coastal",-33.43,-70.841
"Chl-Bls_Vichuqun","Chile-Blas","Chile","Blas Valero-Garcés",NA,"Vichuquén","core top","Lake","","Chl-Bls_Vichuqun","Chile-Coastal",-34.806,-72.055
"Chl-Bls_Matanzas","Chile-Blas","Chile","Blas Valero-Garcés",NA,"Matanzas","core top","Lake","","Chl-Bls_Matanzas","Chile-Coastal",-33.763,-71.676
"Chl-Bls_Peral","Chile-Blas","Chile","Blas Valero-Garcés",NA,"Peral","core top","Lake","","Chl-Bls_Peral","Chile-Coastal",-33.505,-71.606
"Chl-Bls_LagnGrnd","Chile-Blas","Chile","Blas Valero-Garcés",NA,"Laguna Grande","core top","Lake","","Chl-Bls_LagnGrnd","Chile-Coastal",-36.86,-73.111
"Chl-Bls_Aculeo","Chile-Blas","Chile","Blas Valero-Garcés",NA,"Aculeo","core top","Lake","","Chl-Bls_Aculeo","Chile-Coastal",-33.846,-70.915
"Chl-Bls_Batuco","Chile-Blas","Chile","Blas Valero-Garcés",NA,"Batuco","core top","Lake","","Chl-Bls_Batuco","Chile-Coastal",-33.202,-70.824
"Chl-Bls_Colejuda","Chile-Blas","Chile","Blas Valero-Garcés",NA,"Colejuda","core top","Lake","","Chl-Bls_Colejuda","Chile-Coastal",-33.765,-71.702
"Chl-Bls_CingsdNm","Chile-Blas","Chile","Blas Valero-Garcés",NA,"Cienagas de Name","core top","Lake","","Chl-Bls_CingsdNm","Chile-Coastal",-35.75,-72.217
