"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"Clm-L-N_Ayapel-1","Colombia-Lowlands-North","Colombia","M.I. Velez",2001,"Ayapel","surface sediment","Lake","epipelon","Clm-L-N_Ayapel-1","Colombia-Lowlands",8.318,-75.118
"Clm-L-N_Ayapel-2","Colombia-Lowlands-North","Colombia","M.I. Velez",2001,"Ayapel","modern","Lake","phytoplankton","Clm-L-N_Ayapel-2","Colombia-Lowlands",8.318,-75.118
"Clm-L-N_Ayapel-3","Colombia-Lowlands-North","Colombia","M.I. Velez",2001,"Ayapel","modern","Lake","periphyton","Clm-L-N_Ayapel-3","Colombia-Lowlands",8.318,-75.118
"Clm-L-N_Ayapel-4","Colombia-Lowlands-North","Colombia","M.I. Velez",2001,"Ayapel","modern","Lake","phytoplankton","Clm-L-N_Ayapel-4","Colombia-Lowlands",8.318,-75.118
"Clm-L-E_Mrgrts-1","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Margaritas","surface sediment","Lake","epipelon","Clm-L-E_Mrgrts-1","Colombia-Lowlands",3.378,-73.424
"Clm-L-E_Mrgrts-2","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Margaritas","modern","Lake","phytoplankton","Clm-L-E_Mrgrts-2","Colombia-Lowlands",3.378,-73.424
"Clm-L-E_Mrgrts-3","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Margaritas","surface sediment","Lake","epipelon","Clm-L-E_Mrgrts-3","Colombia-Lowlands",3.378,-73.424
"Clm-L-E_Carimg-1","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Carimagua","surface sediment","Lake","epipelon","Clm-L-E_Carimg-1","Colombia-Lowlands",4.58,-71.33
"Clm-L-E_Carimg-2","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Carimagua","surface sediment","Lake","epipelon","Clm-L-E_Carimg-2","Colombia-Lowlands",4.58,-71.33
"Clm-L-E_Carimg-3","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Carimagua","modern","Lake","phytoplankton","Clm-L-E_Carimg-3","Colombia-Lowlands",4.58,-71.33
"Clm-L-E_Carimg-4","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Carimagua","modern","Lake","phytoplankton","Clm-L-E_Carimg-4","Colombia-Lowlands",4.58,-71.33
"Clm-L-E_Carimg-5","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Carimagua","surface sediment","Lake","epipelon","Clm-L-E_Carimg-5","Colombia-Lowlands",4.58,-71.33
"Clm-L-E_Pinal-1","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Pinal","surface sediment","Lake","epipelon","Clm-L-E_Pinal-1","Colombia-Lowlands",4.133,-73.38
"Clm-L-E_Pinal-2","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Pinal","surface sediment","Lake","epipelon","Clm-L-E_Pinal-2","Colombia-Lowlands",4.133,-73.38
"Clm-L-E_Pinal-3","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Pinal","modern","Lake","phytoplankton","Clm-L-E_Pinal-3","Colombia-Lowlands",4.133,-73.38
"Clm-L-W_Juncal-1","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Juncal","surface sediment","Lake","epipelon","Clm-L-W_Juncal-1","Colombia-Lowlands",5.134,-72.753
"Clm-L-W_Juncal-2","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Juncal","modern","Lake","phytoplankton","Clm-L-W_Juncal-2","Colombia-Lowlands",5.134,-72.753
"Clm-L-W_Juncal-3","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Juncal","modern","Lake","phytoplankton","Clm-L-W_Juncal-3","Colombia-Lowlands",5.134,-72.753
"Clm-L-W_Antioq-1","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Antioquia","modern","Lake","periphyton","Clm-L-W_Antioq-1","Colombia-Lowlands",6.478,-75.765
"Clm-L-W_Antioq-2","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Antioquia","modern","Lake","phytoplankton","Clm-L-W_Antioq-2","Colombia-Lowlands",6.568,-75.8
"Clm-L-W_Antioq-3","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Antioquia","surface sediment","Lake","epipelon","Clm-L-W_Antioq-3","Colombia-Lowlands",6.568,-75.8
"Clm-L-W_Antioq-4","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Antioquia","modern","Lake","phytoplankton","Clm-L-W_Antioq-4","Colombia-Lowlands",6.595,-75.814
"Clm-L-W_Antioq-5","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Antioquia","surface sediment","Lake","epipelon","Clm-L-W_Antioq-5","Colombia-Lowlands",6.595,-75.814
"Clm-L-W_Antioq-6","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Antioquia","modern","Lake","periphyton","Clm-L-W_Antioq-6","Colombia-Lowlands",6.595,-75.814
"Clm-L-W_Antioq-7","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Antioquia","modern","Lake","phytoplankton","Clm-L-W_Antioq-7","Colombia-Lowlands",6.563,-75.801
"Clm-L-W_Antioq-8","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Antioquia","modern","Lake","periphyton","Clm-L-W_Antioq-8","Colombia-Lowlands",6.563,-75.801
"Clm-L-W_Antioq-9","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Antioquia","modern","Lake","periphyton","Clm-L-W_Antioq-9","Colombia-Lowlands",6.563,-75.801
