"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"Clm-L-E_Mrgrts-1","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Margaritas","surface sediment","Lake","epipelon","Clm-L-E_Mrgrts-1","Colombia-Lowlands-Eastern",3.378,-73.424
"Clm-L-E_Mrgrts-2","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Margaritas","modern","Lake","phytoplankton","Clm-L-E_Mrgrts-2","Colombia-Lowlands-Eastern",3.378,-73.424
"Clm-L-E_Mrgrts-3","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Margaritas","surface sediment","Lake","epipelon","Clm-L-E_Mrgrts-3","Colombia-Lowlands-Eastern",3.378,-73.424
"Clm-L-E_Carimg-1","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Carimagua","surface sediment","Lake","epipelon","Clm-L-E_Carimg-1","Colombia-Lowlands-Eastern",4.58,-71.33
"Clm-L-E_Carimg-2","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Carimagua","surface sediment","Lake","epipelon","Clm-L-E_Carimg-2","Colombia-Lowlands-Eastern",4.58,-71.33
"Clm-L-E_Carimg-3","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Carimagua","modern","Lake","phytoplankton","Clm-L-E_Carimg-3","Colombia-Lowlands-Eastern",4.58,-71.33
"Clm-L-E_Carimg-4","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Carimagua","modern","Lake","phytoplankton","Clm-L-E_Carimg-4","Colombia-Lowlands-Eastern",4.58,-71.33
"Clm-L-E_Carimg-5","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Carimagua","surface sediment","Lake","epipelon","Clm-L-E_Carimg-5","Colombia-Lowlands-Eastern",4.58,-71.33
"Clm-L-E_Pinal-1","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Pinal","surface sediment","Lake","epipelon","Clm-L-E_Pinal-1","Colombia-Lowlands-Eastern",4.133,-73.38
"Clm-L-E_Pinal-2","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Pinal","surface sediment","Lake","epipelon","Clm-L-E_Pinal-2","Colombia-Lowlands-Eastern",4.133,-73.38
"Clm-L-E_Pinal-3","Colombia-Lowlands-Eastern","Colombia","M.I. Velez",2001,"Pinal","modern","Lake","phytoplankton","Clm-L-E_Pinal-3","Colombia-Lowlands-Eastern",4.133,-73.38
