"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"Clm-L-W_Juncal-1","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Juncal","surface sediment","Lake","epipelon","Clm-L-W_Juncal-1","Colombia-Lowlands-Western",5.134,-72.753
"Clm-L-W_Juncal-2","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Juncal","modern","Lake","phytoplankton","Clm-L-W_Juncal-2","Colombia-Lowlands-Western",5.134,-72.753
"Clm-L-W_Juncal-3","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Juncal","modern","Lake","phytoplankton","Clm-L-W_Juncal-3","Colombia-Lowlands-Western",5.134,-72.753
"Clm-L-W_Antioq-1","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Antioquia","modern","Lake","periphyton","Clm-L-W_Antioq-1","Colombia-Lowlands-Western",6.478,-75.765
"Clm-L-W_Antioq-2","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Antioquia","modern","Lake","phytoplankton","Clm-L-W_Antioq-2","Colombia-Lowlands-Western",6.568,-75.8
"Clm-L-W_Antioq-3","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Antioquia","surface sediment","Lake","epipelon","Clm-L-W_Antioq-3","Colombia-Lowlands-Western",6.568,-75.8
"Clm-L-W_Antioq-4","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Antioquia","modern","Lake","phytoplankton","Clm-L-W_Antioq-4","Colombia-Lowlands-Western",6.595,-75.814
"Clm-L-W_Antioq-5","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Antioquia","surface sediment","Lake","epipelon","Clm-L-W_Antioq-5","Colombia-Lowlands-Western",6.595,-75.814
"Clm-L-W_Antioq-6","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Antioquia","modern","Lake","periphyton","Clm-L-W_Antioq-6","Colombia-Lowlands-Western",6.595,-75.814
"Clm-L-W_Antioq-7","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Antioquia","modern","Lake","phytoplankton","Clm-L-W_Antioq-7","Colombia-Lowlands-Western",6.563,-75.801
"Clm-L-W_Antioq-8","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Antioquia","modern","Lake","periphyton","Clm-L-W_Antioq-8","Colombia-Lowlands-Western",6.563,-75.801
"Clm-L-W_Antioq-9","Colombia-Lowlands-Western","Colombia","M.I. Velez",2001,"Antioquia","modern","Lake","periphyton","Clm-L-W_Antioq-9","Colombia-Lowlands-Western",6.563,-75.801
