"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"Cusco_Cs-PLS-2","Cusco","Peru","Tapia",2011,"Cusco-PLS-2","surface sediment","Lake","epipelon","Cusco_Cs-PLS-2","Cusco",-13.398,-72.126
"Cusco_C-PLS-13","Cusco","Peru","Tapia",2011,"Cusco-PLS-13","surface sediment","Lake","epipelon","Cusco_C-PLS-13","Cusco",-13.403,-71.693
"Cusco_Cs-PLS-1","Cusco","Peru","Tapia",2011,"Cusco-PLS-1","surface sediment","Lake","epipelon","Cusco_Cs-PLS-1","Cusco",-13.416,-72.046
"Cusco_C-PLS-11","Cusco","Peru","Tapia",2011,"Cusco-PLS-11","surface sediment","Lake","epipelon","Cusco_C-PLS-11","Cusco",-13.621,-71.721
"Cusco_Cs-PLS-5","Cusco","Peru","Tapia",2011,"Cusco-PLS-5","surface sediment","Lake","epipelon","Cusco_Cs-PLS-5","Cusco",-13.859,-70.253
"Cusco_Cs-PLS-7","Cusco","Peru","Tapia",2011,"Cusco-PLS-7","surface sediment","Lake","epipelon","Cusco_Cs-PLS-7","Cusco",-13.863,-70.307
"Cusco_Cs-PLS-8","Cusco","Peru","Tapia",2011,"Cusco-PLS-8","surface sediment","Lake","epipelon","Cusco_Cs-PLS-8","Cusco",-13.906,-70.301
"Cusco_Cusc-CH1","Cusco","Peru","Tapia",2011,"Cusco-CH1","surface sediment","Lake","epipelon","Cusco_Cusc-CH1","Cusco",-13.916,-70.866
"Cusco_Cs-PLS-6","Cusco","Peru","Tapia",2011,"Cusco-PLS-6","surface sediment","Lake","epipelon","Cusco_Cs-PLS-6","Cusco",-13.929,-70.311
"Cusco_Cusc-DP1","Cusco","Peru","Tapia",2011,"Cusco-DP1","surface sediment","Lake","epipelon","Cusco_Cusc-DP1","Cusco",-13.944,-70.903
"Cusco_Cusc-YC1","Cusco","Peru","Tapia",2011,"Cusco-YC1","surface sediment","Lake","epipelon","Cusco_Cusc-YC1","Cusco",-13.945,-70.875
"Cusco_Cusc-IA1","Cusco","Peru","Tapia",2011,"Cusco-IA1","surface sediment","Lake","epipelon","Cusco_Cusc-IA1","Cusco",-13.948,-70.901
"Cusco_C-PLS-12","Cusco","Peru","Tapia",2011,"Cusco-PLS-12","surface sediment","Lake","epipelon","Cusco_C-PLS-12","Cusco",-14.125,-71.463
"Cusco_Cs-PLS-3","Cusco","Peru","Tapia",2011,"Cusco-PLS-3","surface sediment","Lake","epipelon","Cusco_Cs-PLS-3","Cusco",-14.585,-71.722
"Cusco_Cs-PLS-4","Cusco","Peru","Tapia",2011,"Cusco-PLS-4","surface sediment","Lake","epipelon","Cusco_Cs-PLS-4","Cusco",-14.59,-71.706
"Cusco_Cs-PLS-9","Cusco","Peru","Tapia",2011,"Cusco-PLS-9","surface sediment","Lake","epipelon","Cusco_Cs-PLS-9","Cusco",-14.727,-70.499
"Cusco_C-PLS-10","Cusco","Peru","Tapia",2011,"Cusco-PLS-10","surface sediment","Lake","epipelon","Cusco_C-PLS-10","Cusco",-15.086,-70.936
