"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"Ecdr-Am_Caimncch","Ecuador-Amazonia","Ecuador","Steinitz-Kannan",1980,"Caimancocha","surface sediment + modern","Lake","several","Ecdr-Am_Caimncch","Ecuador-Amazonia",0.008,-76.211
"Ecdr-Am_Macurcch","Ecuador-Amazonia","Ecuador","Steinitz-Kannan",1980,"Macurococha","surface sediment + modern","Lake","several","Ecdr-Am_Macurcch","Ecuador-Amazonia",0.002,-76.215
"Ecdr-Am_Cuyabeno","Ecuador-Amazonia","Ecuador","Steinitz-Kannan",1980,"Cuyabeno","surface sediment + modern","Lake","several","Ecdr-Am_Cuyabeno","Ecuador-Amazonia",-0.013,-76.179
"Ecdr-Am_Mateocch","Ecuador-Amazonia","Ecuador","Steinitz-Kannan",1980,"Mateococha","surface sediment + modern","Lake","several","Ecdr-Am_Mateocch","Ecuador-Amazonia",-0.015,-76.217
"Ecdr-Am_SantCecl","Ecuador-Amazonia","Ecuador","Steinitz-Kannan",1980,"Santa Cecilia","surface sediment + modern","Lake","several","Ecdr-Am_SantCecl","Ecuador-Amazonia",0.066,-77.004
"Ecdr-Am_PetrolP.","Ecuador-Amazonia","Ecuador","Steinitz-Kannan",1980,"Petroleo P.","surface sediment + modern","Pond","several","Ecdr-Am_PetrolP.","Ecuador-Amazonia",-0.099,-76.88
"Ecdr-Am_TexacPnd","Ecuador-Amazonia","Ecuador","Steinitz-Kannan",1980,"Texaco Pond","surface sediment + modern","Pond","several","Ecdr-Am_TexacPnd","Ecuador-Amazonia",-0.083,-76.883
"Ecdr-Am_L. Agrio","Ecuador-Amazonia","Ecuador","Steinitz-Kannan",1980,"L. Agrio","surface sediment + modern","Lake","several","Ecdr-Am_L. Agrio","Ecuador-Amazonia",0.113,-76.913
"Ecdr-Am_Limnncch","Ecuador-Amazonia","Ecuador","Steinitz-Kannan",1980,"Limoncocha","surface sediment + modern","Lake","several","Ecdr-Am_Limnncch","Ecuador-Amazonia",-0.399,-76.614
"Ecdr-Am_Mandicch","Ecuador-Amazonia","Ecuador","Steinitz-Kannan",1980,"Mandicocha","surface sediment + modern","Lake","several","Ecdr-Am_Mandicch","Ecuador-Amazonia",-0.473,-76.46
"Ecdr-Am_Taracoa","Ecuador-Amazonia","Ecuador","Steinitz-Kannan",1980,"Taracoa","surface sediment + modern","Lake","several","Ecdr-Am_Taracoa","Ecuador-Amazonia",-0.465,-76.759
"Ecdr-Am_Garzacch","Ecuador-Amazonia","Ecuador","Steinitz-Kannan",1980,"Garzacocha","surface sediment + modern","Lake","several","Ecdr-Am_Garzacch","Ecuador-Amazonia",-0.500232,-76.370802
"Ecdr-Am_Zancdcch","Ecuador-Amazonia","Ecuador","Steinitz-Kannan",1980,"Zancudococha","surface sediment + modern","Lake","several","Ecdr-Am_Zancdcch","Ecuador-Amazonia",-0.603,-75.483
"Ecdr-Am_Añangcch","Ecuador-Amazonia","Ecuador","Steinitz-Kannan",1980,"Añangucocha","surface sediment + modern","Lake","several","Ecdr-Am_Añangcch","Ecuador-Amazonia",-0.525,-76.437
"Ecdr-Am_Pecari","Ecuador-Amazonia","Ecuador","Steinitz-Kannan",1980,"Pecari","surface sediment + modern","Lake","several","Ecdr-Am_Pecari","Ecuador-Amazonia",-1.532,-77.997
"Ecdr-Am_Puyo","Ecuador-Amazonia","Ecuador","Steinitz-Kannan",1980,"Puyo","surface sediment + modern","Pond","several","Ecdr-Am_Puyo","Ecuador-Amazonia",-1.546,-78.004
"Ecdr-Am_Ayauchi","Ecuador-Amazonia","Ecuador","Steinitz-Kannan",1980,"Ayauchi","surface sediment + modern","Lake","several","Ecdr-Am_Ayauchi","Ecuador-Amazonia",-2.083,-78.017
"Ecdr-Am_L.Kumpak","Ecuador-Amazonia","Ecuador","Steinitz-Kannan",1980,"L. Kumpak","surface sediment + modern","Lake","several","Ecdr-Am_L.Kumpak","Ecuador-Amazonia",-3.045,-78.035
"EpNGEO-J_Garzacch1","Ecuador project NGEO-July","Ecuador","Fritz-Benito-Feitl",2017,"Garzacocha","modern","Lake","periphyton","EpNGEO-J_Garzacch1","Ecuador-Amazonia",-0.583,-76.333
"EpNGEO-J_Garzacch2","Ecuador project NGEO-July","Ecuador","Fritz-Benito-Feitl",2017,"Garzacocha","core top","Lake","","EpNGEO-J_Garzacch2","Ecuador-Amazonia",-0.583,-76.333
"EpNGEO-J_Garzacch3","Ecuador project NGEO-July","Ecuador","Fritz-Benito-Feitl",2017,"Garzacocha","modern","Lake","plankton","EpNGEO-J_Garzacch3","Ecuador-Amazonia",-0.583,-76.333
"EpNGEO-J_Mandicch1","Ecuador project NGEO-July","Ecuador","Fritz-Benito-Feitl",2017,"Mandicocha","core top","Lake","","EpNGEO-J_Mandicch1","Ecuador-Amazonia",-0.473,-76.46
"EpNGEO-J_Mandicch2","Ecuador project NGEO-July","Ecuador","Fritz-Benito-Feitl",2017,"Mandicocha","modern","Lake","periphyton","EpNGEO-J_Mandicch2","Ecuador-Amazonia",-0.473,-76.46
"EpNGEO-J_Añangcch1","Ecuador project NGEO-July","Ecuador","Fritz-Benito-Feitl",2017,"Añangucocha","modern","Lake","plankton","EpNGEO-J_Añangcch1","Ecuador-Amazonia",-0.525,-76.437
