"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"Galapgs_El Junco","Galapagos","Ecuador","Steinitz-Kannan",1991,"El Junco","surface sediment + modern","Lake","","Galapgs_El Junco","Galapagos",-0.895,-89.48
"Galapgs_Genovesa","Galapagos","Ecuador","Steinitz-Kannan",1966,"Genovesa","surface sediment + modern","Lake","","Galapgs_Genovesa","Galapagos",0.327,-89.9578
"Galapgs_TrtsPndI","Galapagos","Ecuador","Steinitz-Kannan",1977,"Tortoise Pond I","surface sediment + modern","Pond","","Galapgs_TrtsPndI","Galapagos",-0.673,-90.439
"Galapgs_TrtsPnII","Galapagos","Ecuador","Steinitz-Kannan",1977,"Tortoise Pond II","surface sediment + modern","Pond","","Galapgs_TrtsPnII","Galapagos",-0.717,-90.433
"Galapgs_FrgtBrdP","Galapagos","Ecuador","Steinitz-Kannan",1977,"Frigate Bird Pond","surface sediment + modern","Pond","","Galapgs_FrgtBrdP","Galapagos",-0.503,-90.335
"Galapgs_Bainbrdg","Galapagos","Ecuador","Steinitz-Kannan",1991,"Bainbridge","surface sediment + modern","Lake","","Galapgs_Bainbrdg","Galapagos",-0.352,-90.565
"Galapgs_SaltMine","Galapagos","Ecuador","Steinitz-Kannan",1991,"Salt Mine","surface sediment + modern","Lake","","Galapgs_SaltMine","Galapagos",-0.241,-90.836
"Galapgs_SergLagn","Galapagos","Ecuador","Steinitz-Kannan",NA,"Sergio Lagoon","surface sediment + modern","Lagoon","","Galapgs_SergLagn","Galapagos",-0.233,-90.81
"Galapgs_WilsnLgn","Galapagos","Ecuador","Steinitz-Kannan",1991,"Wilson  Lagoon","surface sediment + modern","Lagoon","","Galapgs_WilsnLgn","Galapagos",-0.222,-90.812
"Galapgs_ElSarten","Galapagos","Ecuador","Steinitz-Kannan",1991,"El Sarten","surface sediment + modern","Lake","","Galapgs_ElSarten","Galapagos",-0.247,-90.813
"Galapgs_Beagle","Galapagos","Ecuador","Steinitz-Kannan",NA,"Beagle","surface sediment + modern","Lake","","Galapgs_Beagle","Galapagos",-0.281,-91.351
"Galapgs_TagusCov","Galapagos","Ecuador","Steinitz-Kannan",NA,"Tagus Cove","surface sediment + modern","Lake","","Galapgs_TagusCov","Galapagos",-0.257,-91.372
"Galapgs_Cementar","Galapagos","Ecuador","Steinitz-Kannan",1991,"Cementario","surface sediment + modern","Lake","","Galapgs_Cementar","Galapagos",-0.229,-91.39
"Galapgs_CactsRdg","Galapagos","Ecuador","Steinitz-Kannan",1991,"Cactus Ridge","surface sediment + modern","Lake","","Galapgs_CactsRdg","Galapagos",-0.234,-91.39
"Galapgs_SalnsLgn","Galapagos","Ecuador","Steinitz-Kannan",1991,"Salinas Lagoon","surface sediment + modern","Lagoon","","Galapgs_SalnsLgn","Galapagos",-0.241,-91.387
"Galapgs_WttmrSpr","Galapagos","Ecuador","Steinitz-Kannan",1977,"Wittmer Spring","surface sediment + modern","Spring","","Galapgs_WttmrSpr","Galapagos",-1.308,-90.44
"Galapgs_Fernandn","Galapagos","Ecuador","Steinitz-Kannan",1977,"Fernandina","surface sediment + modern","Lake","","Galapgs_Fernandn","Galapagos",-0.358,-91.387
"Galapgs_SntgLgn2","Galapagos","Ecuador","Steinitz-Kannan",1977,"Santiago Lagoon2","surface sediment + modern","Lagoon","","Galapgs_SntgLgn2","Galapagos",-0.208,-90.83
"Galapgs_Santiag3","Galapagos","Ecuador","Steinitz-Kannan",1977,"Santiago 3","surface sediment + modern","Lagoon","","Galapgs_Santiag3","Galapagos",-0.204,-90.829
"Galapgs_SntgLgn4","Galapagos","Ecuador","Steinitz-Kannan",1977,"Santiago Lagoon4","surface sediment + modern","Lagoon","","Galapgs_SntgLgn4","Galapagos",-0.201,-90.828
