"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"JunnPln_L.Tl,shr1","JuninPlain","Peru","Tapia",1999,"L. Tauli, shore","modern","Lake","water","JunnPln_L.Tl,shr1","JuninPlain",-10.724,-76.071
"JunnPln_HgpCv,ot","JuninPlain","Peru","Tapia",1999,"Huagapo Cave, outside","modern","Spring","periphyton","JunnPln_HgpCv,ot","JuninPlain",-11.268,-75.787
"JunnPln_L.Ccch,s","JuninPlain","Peru","Tapia",1999,"L. Ccochachuycho, shore","modern","Lake","periphyton","JunnPln_L.Ccch,s","JuninPlain",-10.76,-76.072
"JunnPln_J11,GK252","JuninPlain","Peru","Tapia",1999,"Junin 11, Gunoc Km 255","surface sediment","Stream","epipelon","JunnPln_J11,GK252","JuninPlain",-10.944,-76.046
"JunnPln_J11,GK253","JuninPlain","Peru","Tapia",1999,"Junin 11, Gunoc Km 255","modern","Stream","epilithic","JunnPln_J11,GK253","JuninPlain",-10.944,-76.046
"JunnPln_J11,GK254","JuninPlain","Peru","Tapia",1999,"Junin 11, Gunoc Km 255","modern","Stream","water","JunnPln_J11,GK254","JuninPlain",-10.944,-76.046
"JunnPln_J11,GK255","JuninPlain","Peru","Tapia",1999,"Junin 11, Gunoc Km 255","modern","Stream","water","JunnPln_J11,GK255","JuninPlain",-10.944,-76.046
"JunnPln_L.Llcc,s1","JuninPlain","Peru","Tapia",1999,"L. Lulicocha, shore","modern","Lake","periphyton","JunnPln_L.Llcc,s1","JuninPlain",-10.778,-76.097
"JunnPln_J13,Qd.A2","JuninPlain","Peru","Tapia",1999,"Junin 13, Qda. Anascanchi","modern","Stream","water","JunnPln_J13,Qd.A2","JuninPlain",-10.979,-76.036
"JunnPln_J13,Qd.A3","JuninPlain","Peru","Tapia",1999,"Junin 13, Qda. Anascanchi","modern","Stream","water","JunnPln_J13,Qd.A3","JuninPlain",-10.979,-76.036
"JunnPln_Jn10,TdS1","JuninPlain","Peru","Tapia",1999,"Junin 10, Tambo del Sol","modern","Stream","periphyton","JunnPln_Jn10,TdS1","JuninPlain",-10.81,-76.134
"JunnPln_Jn10,TdS2","JuninPlain","Peru","Tapia",1999,"Junin 10, Tambo del Sol","surface sediment","Stream","epipelon","JunnPln_Jn10,TdS2","JuninPlain",-10.803,-76.126
"JunnPln_Jn10,TdS3","JuninPlain","Peru","Tapia",1999,"Junin 10, Tambo del Sol","modern","Stream","water","JunnPln_Jn10,TdS3","JuninPlain",-10.81,-76.134
"JunnPln_Jn10,TdS4","JuninPlain","Peru","Tapia",1999,"Junin 10, Tambo del Sol","modern","Stream","water","JunnPln_Jn10,TdS4","JuninPlain",-10.81,-76.134
"JunnPln_Jnn9,dbS1","JuninPlain","Peru","Tapia",1999,"Junin 9, ditch before Shelby","modern","Stream","periphyton","JunnPln_Jnn9,dbS1","JuninPlain",-10.814,-76.232
"JunnPln_Jn14,PR.2","JuninPlain","Peru","Tapia",1999,"Junin 14, Palcamayo R.","modern","Stream","water","JunnPln_Jn14,PR.2","JuninPlain",-10.915,-76.047
"JunnPln_Jn14,PR.3","JuninPlain","Peru","Tapia",1999,"Junin 14, Palcamayo R.","modern","Stream","water","JunnPln_Jn14,PR.3","JuninPlain",-10.915,-76.047
"JunnPln_L.Yncc,s1","JuninPlain","Peru","Tapia",1999,"L. Yanacocha, shore","modern","Lake","periphyton","JunnPln_L.Yncc,s1","JuninPlain",-10.833,-76.036
"JunnPln_Jn7,SPdP2","JuninPlain","Peru","Tapia",1999,"Junin 7, San Pedro de Pari","modern","Lake","water","JunnPln_Jn7,SPdP2","JuninPlain",-10.964,-76.231
"JunnPln_Jn7,SPdP3","JuninPlain","Peru","Tapia",1999,"Junin 7, San Pedro de Pari","modern","Lake","water","JunnPln_Jn7,SPdP3","JuninPlain",-10.964,-76.231
"JunnPln_L.Prn,cn","JuninPlain","Peru","Tapia",1999,"L. Purun, center","surface sediment","Lake","epipelon","JunnPln_L.Prn,cn","JuninPlain",-10.835,-76.46
"JunnPln_Jnn1,CR.2","JuninPlain","Peru","Tapia",1999,"Junin 1, Chacachimpa R.","modern","River","water","JunnPln_Jnn1,CR.2","JuninPlain",-11.165,-76.017
"JunnPln_Jnn1,CR.3","JuninPlain","Peru","Tapia",1999,"Junin 1, Chacachimpa R.","modern","River","water","JunnPln_Jnn1,CR.3","JuninPlain",-11.165,-76.017
"JunnPln_L.Prn,sh1","JuninPlain","Peru","Tapia",1999,"L. Purun, shore","modern","Lake","periphyton","JunnPln_L.Prn,sh1","JuninPlain",-10.836,-76.454
"JunnPln_Jnn12,Ch2","JuninPlain","Peru","Tapia",1999,"Junin 12, Chacpas","modern","Stream","water","JunnPln_Jnn12,Ch2","JuninPlain",-11.002,-76.01
"JunnPln_Jnn12,Ch3","JuninPlain","Peru","Tapia",1999,"Junin 12, Chacpas","modern","Stream","water","JunnPln_Jnn12,Ch3","JuninPlain",-11.002,-76.01
"JunnPln_Yncch1,w","JuninPlain","Peru","Tapia",1999,"Yanacocha 1, wetland","modern","Wetland","periphyton","JunnPln_Yncch1,w","JuninPlain",-10.857,-75.986
"JunnPln_Jnn2,Wrs2","JuninPlain","Peru","Tapia",1999,"Junin 2, Warmipuquio spring","modern","Spring","periphyton","JunnPln_Jnn2,Wrs2","JuninPlain",-11.113,-76.091
"JunnPln_Jnn2,Wrs3","JuninPlain","Peru","Tapia",1999,"Junin 2, Warmipuquio spring","surface sediment","Spring","epipelon","JunnPln_Jnn2,Wrs3","JuninPlain",-11.113,-76.091
"JunnPln_Jnn2,Wrs4","JuninPlain","Peru","Tapia",1999,"Junin 2, Warmipuquio spring","modern","Spring","water","JunnPln_Jnn2,Wrs4","JuninPlain",-11.113,-76.091
"JunnPln_Jnn2,Wrs5","JuninPlain","Peru","Tapia",1999,"Junin 2, Warmipuquio spring","modern","Spring","water","JunnPln_Jnn2,Wrs5","JuninPlain",-11.113,-76.091
"JunnPln_Yncc2,is","JuninPlain","Peru","Tapia",1999,"Yanacocha 2, inflow stream","modern","Stream","periphyton","JunnPln_Yncc2,is","JuninPlain",-10.857,-75.983
"JunnPln_Jnn3,sp22","JuninPlain","Peru","Tapia",1999,"Junin 3, spring 2","modern","Spring","water","JunnPln_Jnn3,sp22","JuninPlain",-11.124,-76.086
