"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"LB(Chn)_Chungara1","Lauca Basin","Chile","Fritz-Spanbauer",2014,"Chungara","core top","Lake","","LB(Chn)_Chungara1","Lauca Basin",-18.252,-69.163
"LB(Chn)_Chungara2","Lauca Basin","Chile","Fritz-Spanbauer",2014,"Chungara","core top","Lake","","LB(Chn)_Chungara2","Lauca Basin",-18.252,-69.163
"LB(Chn)_Chungara3","Lauca Basin","Chile","Fritz-Spanbauer",2014,"Chungara","core top","Lake","","LB(Chn)_Chungara3","Lauca Basin",-18.252,-69.163
"LaucBsn_CotaVint1","Lauca Basin","Chile","Fritz-Spanbauer",2014,"Cota Vinto","modern","Lake","periphyton","LaucBsn_CotaVint1","Lauca Basin",-18.207,-69.271
"LaucBsn_CotaVint2","Lauca Basin","Chile","Fritz-Spanbauer",2014,"Cota Vinto","modern","Lake","periphyton","LaucBsn_CotaVint2","Lauca Basin",-18.207,-69.271
"LaucBsn_CotaVint3","Lauca Basin","Chile","Fritz-Spanbauer",2014,"Cota Vinto","modern","Lake","periphyton","LaucBsn_CotaVint3","Lauca Basin",-18.207,-69.271
"LaucBsn_Cotacotn1","Lauca Basin","Chile","Fritz-Spanbauer",2014,"Cotacotani","modern","Lake","periphyton","LaucBsn_Cotacotn1","Lauca Basin",-18.205,-69.222
"LaucBsn_Cotacotn2","Lauca Basin","Chile","Fritz-Spanbauer",2014,"Cotacotani","modern","Lake","periphyton","LaucBsn_Cotacotn2","Lauca Basin",-18.201,-69.219
"LaucBsn_Cotacotn3","Lauca Basin","Chile","Fritz-Spanbauer",2014,"Cotacotani","modern","Lake","periphyton","LaucBsn_Cotacotn3","Lauca Basin",-18.194,-69.214
"LaucBsn_Cotacotn4","Lauca Basin","Chile","Fritz-Spanbauer",2014,"Cotacotani","modern","Lake","periphyton","LaucBsn_Cotacotn4","Lauca Basin",-18.193,-69.211
"LaucBsn_Cotacotn5","Lauca Basin","Chile","Fritz-Spanbauer",2014,"Cotacotani","modern","Lake","periphyton","LaucBsn_Cotacotn5","Lauca Basin",-18.193,-69.211
