"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"LacCore_LagoGaiv1","LacCore","Brazil","several",2009,"Lagoon Gaiba","core top","Lake","","LacCore_LagoGaiv1","Pantanal",-17.769,-57.712
"LacCore_LagoGaiv2","LacCore","Bolivia","several",2005,"Lagoon Gaiba","core top","Lake","","LacCore_LagoGaiv2","Pantanal",-17.769,-57.728
"Myl-P-LagnMndr","Mayle-Beni,Pantanal","Bolivia","Mayle",2001,"Lagoon Mandiore","surface sediment","Lake","epipelon","Myl-P-LagnMndr","Pantanal",-18.1,-57.55
"Myl-P-LagoonGb","Mayle-Beni,Pantanal","Bolivia","Mayle",2001,"Lagoon Gaiba","surface sediment","Lake","epipelon","Myl-P-LagoonGb","Pantanal",-17.783,-57.717
"McGl-lw_BVrmlh-1","McGlue-lowlands","Brazil","McGlue",2011,"Baia Vermelha","surface sediment","Lake","epipelon","McGl-lw_BVrmlh-1","Pantanal",-18.392,-57.508
"McGl-lw_BVrmlh-2","McGlue-lowlands","Brazil","McGlue",2011,"Baia Vermelha","surface sediment","Lake","epipelon","McGl-lw_BVrmlh-2","Pantanal",-18.392,-57.508
"McGl-lw_BVrmlh-3","McGlue-lowlands","Brazil","McGlue",2011,"Baia Vermelha","surface sediment","Lake","epipelon","McGl-lw_BVrmlh-3","Pantanal",-18.392,-57.508
"McGl-lw_Mandiore","McGlue-lowlands","Brazil","McGlue",2011,"Lagoon Mandiore","surface sediment","Lake","epipelon","McGl-lw_Mandiore","Pantanal",-18.138,-57.55
"McGl-lw_Nhclnd-1","McGlue-lowlands","Brazil","McGlue",2011,"Nhecolandia","surface sediment","Lake","epipelon","McGl-lw_Nhclnd-1","Pantanal",-18.9,-56.513
"McGl-lw_Nhclnd-2","McGlue-lowlands","Brazil","McGlue",2011,"Nhecolandia","surface sediment","Lake","epipelon","McGl-lw_Nhclnd-2","Pantanal",-18.928,-56.552
"McGl-lw_Nhclnd-3","McGlue-lowlands","Brazil","McGlue",2011,"Nhecolandia","surface sediment","Lake","epipelon","McGl-lw_Nhclnd-3","Pantanal",-18.983,-56.662
