"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"GslngBA_Umayo","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Umayo","surface sediment","Lake","epipelon","GslngBA_Umayo","Peru-Andean Puna",-15.72,-70.152
"GslngBA_Tunuipij","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Tunuipiju","surface sediment","Lake","epipelon","GslngBA_Tunuipij","Peru-Andean Puna",-15.697,-70.198
"GslngBA_Lake 3","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Lake 3","surface sediment","Lake","epipelon","GslngBA_Lake 3","Peru-Andean Puna",-15.688,-70.209
"GslngBA_Sollata","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Sollata","surface sediment","Lake","epipelon","GslngBA_Sollata","Peru-Andean Puna",-15.688,-70.194
"GslngBA_Jaluncch","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Jaluncocha","surface sediment","Wetland","epipelon","GslngBA_Jaluncch","Peru-Andean Puna",-15.662,-70.196
"GslngBA_Lake 6","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Lake 6","surface sediment","Lake","epipelon","GslngBA_Lake 6","Peru-Andean Puna",-15.663,-70.194
"GslngBA_Calzada","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Calzada","surface sediment","Lake","epipelon","GslngBA_Calzada","Peru-Andean Puna",-15.902,-70.509
"GslngBA_Maquera","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Maquera","surface sediment","Lake","epipelon","GslngBA_Maquera","Peru-Andean Puna",-15.882,-70.565
"GslngBA_Umapata","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Umapata","surface sediment","Lake","epipelon","GslngBA_Umapata","Peru-Andean Puna",-15.537,-70.046
"GslngBA_Chacas","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Chacas","surface sediment","Lake","epipelon","GslngBA_Chacas","Peru-Andean Puna",-15.409,-70.204
"GslngBA_Pacuna","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Pacuna","surface sediment","Lake","epipelon","GslngBA_Pacuna","Peru-Andean Puna",-15.578,-70.218
"GslngBA_Lake 12","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Lake 12","surface sediment","Stream","epipelon","GslngBA_Lake 12","Peru-Andean Puna",-15.432,-70.167
"GslngBA_Ululumas","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Ululumasa","surface sediment","Lake","epipelon","GslngBA_Ululumas","Peru-Andean Puna",-15.785,-70.595
"GslngBA_SaraCoch","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Sara Cocha","surface sediment","Lake","epipelon","GslngBA_SaraCoch","Peru-Andean Puna",-15.778,-70.623
"GslngBA_Lagunlls","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Lagunillas","surface sediment","Lake","epipelon","GslngBA_Lagunlls","Peru-Andean Puna",-15.764,-70.675
"GslngBA_Salinas","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Salinas","surface sediment","Lake","epipelon","GslngBA_Salinas","Peru-Andean Puna",-14.99,-70.126
"GslngBA_Arapa","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Arapa","surface sediment","Lake","epipelon","GslngBA_Arapa","Peru-Andean Puna",-15.119,-70.05
"GslngBA_Jacumarn","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Jacumarini","surface sediment","Lake","epipelon","GslngBA_Jacumarn","Peru-Andean Puna",-16.372,-70.396
"GslngBA_Asiruni","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Asiruni","surface sediment","Lake","epipelon","GslngBA_Asiruni","Peru-Andean Puna",-16.386,-70.361
"GslngBA_Laja","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Laja","surface sediment","Lake","epipelon","GslngBA_Laja","Peru-Andean Puna",-16.529,-68.39
"GslngBA_JchchKkt","GoslingBirdAndes","Peru","Gosling-Bird",2003,"Jachcha Kkota","surface sediment","Lake","epipelon","GslngBA_JchchKkt","Peru-Andean Puna",-16.578,-68.167
