"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"Brdb-SA_LagunHednd","Bradbury-SAltiplano","Bolivia","JP Bradbury",2001,"Laguna Hedionda","modern","Lake","periphyton","Brdb-SA_LagunHednd","Sud Lipez",-21.57,-68.034
"Frt-SAA_SalrdUyn1","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Salar de Uyuni","modern","Lake","","Frt-SAA_SalrdUyn1","Sud Lipez",-20.144,-67.665
"Frt-SAA_SalrdUyn2","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Salar de Uyuni","modern","Lake","","Frt-SAA_SalrdUyn2","Sud Lipez",-20.144,-67.665
"Frt-SAA_SalrdUyn3","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Salar de Uyuni","modern","Lake","","Frt-SAA_SalrdUyn3","Sud Lipez",-20.144,-67.665
"Frt-SAA_LagunaHdnd","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Laguna Hedionda","modern","Lake","","Frt-SAA_LagunaHdnd","Sud Lipez",-21.568,-68.047
"Frt-SAA_LagunCnp1","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Laguna Canapa","modern","Lake","","Frt-SAA_LagunCnp1","Sud Lipez",-21.505,-68.01
"Frt-SAA_LagunCnp2","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Laguna Canapa","modern","Lake","","Frt-SAA_LagunCnp2","Sud Lipez",-21.505,-68.01
"Frt-SAA_LagunCnp3","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Laguna Canapa","modern","Lake","","Frt-SAA_LagunCnp3","Sud Lipez",-21.505,-68.01
"Frt-SAA_LgnRmdts1","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Laguna Ramaditas","modern","Lake","","Frt-SAA_LgnRmdts1","Sud Lipez",-21.643,-68.079
"Frt-SAA_LgnRmdts2","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Laguna Ramaditas","modern","Lake","","Frt-SAA_LgnRmdts2","Sud Lipez",-21.643,-68.079
"Frt-SAA_LagnClrd1","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Laguna Colorada","modern","Lake","","Frt-SAA_LagnClrd1","Sud Lipez",-22.2,-67.766
"Frt-SAA_LagnClrd2","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Laguna Colorada","modern","Lake","","Frt-SAA_LagnClrd2","Sud Lipez",-22.2,-67.766
"Frt-SAA_LagnClrd3","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Laguna Colorada","modern","Lake","","Frt-SAA_LagnClrd3","Sud Lipez",-22.2,-67.766
"Frt-SAA_LagnClrd4","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Laguna Colorada","modern","Lake","","Frt-SAA_LagnClrd4","Sud Lipez",-22.2,-67.766
"Frt-SAA_LagnClrd5","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Laguna Colorada","modern","Lake","","Frt-SAA_LagnClrd5","Sud Lipez",-22.2,-67.766
"Frt-SAA_LagnClrd6","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Laguna Colorada","modern","Lake","","Frt-SAA_LagnClrd6","Sud Lipez",-22.2,-67.766
"Frt-SAA_LagnClrd7","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Laguna Colorada","modern","Lake","","Frt-SAA_LagnClrd7","Sud Lipez",-22.2,-67.766
"Frt-SAA_LagnClrd8","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Laguna Colorada","modern","Lake","","Frt-SAA_LagnClrd8","Sud Lipez",-22.2,-67.766
"Frt-SAA_LagnClrd9","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Laguna Colorada","modern","Lake","","Frt-SAA_LagnClrd9","Sud Lipez",-22.2,-67.766
"Frt-SAA_LagunCch","Fritz-SA Altiplano","Bolivia","Fritz",1991,"Laguna Cachi","modern","Lake","","Frt-SAA_LagunCch","Sud Lipez",-21.73,-67.945
