"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"Titicac_Ttcc-l-1a","Titicaca","Bolivia-Peru","Tapia-Fritz",1996,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-1a","Titicaca-lake",-16.222,-69.147
"Titicac_Ttcc-l-1b","Titicaca","Bolivia-Peru","Tapia-Fritz",1996,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-1b","Titicaca-lake",-16.222,-69.147
"Titicac_Ttcc-l-2a","Titicaca","Bolivia-Peru","Tapia-Fritz",1996,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-2a","Titicaca-lake",-16.187,-69.163
"Titicac_Ttcc-l-2b","Titicaca","Bolivia-Peru","Tapia-Fritz",1996,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-2b","Titicaca-lake",-16.187,-69.163
"Titicac_Ttcc-l-3a","Titicaca","Bolivia-Peru","Tapia-Fritz",1996,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-3a","Titicaca-lake",-15.259,-69.211
"Titicac_Ttcc-l-3b","Titicaca","Bolivia-Peru","Tapia-Fritz",1996,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-3b","Titicaca-lake",-15.259,-69.211
"Titicac_Ttcc-l-4a","Titicaca","Bolivia-Peru","Tapia-Fritz",1996,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-4a","Titicaca-lake",-15.532,-69.619
"Titicac_Ttcc-l-4b","Titicaca","Bolivia-Peru","Tapia-Fritz",1996,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-4b","Titicaca-lake",-15.532,-69.619
"Titicac_Ttcc-l-5a","Titicaca","Bolivia-Peru","Tapia-Fritz",1996,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-5a","Titicaca-lake",-15.374,-69.068
"Titicac_Ttcc-l-5b","Titicaca","Bolivia-Peru","Tapia-Fritz",1996,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-5b","Titicaca-lake",-15.374,-69.068
"Titicac_Ttcc-l-6","Titicaca","Bolivia-Peru","Tapia-Fritz",1996,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-6","Titicaca-lake",-15.826,-69.755
"Titicac_Ttcc-l-7","Titicaca","Bolivia-Peru","Tapia-Fritz",1996,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-7","Titicaca-lake",-15.826,-69.753
"Titicac_Ttcc-l-8a","Titicaca","Bolivia-Peru","Tapia-Fritz",1996,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-8a","Titicaca-lake",-16.043,-69.32
"Titicac_Ttcc-l-8b","Titicaca","Bolivia-Peru","Tapia-Fritz",1996,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-8b","Titicaca-lake",-16.043,-69.32
"Titicac_Ttcc-l-9","Titicaca","Bolivia-Peru","Tapia-Fritz",1997,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-9","Titicaca-lake",-15.827,-69.749
"Titicac_Ttcc-l-10a","Titicaca","Bolivia-Peru","Tapia-Fritz",1997,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-10a","Titicaca-lake",-15.916,-69.656
"Titicac_Ttcc-l-10b","Titicaca","Bolivia-Peru","Tapia-Fritz",1997,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-10b","Titicaca-lake",-15.916,-69.656
"Titicac_Ttcc-l-10c","Titicaca","Bolivia-Peru","Tapia-Fritz",1997,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-10c","Titicaca-lake",-15.916,-69.656
"Titicac_Ttcc-l-11","Titicaca","Bolivia-Peru","Tapia-Fritz",1997,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-11","Titicaca-lake",-15.842,-69.605
"Titicac_Ttcc-l-12a","Titicaca","Bolivia-Peru","Tapia-Fritz",1997,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-12a","Titicaca-lake",-15.843,-69.605
"Titicac_Ttcc-l-12b","Titicaca","Bolivia-Peru","Tapia-Fritz",1997,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-12b","Titicaca-lake",-15.843,-69.605
"Titicac_Ttcc-l-13a","Titicaca","Bolivia-Peru","Tapia-Fritz",1997,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-13a","Titicaca-lake",-15.655,-69.521
"Titicac_Ttcc-l-13b","Titicaca","Bolivia-Peru","Tapia-Fritz",1997,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-13b","Titicaca-lake",-15.655,-69.521
"Titicac_Ttcc-l-13c","Titicaca","Bolivia-Peru","Tapia-Fritz",1997,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-13c","Titicaca-lake",-15.655,-69.521
"Titicac_Ttcc-l-14","Titicaca","Bolivia-Peru","Tapia-Fritz",1997,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-14","Titicaca-lake",-15.52,-69.507
"Titicac_Ttcc-l-15","Titicaca","Bolivia-Peru","Tapia-Fritz",1997,"Titicaca-lake","modern","Lake","phytoplankton","Titicac_Ttcc-l-15","Titicaca-lake",-15.529,-69.533
