Code;R;H;N;O;S;T;M;Taxon;Author(s);Synonyms (numbers between [] refer to different interpretations in taxainfo.nl);References for identification
ACZA;5;1;1;1;1;5;1;Acanthoceras zachariasii;(J.-J. Brun) R. Simonsen 1979;Attheya zachariasii;118
AAGU;5;5;-;-;-;-;-;Achnanthes angustata;R.K. Greville 1859;Achnanthes brevipes var. angustata;118
ABRE;5;5;-;-;-;5;2;Achnanthes brevipes;C.A. Agardh 1824;;"118; 326"
ACOA;3;1;1;1;1;2;5;Achnanthes coarctata;(L.A. de Brébisson) A. Grunow in H.F. van Heurck 1880;;118
ACVR;4;7;-;-;-;-;-;Achnanthes curvirostrum;J.-J. Brun 1895;;"118; 326"
AFOG;-;3;-;-;-;-;-;Achnanthes fogedii;H. Håkansson 1978;;"253; 326"
AIEL;-;2;-;-;-;-;-;Achnanthes inflata;(F.T. Kützing) A. Grunow in H.F. van Heurck 1880;;118
AINT;5;4;-;-;-;5;3;Achnanthes intermedia;F.T. Kützing 1833;Achnanthes brevipes var. intermedia;"118; 326"
ALON;5;6;-;-;-;-;1;Achnanthes longipes;C.A. Agardh 1824;;"118; 326"
AMIS;4;2;-;-;-;-;-;Achnanthes minuscula;F. Hustedt 1945;;118
APAR;4;4;1;-;-;5;3;Achnanthes parvula;F.T. Kützing 1844;Achnanthes brevipes var. parvula;"118; 326"
APLC;4;5;-;-;-;-;-;Achnanthes placentuloides;(N.A. Guslakov) A. Witkowski et H. Lange-Bertralot in A. Witkowski, H. Lange-Bertalot et D. Metzeltin 2000;;326
APGR;5;5;-;-;-;-;-;Achnanthes pseudogroenlandica;N.I. Hendey 1964;;326
APPU;4;5;-;-;-;-;-;Achnanthes pseudopunctulata;R. Simonsen 1959;;326
ASHU;3;2;-;-;-;-;-;Achnanthes subhudsonis;F. Hustedt 1921;;"143; 152"
AVIS;5;4;-;-;-;-;-;Achnanthes vistulana;A. Witkowski 1994;;"325; 326"
ACAF;4;2;-;-;1;4;-;Achnanthidium affine;(F.T. Kützing) D.B. Czarnecki 1994;"Achnanthes minutissima var. affinis; Achnanthes affinis [1]";"35; 118; 152"
ADAM;4;2;-;1;3;5;-;Achnanthidium atomoides;O. Monnier, H. Lange-Bertalot et L. Ector in O. Monnier, H. Lange-Bertalot, F. Rimet, L. Hoffman et L. Ector 2004;;181
ADCA;3;2;1;1;1;1;-;Achnanthidium caledonicum;(H. Lange-Bertalot in H. Lange-Bertalot et G. Moser) H. Lange-Bertalot 1999 s. str. (ICN: nom. inval);"Achnanthes minutissima var. scotica; Achnanthes caledonica [1]; Achnanthes scotica [2]; Achnanthes microcephala f. scotica; Achnanthidium caledonicum [2]; Achnanthidium minutissimum var. scoticum";"101; 141; 152"
ADCT;4;2;-;-;-;4;-;Achnanthidium catenatum;(J. Bilý et P. Marvan) H. Lange-Bertalot in H. Lange-Bertalot et S.I. Genkal 1999;Achnanthes catenata;"118; 152; 284"
ADMO;5;3;1;1;2;5;3;Achnanthidium delmontii;F. Pérès, R. le-Cohu et A. Barthes in F. Pérès, A. Barthès, E. Ponton, M. Coste, L. Ten-Hague et R. Le-Cohu 2012;;"152; 208"
ADRU;4;2;1;1;2;5;3;Achnanthidium druartii;F. Rimet et A. Couté in F. Rimet, A. Couté, A. Piuz, V. Berthon et J.-C. Druart 2010;;230
ADEU;3;2;-;-;-;5;3;Achnanthidium eutrophilum;(H. Lange-Bertalot) H. Lange-Bertalot 1999;Achnanthes eutrophila;"138; 141; 152"
