TaxonId;Authority;Year;Genus;TaxonName;Informal;Species;Variety
AC151A;Manguin in Gourelly & Manguin;1954;Achnanthes;Achnanthes abundans;;abundans;
AC012A;Grun. in Cleve & Grun.;1880;Achnanthes;Achnanthes affinis;;affinis;
AC046A;(Poretzky) A. Cleve-Euler;1953;Achnanthes;Achnanthes altaica;;altaica;
AC156A;Hustedt;1952;Achnanthes;Achnanthes amoena;;amoena;
AF_0125;;;Achnanthes;Achnanthes arenaria;;arenaria;
AC014A;Hust.;1922;Achnanthes;Achnanthes austriaca;;austriaca;
AC014C;Hust.;1933;Achnanthes;Achnanthes austriaca var. helvetica;;austriaca;helvetica
AC014B;L. Grannoch (RJF);1986;Achnanthes;Achnanthes austriaca var. minor;;austriaca;minor
AC037A;Grun. in Cleve & Grun.;1880;Achnanthes;Achnanthes biasolettiana;;biasolettiana;
XXG959;EDDI TP Training Set;2001;Achnanthes;Achnanthes biasolettiana (agg.);x;biasolettiana (agg.);
AC037B;Lange-Bertalot;1989;Achnanthes;Achnanthes biasolettiana var. subatomus;;biasolettiana;subatomus
AC045A;Hust.;1952;Achnanthes;Achnanthes bicapitata;;bicapitata;
AC141A;Germain;1957;Achnanthes;Achnanthes bioretii;;bioretii;
XXC986;EDDI Salinity Training Set;2001;Achnanthes;Achnanthes brevipes (agg.);x;brevipes (agg.);
AF_0102;(Kütz.) Cleve;1896;Achnanthes;Achnanthes brevipes + v. intermedia;x;brevipes + v. intermedia;
AC058C;(Kütz.) Cleve;1896;Achnanthes;Achnanthes brevipes var. intermedia;;brevipes;intermedia
AC005A;Cleve;1891;Achnanthes;Achnanthes calcar;;calcar;
AC152A;Lange-Bertalot;1990;Achnanthes;Achnanthes carissima;;carissima;
AC165A;Bily & Marvan;1959;Achnanthes;Achnanthes catenata;;catenata;
AC9975;L. Grannoch (RJF);1988;Achnanthes;Achnanthes cf. altaica  var. minor;;altaica;minor
AC9965;Uaine (VJJ);1988;Achnanthes;Achnanthes cf. austriaca  var. alpina;;austriaca;alpina
AC9989M;S. Wunsam;;Achnanthes;Achnanthes cf. daui;;daui;
C_Achdel;J. Reed (Caspian dataset);;Achnanthes;Achnanthes cf. delicatula;;delicatula;
AC9993;L. Augher (NJA);1984;Achnanthes;Achnanthes cf. flexella;;flexella;
AC9962M;S. Wunsam;;Achnanthes;Achnanthes cf. helvetica;;helvetica;
AC9987M;S. Wunsam;;Achnanthes;Achnanthes cf. holsatica;;holsatica;
A_ZZZ942;N. Cameron (ALPE);;Achnanthes;Achnanthes cf. imperfecta (Stavsvatn);;imperfecta (Stavsvatn);
AC9960;H. Bennion;1992;Achnanthes;Achnanthes cf. kryophila;;kryophila;
AC9997;N. Cameron (ALPE);;Achnanthes;Achnanthes cf. lapidosa;;lapidosa;
AC9996;N. Cameron (ALPE);;Achnanthes;Achnanthes cf. levanderi;;levanderi;
AC9959;H. Bennion;1992;Achnanthes;Achnanthes cf. linearis;;linearis;
B_ZZZ983;H. Bennion;1992;Achnanthes;Achnanthes cf. linearis;;linearis;
A_ZZZ980;L. Chon (NJA);1988;Achnanthes;Achnanthes cf. marginulata;;marginulata;
AC9968;Uaine (VJJ);1988;Achnanthes;Achnanthes cf. marginulata  fo. major;;marginulata;
AC9963;SWAP Sweden (IR & NJA);1989;Achnanthes;Achnanthes cf. marginulata (coarse);;marginulata (coarse);
A_ZZZ995;N. Cameron (ALPE);;Achnanthes;Achnanthes cf. marginulata (rounded central area, flattish valve);;marginulata (rounded central area, flattish valve);
A_ZZZ993;N. Cameron (ALPE);;Achnanthes;Achnanthes cf. marginulata (small) fo. major;;marginulata (small);
A_ZZZ994;N. Cameron (ALPE);;Achnanthes;Achnanthes cf. marginulata (square ended form);;marginulata (square ended form);
AC9948;P. Rioual;1998;Achnanthes;Achnanthes cf. microscopica/curtissima;;microscopica/curtissima;
AC9961;H. Bennion;1992;Achnanthes;Achnanthes cf. minutissima;;minutissima;
S_ZZZ996;VJJ (Svalbard);1992;Achnanthes;Achnanthes cf. minutissima;;minutissima;
S_ZZZ997;VJJ (Svalbard);1992;Achnanthes;Achnanthes cf. minutissima;;minutissima;
AC013GM;Krammer & Lange-Bertalot Fig. 32: 27-30;1991;Achnanthes;Achnanthes cf. minutissima (1);;minutissima (1);
AC013FM;Krammer & Lange-Bertalot Fig. 32: 53-56;1991;Achnanthes;Achnanthes cf. minutissima (2);;minutissima (2);
AC9969;Groningen (RJF);1988;Achnanthes;Achnanthes cf. scotica/marginulata;;scotica/marginulata;
AC166A;Hohn & Hellerman;1963;Achnanthes;Achnanthes chlidanos;;chlidanos;
FSN003;Hohn & Hellerman;1963;Achnanthes;Achnanthes chlidanos;;chlidanos;
AC006A;Grun. in Cleve & Grun.;1880;Achnanthes;Achnanthes clevei;;clevei;
AC023A;A. Mayer;1919;Achnanthes;Achnanthes conspicua;;conspicua;
AC060A;J.R. Carter;1963;Achnanthes;Achnanthes curtissima;;curtissima;
AC9985M;J.R. Carter;1963;Achnanthes;Achnanthes curtissima;;curtissima;
